0	Index      	 *	Score 	Summary	Detail	
1	13422 22512	 * 	227.09	ACR|3VULN|2ASPD|2DMG|2BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|69BEXP|78aVULN|8BPWR
2	13422 22511	   	217.09	ACR|2VULN|2ASPD|2DMG|2BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|69BEXP|78VULN|8BPWR|aMLV
3	13422 22513	   	217.09	ACR|2VULN|2ASPD|2DMG|2BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|69BEXP|78VULN|8BPWR|aCGEN
4	13422 22514	   	217.09	ACR|2VULN|2ASPD|2DMG|2BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|69BEXP|78VULN|8BPWR|aZMB
5	13422 22515	   	216.99	ACR|2VULN|2ASPD|2DMG|2BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|69BEXP|78VULN|8BPWR|aMBVNT
6	13422 22516	   	216.99	ACR|2VULN|2ASPD|2DMG|2BEXP	18ASPD|2aERES|38DMG|4MSLTOX|5RCR|69BEXP|78VULN|8BPWR
7	13422 22542	   	212.26	ACR|3VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78aVULN|8BPWR|9FEWX
8	13422 22551	   	212.26	ACR|3VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78aVULN|8BPWR|9RMIN
9	13422 22521	   	212.16	ACR|3VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78aVULN|8BPWR|9NUKE
10	13422 22562	   	212.16	ACR|3VULN|2ASPD|2DMG|1BEXP	18ASPD|29ERES|38DMG|4MSLTOX|5RCR|6BEXP|78aVULN|8BPWR
11	13422 22543	   	202.25	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9FEWX|aDMSP
12	13422 22552	   	202.25	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9RMIN|aLHND
13	23122 63311	 * 	202.19	ACR|1BASARM|1ASPD|1DMG|1VULN|2AAC	18AAC|2DMG|3ERES|4MSLTOX|5RCR|6CGEN|7ASPD|9VULN|aBASARM
14	13422 62311	   	202.19	ACR|1BASARM|1ASPD|1DMG|1VULN|2AAC	1ASPD|2ERES|3DMG|4MSLTOX|5RCR|6CGEN|78AAC|9VULN|aBASARM
15	13422 22522	   	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9NUKE|aLHND
16	13422 22534	   	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9MDPS|aMLV
17	13422 22535	   	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9MDPS|aRMIN
18	13422 22536	   	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9MDPS|aCGEN
19	13422 22561	   	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|29ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|aMLV
20	13422 22563	   	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|29ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|aCGEN
21	13422 22524	   	202.05	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9NUKE|aAME
22	13422 22525	   	202.05	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2aERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9NUKE
23	13422 22531	   	202.05	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2aERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9MDPS
24	13422 22532	   	202.05	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9MDPS|aLEGI
25	13422 22533	   	202.05	ACR|2VULN|2ASPD|2DMG|1BEXP	18ASPD|2ERES|38DMG|4MSLTOX|5RCR|6BEXP|78VULN|8BPWR|9MDPS|aDUST
26	32422 47424	   	201.40	ACR|2VULN|2ASPD|2BEXP|1DMG	1RCVC|28VULN|3aASPD|48LSRREG|5RCR|6MBVNT|78BEXP|8BPWR|9DMG
27	33126 55313	 * 	201.25	ACR|1BASARM|2VULN|1AART|1CDMG|1AAC	1RCVC|2RMIN|3AAC|4AEFBLL|5RCR|6CDMG|7aVULN|8BASARM|9AART
28	13422 14611	   	200.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1SELL	1ASPD|2ERES|3DMG|4MSLTOX|5RCR|6SELL|7CGEN|8CDMG|9VULN|aBASARM
29	13422 15611	   	200.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1SELL	1ASPD|2ERES|3DMG|4MSLTOX|5RCR|6SELL|7TLV|8CDMG|9VULN|aBASARM
30	26422 22521	   	200.07	ACR|3VULN|2ASPD|1DMG|1BEXP|1AAC	1AAC|28CGEN|38ASPD|4MSLTOX|5RCR|6BEXP|78aVULN|8BPWR|9DMG
31	23122 22515	   	199.29	ACR|2VULN|2DMG|2BEXP|1CDMG|1AAC	1AAC|28DMG|38ERES|4MSLTOX|5RCR|69BEXP|78VULN|8BPWR|aCDMG
32	12222 42287	   	198.98	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1ASPD|2RCVC|3LHND|4AIRARM|5RCR|6MBVNT|7VULN|8BEXP|9BASARM|aAART
33	13422 22112	   	197.30	ACR|2DMG|2VULN|2BEXP|1ASPD	1ASPD|2ERES|38DMG|4MSLTOX|5RCR|69BEXP|7aVULN
34	13422 42614	   	197.30	ACR|2VULN|2ASPD|2BEXP|1DMG	18ASPD|28ERES|3DMG|4MSLTOX|5RCR|6MBVNT|78VULN|8BPWR|9aBEXP
