0	Index      	 *	Score 	Summary	Detail	
1	13165 13161	 * 	206.00	ACR|3DMG|1BASARM|1BEXP	126ERES|3RCR|4BELT|578DMG|9BEXP|aBASARM
2	13153 12324	 * 	205.86	ACR|3BEXP|2ASPD|2DMG	128ERES|3RCR|4aDMG|56aBEXP|7RPLT|9aASPD|aBPWR
3	13153 62315	 * 	203.68	ACR|3DMG|2BEXP|1VULN|1AART	128ERES|3RCR|48aDMG|58BEXP|6AART|7MDPS|8BPWR|9VULN
4	13153 62314	 * 	201.32	ACR|2VULN|2DMG|2BEXP|1AART	128ERES|3RCR|48DMG|58BEXP|6AART|7MDPS|8BPWR|9aVULN
5	12154 15333	 * 	200.70	ACR|1BASARM|2DMG|1BASICY	15ERES|2RCVC|3RCR|45DMG|5BPWR|68MLV|7BASICY|9DUR|aBASARM
6	12153 52324	   	198.33	ACR|2ASPD|2DMG|2BEXP	168ERES|2RCVC|3RCR|4aDMG|5aBEXP|7RPLT|9aASPD|aBPWR
7	12154 34232	 * 	198.26	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	156ERES|2RCVC|3RCR|45DMG|5BPWR|7AART|8ASPD|9VULN|aCDMG
8	13233 41424	   	198.14	ACR|2ASPD|2DMG|2BEXP|1CDMG	124ERES|3aBEXP|5RCR|6LEGI|7CDMG|8aASPD|9aDMG|aBPWR
9	12166 22214	 * 	197.23	ACR|3VULN|1BASARM|1DMG	1ERES|2RCVC|3RCR|4BELT|5LIT|67aVULN|8DMG|9BASARM
10	12154 63133	   	193.98	ACR|1BASARM|2DMG|1BEXP	15ERES|2RCVC|3RCR|45DMG|5BPWR|6AME|7BEXP|8AEFBLL|9SPLREG|aBASARM
11	13166 22214	   	193.39	ACR|3VULN|1BASARM|1DMG	12ERES|3RCR|4BELT|5LIT|67aVULN|8DMG|9BASARM
12	13161 21216	 * 	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	127ERES|3RCR|4BELT|5VULN|6RPLT|8BASARM|9DMG|aASPD
13	12153 12214	 * 	192.57	ACR|1BASARM|2BEXP|1DMG	1ERES|28RCVC|3RCR|4DMG|56BEXP|7RPLT|9AME|aBASARM
14	13165 13131	   	192.25	ACR|3DMG|1BASARM	126ERES|3RCR|4BELT|578DMG|9DUST|aBASARM
15	12153 12314	   	191.33	ACR|1BASARM|2BEXP|1DMG	18ERES|2RCVC|3RCR|4DMG|56BEXP|7RPLT|9AME|aBASARM
16	12153 12534	   	191.33	ACR|1BASARM|2BEXP|1DMG	1ERES|2RCVC|3RCR|4DMG|56BEXP|7RPLT|8TLV|9AEMAG|aBASARM
17	12153 62353	   	191.31	ACR|2DMG|2BEXP|1VULN|1AART	18ERES|29RCVC|3RCR|48DMG|58BEXP|6AART|7MDPS|8BPWR|aVULN
18	12153 62311	   	190.58	ACR|2DMG|2BEXP|1VULN|1AART	18ERES|2RCVC|3RCR|48DMG|58BEXP|6AART|7MDPS|8BPWR|9RMIN|aVULN
