0	Index      	 *	Score 	Summary	Detail	
1	61336 31181	 * 	220.97	ACR|2VULN|2ASPD|2DMG|2CDMG|1AAC	1MBVNT|29CDMG|3aDMG|49VULN|5RCR|6RMIN|7AAC|89ASPD|9BPWR
2	12434 25213	 * 	219.24	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1TLV|2VULN|3MDPS|4RCR|5DMG|6ASPD|7BEXP|8DUST|9CDMG|aBASARM
3	31336 25241	 * 	218.31	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39DMG|4VULN|5RCR|6DUR|79ASPD|8RPLT|9BPWR|aLIT
4	31336 15241	   	218.21	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39DMG|4VULN|5RCR|6DUST|79ASPD|8RPLT|9BPWR|aLIT
5	31336 25242	   	218.21	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39DMG|4VULN|5RCR|6DUR|79ASPD|8RPLT|9BPWR|aDUST
6	31336 25243	   	218.21	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39DMG|4VULN|5RCR|6DUR|79ASPD|8RPLT|9BPWR|aMDPS
7	31336 15242	   	218.11	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39DMG|4VULN|5RCR|6aDUST|79ASPD|8RPLT|9BPWR
8	31336 15243	   	218.11	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39DMG|4VULN|5RCR|6DUST|79ASPD|8RPLT|9BPWR|aAEMAG
9	31336 25142	   	218.00	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|4aVULN|5RCR|6DUR|7aASPD|8ERES|9LWND|aBPWR
10	31336 25152	   	218.00	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|4aVULN|5RCR|6DUR|7aASPD|8ERES|9FEWX|aBPWR
11	31336 15142	   	217.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|4aVULN|5RCR|6DUST|7aASPD|8ERES|9LWND|aBPWR
12	31336 15152	   	217.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|4aVULN|5RCR|6DUST|7aASPD|8ERES|9FEWX|aBPWR
13	31336 25132	   	217.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|4aVULN|5RCR|6DUR|7aASPD|8ERES|9DUST|aBPWR
14	31336 25352	   	217.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|2CDMG|3aDMG|4aVULN|5RCR|6DUR|7aASPD|8DUST|9ERES|aBPWR
15	33116 45112	 * 	215.97	ACR|3ASPD|2VULN|1DMG|1BEXP|1CDMG	1BEXP|29aASPD|3LWND|4CDMG|5RCR|6aVULN|7DMG|8aERES|aBPWR
16	51336 33223	   	214.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7AME|8ASPD|9BEXP|aBASARM
17	33316 25241	 * 	213.35	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUR|79DMG|8RPLT|9BPWR|aLIT
18	33116 41122	 * 	213.35	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	17BEXP|2aASPD|3LWND|4CDMG|5RCR|6aVULN|8DMG|9aCGEN|aBPWR
19	33316 15241	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUST|79DMG|8RPLT|9BPWR|aLIT
20	33316 25242	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUR|79DMG|8RPLT|9BPWR|aDUST
21	33316 25243	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUR|79DMG|8RPLT|9BPWR|aMDPS
22	31336 41141	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2CDMG|3aDMG|46VULN|5RCR|7FEWX|8ASPD
23	33316 15242	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6aDUST|79DMG|8RPLT|9BPWR
24	33316 15243	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUST|79DMG|8RPLT|9BPWR|aAEMAG
25	33316 41141	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8aDMG
26	33116 41112	   	213.15	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	17BEXP|2aASPD|3LWND|4CDMG|5RCR|6aVULN|8DMG|9aAME|aBPWR
27	33351 14613	 * 	212.65	2VULN|1BASARM|3BEXP|2ASPD|2DMG|1CDMG	158BEXP|28ASPD|37VULN|45DMG|58BPWR|68TLV|9CDMG|aBASARM
28	33116 51143	 * 	209.81	ACR|3BEXP|2ASPD|2DMG|1CDMG	179BEXP|2aASPD|3aLWND|4CDMG|5RCR|6LHND|8aDMG|aBPWR
29	33316 25142	   	206.73	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aVULN|4aCDMG|5RCR|6DUR|7aDMG|8ERES|9LWND|aBPWR
30	33316 25152	   	206.73	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aVULN|4aCDMG|5RCR|6DUR|7aDMG|8ERES|9FEWX|aBPWR
31	33316 15142	   	206.63	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aVULN|4aCDMG|5RCR|6DUST|7aDMG|8ERES|9LWND|aBPWR
32	33316 15152	   	206.63	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aVULN|4aCDMG|5RCR|6DUST|7aDMG|8ERES|9FEWX|aBPWR
33	33316 25132	   	206.63	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aVULN|4aCDMG|5RCR|6DUR|7aDMG|8ERES|9DUST|aBPWR
34	33316 25352	   	206.63	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aVULN|4aCDMG|5RCR|6DUR|7aDMG|8DUST|9ERES|aBPWR
35	12434 26213	   	205.59	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1TLV|2VULN|3MDPS|4RCR|5DMG|6ASPD|7FEWX|8DUST|9CDMG|aBASARM
36	61336 81142	   	205.34	ACR|2ASPD|2DMG|1VULN|2CDMG|1AAC	1MBVNT|2aCDMG|3aDMG|4VULN|5RCR|6CGEN|7AAC|8aASPD|9RMIN|aBPWR
37	22434 32136	 * 	204.36	ACR|3VULN|1BASARM|1DMG|1CDMG	1CGEN|278VULN|3MDPS|4RCR|5DMG|6LWND|9BASARM|aCDMG
38	31336 21362	 * 	202.55	ACR|2VULN|3BEXP|2DMG|1CDMG	179BEXP|2CDMG|39DMG|4aVULN|5RCR|6DUR|89LWND|9BPWR
39	61336 51431	 * 	202.22	ACR|2VULN|3DMG|1ASPD|1CDMG	1MBVNT|2CDMG|38aDMG|46VULN|5RCR|7FEWX|9ASPD
40	31336 31661	   	202.21	ACR|2VULN|3BEXP|2DMG|1CDMG|1SELL	179BEXP|2CDMG|39DMG|49VULN|5RCR|6MDPS|8SELL|9BPWR|aRMIN
41	31336 31662	   	202.21	ACR|2VULN|3BEXP|2DMG|1CDMG|1SELL	179BEXP|2CDMG|39DMG|49VULN|5RCR|6MDPS|8SELL|9BPWR|aFEWX
42	61336 53431	   	202.12	ACR|2VULN|3DMG|1ASPD|1CDMG	1MBVNT|2CDMG|38aDMG|46VULN|5RCR|7DUST|9ASPD
43	31336 31663	   	202.11	ACR|2VULN|3BEXP|2DMG|1CDMG|1SELL	179BEXP|2CDMG|39DMG|49VULN|5RCR|6MDPS|8SELL|9BPWR|aDUST
44	31336 51141	   	202.02	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	19BEXP|2CDMG|3aDMG|4VULN|5RCR|6RCVC|7FEWX|8ASPD
45	33316 51141	   	202.02	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|3VULN|4CDMG|5RCR|6RCVC|7FEWX|8aDMG
46	51336 32623	   	201.68	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7CGEN|8BEXP|9AAC|aBASARM
47	53316 32623	   	201.68	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1LHND|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7CGEN|8BEXP|9AAC|aBASARM
48	61336 81423	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1MBVNT|2CDMG|3DMG|4VULN|5RCR|6CGEN|7AAC|8MDPS|9BEXP|aBASARM
49	31336 34623	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7TLV|8FEWX|9AAC|aBASARM
50	33316 34623	   	201.58	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7TLV|8FEWX|9AAC|aBASARM
51	51336 33623	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7AME|8BEXP|9AAC|aBASARM
52	53316 33623	   	201.58	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1LHND|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7AME|8BEXP|9AAC|aBASARM
53	61136 84423	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1MBVNT|2CDMG|3AAC|4VULN|5RCR|6CGEN|7DMG|8MDPS|9BEXP|aBASARM
54	62136 84423	   	201.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1MBVNT|2AAC|3CDMG|4VULN|5RCR|6CGEN|7DMG|8MDPS|9BEXP|aBASARM
