0	Index      	 *	Score 	Summary	Detail	
1	22663 31351	 * 	219.72	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG	12CGEN|3aBEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD
2	22663 31321	   	206.97	ACR|1BASARM|2BEXP|1VULN|1DMG|1AAC	12CGEN|3aBEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC
3	43332 31314	 * 	205.81	ACR|2DMG|2VULN|2BEXP|1ASPD|1AAC	1LEGI|2AAC|39DMG|4LIT|5RCR|6MBVNT|79BEXP|89VULN|9BPWR|aASPD
4	12263 31351	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1FEWX|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aBEXP
5	12463 31351	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1FEWX|23CGEN|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aBEXP
6	22162 31351	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	12CGEN|3LHND|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aBEXP
7	22663 31335	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aASPD
8	22663 31352	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aFEWX
9	22663 31353	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aMLV
10	24362 31351	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2LWND|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aBEXP
11	52263 31351	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ASPD|aBEXP
12	22662 33361	 * 	204.35	ACR|1BASARM|2VULN|1AART|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5AART|6LHND|7AAC|89VULN|aBASARM
13	22663 31343	 * 	203.79	ACR|1BASARM|1VULN|1DMG|1BASICY|1BEXP	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9ERES|aBASICY
14	22663 31632	 * 	200.38	ACR|1BASARM|2DMG|2BEXP	12CGEN|3aBEXP|4RCR|5DUR|69DMG|7BASARM|8ERES
