0	Index      	 *	Score 	Summary	Detail	
1	25642 43221	 * 	245.16	ACR|2VULN|1BASARM|2BEXP|2BASICY|1DMG	1MBVNT|2RCR|38BEXP|48VULN|5LHND|6CGEN|78BASICY|8BPWR|9DMG|aBASARM
2	15623 31217	 * 	242.77	ACR|3VULN|1BASARM|2ASPD|1AART|1AAC|1SELL	157VULN|2MBVNT|3RCR|45ASPD|5BPWR|6SELL|8AART|9AAC|aBASARM
3	15623 31341	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aDUR
4	15623 31342	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aDMSP
5	15623 31343	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aLWND
6	15623 31344	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aFEWX
7	15623 31346	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aMLV
8	15623 31347	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aLIT
9	15623 31348	 * 	241.82	ACR|4VULN|3ASPD|2DMG|1SELL	1579VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|89DMG|aCGEN
10	15624 52421	 * 	238.85	ACR|3VULN|2ASPD|2DMG|2BEXP	19aVULN|2MBVNT|3RCR|49ASPD|5LHND|68DMG|79BEXP|9BPWR
11	15623 54133	 * 	236.92	ACR|3VULN|3ASPD|2BEXP|1DMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9DMG|aLWND
12	15623 54134	   	236.92	ACR|3VULN|3ASPD|2BEXP|1DMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9DMG|aLHND
13	15623 54131	   	236.82	ACR|3VULN|3ASPD|2BEXP|1DMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9DMG|aMDPS
14	15623 54132	   	236.82	ACR|3VULN|3ASPD|2BEXP|1DMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8aAEMAG|9DMG
15	25617 14322	 * 	234.31	ACR|3VULN|3BEXP|2ASPD|1DMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|679VULN|8LWND|aDMG
16	25617 14422	   	234.31	ACR|3VULN|3BEXP|2ASPD|1DMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|679VULN|8LHND|aDMG
17	25352 53441	 * 	233.92	ACR|3VULN|3ASPD|2DMG|1SELL	1MBVNT|2RCR|3SELL|469VULN|59DMG|789ASPD|9BPWR|aDUR
18	25352 53442	 * 	233.92	ACR|3VULN|3ASPD|2DMG|1SELL	1MBVNT|2RCR|3SELL|469VULN|59DMG|789ASPD|9BPWR|aDMSP
19	25352 53443	 * 	233.92	ACR|3VULN|3ASPD|2DMG|1SELL	1MBVNT|2RCR|3SELL|469VULN|59DMG|789ASPD|9BPWR|aLWND
20	25352 53444	 * 	233.92	ACR|3VULN|3ASPD|2DMG|1SELL	1MBVNT|2RCR|3SELL|469VULN|59DMG|789ASPD|9BPWR|aFEWX
21	25623 43221	   	233.82	ACR|1BASARM|2BEXP|2BASICY|1VULN|1DMG	1MBVNT|2RCR|38BEXP|48LHND|5CGEN|6VULN|78BASICY|8BPWR|9DMG|aBASARM
22	15623 54211	   	233.65	ACR|3VULN|3ASPD|2BEXP|1AART	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8LWND|9ERES|aAART
23	15623 13431	 * 	233.39	ACR|3VULN|3ASPD|1BASARM	156VULN|2MBVNT|3RCR|458ASPD|5BPWR|7CGEN|9SNIFST|aBASARM
24	15623 16431	   	233.39	ACR|3VULN|3ASPD|1BASARM	156VULN|2MBVNT|3RCR|458ASPD|5BPWR|7MLV|9SNIFST|aBASARM
25	15623 27431	   	233.39	ACR|3VULN|3ASPD|1BASARM	157VULN|2MBVNT|3RCR|458ASPD|5BPWR|6CGEN|9SNIFST|aBASARM
26	15623 15431	   	233.29	ACR|3VULN|3ASPD|1BASARM	156VULN|2MBVNT|3RCR|458ASPD|5BPWR|7TLV|9SNIFST|aBASARM
27	15623 18131	   	233.29	ACR|3VULN|3ASPD|1BASARM	156VULN|2MBVNT|3RCR|457ASPD|5BPWR|8ERES|9SNIFST|aBASARM
28	15623 33481	 * 	230.88	ACR|2VULN|3ASPD|1DMG|1BASICY|1CDMG|1SELL	15VULN|2MBVNT|3RCR|458ASPD|5BPWR|6SELL|7DMG|9CDMG|aBASICY
29	15623 36341	 * 	230.63	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|7RCVC|89DMG|aDUR
30	15623 36342	 * 	230.63	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|7RCVC|89DMG|aDMSP
31	15623 36343	 * 	230.63	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|7RCVC|89DMG|aLWND
32	15623 36344	 * 	230.63	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|459ASPD|59BPWR|6SELL|7RCVC|89DMG|aFEWX
33	15623 54112	   	230.50	ACR|3VULN|3ASPD|2BEXP|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9CDMG|aBELT
34	15623 54114	   	230.50	ACR|3VULN|3ASPD|2BEXP|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9CDMG|aCGEN
35	15623 54144	   	230.50	ACR|3VULN|3ASPD|2BEXP|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9LHND|aCDMG
36	15623 54234	   	230.50	ACR|3VULN|3ASPD|2BEXP|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8LWND|9AEMAG|aCDMG
37	15623 54111	   	230.40	ACR|3VULN|3ASPD|2BEXP|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9CDMG|aDUST
38	15623 54113	   	230.40	ACR|3VULN|3ASPD|2BEXP|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8AEMAG|9CDMG|aNUKE
39	25643 54411	 * 	230.11	ACR|3DMG|1VULN|2BEXP|1ASPD|1AART	1MBVNT|2RCR|37BEXP|4VULN|57AEFBLL|679DMG|7BPWR|8ASPD|aAART
40	15623 33451	 * 	228.92	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|458ASPD|59BPWR|6SELL|79DMG|aDUR
41	15623 33452	 * 	228.92	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|458ASPD|59BPWR|6SELL|79DMG|aDMSP
42	15623 33453	 * 	228.92	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|458ASPD|59BPWR|6SELL|79DMG|aLWND
43	15623 33454	 * 	228.92	ACR|3VULN|3ASPD|2DMG|1SELL	159VULN|2MBVNT|3RCR|458ASPD|59BPWR|6SELL|79DMG|aFEWX
44	25672 34142	   	228.11	ACR|2DMG|2BEXP|1VULN|1ASPD|1CDMG|1AART	1MBVNT|2RCR|3aBEXP|4CDMG|56DMG|7AART|8VULN|9ASPD
45	25611 13843	 * 	227.99	ACR|4VULN|3BEXP|2CDMG|1ASPD	1MBVNT|2RCR|348BEXP|48BPWR|58CDMG|6789VULN|aASPD
46	66116 23213	 * 	227.91	ACR|3BEXP|2ASPD|2DMG|1AART|1AAC	148DUST|247BEXP|3RCR|48BPWR|58ASPD|68DMG|9AAC|aAART
47	25617 14323	   	227.90	ACR|3VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|679VULN|8LWND|aCDMG
48	25617 14423	   	227.90	ACR|3VULN|3BEXP|2ASPD|1CDMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|679VULN|8LHND|aCDMG
49	15672 33432	 * 	227.86	ACR|3ASPD|2DMG|1VULN|1CDMG|1BEXP	1VULN|2MBVNT|3RCR|4CDMG|56DMG|78aASPD|9BEXP
50	15623 23337	 * 	226.12	ACR|4VULN|2ASPD|2CDMG|1AART	159aVULN|2MBVNT|3RCR|45ASPD|59BPWR|69CGEN|7AART|89CDMG
51	15624 52424	   	225.62	ACR|2VULN|2ASPD|2DMG|2BEXP	19VULN|2MBVNT|3RCR|49ASPD|5LHND|68DMG|79BEXP|9BPWR|aCGEN
52	15624 52422	   	225.52	ACR|2VULN|2ASPD|2DMG|2BEXP	19VULN|2MBVNT|3RCR|49ASPD|5LHND|68DMG|79BEXP|9BPWR|aAME
53	15624 52423	   	225.52	ACR|2VULN|2ASPD|2DMG|2BEXP	19VULN|2MBVNT|3RCR|49ASPD|5LHND|68DMG|79BEXP|9BPWR|aLEGI
54	15623 13318	 * 	225.10	ACR|4VULN|3ASPD|2BEXP	156aVULN|2MBVNT|3RCR|459ASPD|5aBPWR|7aCGEN|8aBEXP
55	15623 64112	   	225.03	ACR|3VULN|3ASPD|1DMG|1CDMG	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67DUST|8AEMAG|9CDMG|aDMG
56	15623 54242	 * 	225.00	ACR|3VULN|3ASPD|3BEXP	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67aBEXP|8LWND|9LHND
57	15623 54442	   	225.00	ACR|3VULN|3ASPD|3BEXP	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67aBEXP|8FEWX|9LWND
58	15623 54414	   	225.00	ACR|4VULN|3ASPD|2BEXP	157aVULN|2MBVNT|3RCR|457ASPD|57BPWR|67BEXP|8FEWX|9ERES
59	15623 54122	   	224.80	ACR|3VULN|3ASPD|3BEXP	157VULN|2MBVNT|3RCR|457ASPD|57BPWR|67aBEXP|8AEMAG|9MDPS
60	15622 53432	   	224.61	ACR|2VULN|3ASPD|1DMG|1CDMG|1BEXP	16VULN|2MBVNT|3RCR|48aASPD|5CDMG|7DMG|9BEXP
61	15622 33432	   	224.61	ACR|2VULN|3ASPD|1DMG|1CDMG|1BEXP	17VULN|2MBVNT|3RCR|48aASPD|5CDMG|6DMG|9BEXP
62	15672 43432	   	224.61	ACR|2VULN|3ASPD|1DMG|1CDMG|1BEXP	16VULN|2MBVNT|3RCR|4CDMG|5DMG|78aASPD|9BEXP
63	15623 83431	   	223.07	ACR|2VULN|3ASPD|1BASARM	15VULN|2MBVNT|3RCR|458ASPD|5BPWR|6RCVC|7CGEN|9SNIFST|aBASARM
64	15623 28431	   	222.64	ACR|2VULN|3ASPD|1BASARM	15VULN|2MBVNT|3RCR|458ASPD|5BPWR|6CGEN|7RCVC|9SNIFST|aBASARM
65	25617 14342	   	221.96	ACR|2VULN|3BEXP|2ASPD|1DMG	1MBVNT|2RCR|347BEXP|47BPWR|57ASPD|67VULN|89LWND|aDMG
