0	Index      	 *	Score 	Summary	Detail	
1	11135 21265	 * 	197.75	DCR|3DMG|2ASPD|2BEXP|1AART|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8AART|9CGEN|aRCR
2	46532 33211	 * 	197.37	ACR|2DMG|2BEXP|1BASICY|1ASPD	19CGEN|2BELT|3RCR|49DMG|5BASICY|6ZMB|79BEXP|8DMSP|9BPWR|aASPD
3	46532 33311	   	197.37	ACR|2DMG|2BEXP|1BASICY|1ASPD	189CGEN|2BELT|3RCR|49DMG|5BASICY|6ZMB|79BEXP|9BPWR|aASPD
4	46533 11131	 * 	188.37	ACR|2DMG|2AART|1ASPD|1CDMG	1CGEN|2BELT|3RCR|46DMG|5LIT|7CDMG|89AART|aASPD
5	14213 24221	 * 	187.86	DCR|3DMG|1BASARM|1ASPD|1AAC|1VULN	179DMG|2AME|3ASPD|4VULN|5CGEN|6BASARM|8AAC|aRCR
6	14212 24221	   	187.76	DCR|3DMG|1BASARM|1ASPD|1AAC|1VULN	179DMG|2AME|3ASPD|4VULN|5ERES|6BASARM|8AAC|aRCR
7	11135 11415	 * 	184.13	3ASPD|1BASARM|2DMG|2BEXP|1AAC|1VULN	12DMG|25BPWR|35BEXP|456ASPD|7TLV|8VULN|9AAC|aBASARM
8	11135 12265	 * 	183.85	DCR|3ASPD|2DMG|2BEXP|1AART|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8AART|9CGEN|aRCR
9	14163 11521	 * 	183.37	2BASARM|3DMG|2ASPD|2BEXP	179DMG|2AME|3MDPS|49BEXP|5aASPD|6TLV|89BASARM|9BPWR
10	11135 16331	 * 	182.64	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8DMSP|9BASARM|aLWND
11	11135 16333	   	182.64	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8DMSP|9BASARM|aMLV
12	11135 16334	   	182.64	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8DMSP|9BASARM|aLHND
13	11135 16336	   	182.64	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8DMSP|9BASARM|aDUR
14	11135 16531	   	182.64	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8RCVC|9BASARM|aLWND
15	11135 16533	   	182.64	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8RCVC|9BASARM|aMLV
16	11135 21331	 * 	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8DMSP|9BASARM|aLWND
17	11135 21333	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8DMSP|9BASARM|aMLV
18	11135 21334	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8DMSP|9BASARM|aLHND
19	11135 21336	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8DMSP|9BASARM|aDUR
20	11135 21531	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8RCVC|9BASARM|aLWND
21	11135 21533	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8RCVC|9BASARM|aMLV
22	11135 21534	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8RCVC|9BASARM|aLHND
23	11135 21536	   	182.64	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8RCVC|9BASARM|aDUR
24	11135 16332	   	182.54	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8DMSP|9BASARM|aMDPS
25	11135 16532	   	182.54	3ASPD|1BASARM|2DMG|2BEXP|1CDMG	12DMG|25BPWR|35BEXP|456ASPD|7CDMG|8RCVC|9BASARM|aMDPS
26	11135 21332	   	182.54	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8DMSP|9BASARM|aMDPS
27	11135 21532	   	182.54	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|25BPWR|35BEXP|45ASPD|6CDMG|8RCVC|9BASARM|aMDPS
28	11151 21631	   	182.54	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|2BPWR|34BEXP|5CDMG|68ASPD|9BASARM|aLWND
29	11151 21633	   	182.54	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|2BPWR|34BEXP|5CDMG|68ASPD|9BASARM|aMLV
30	11151 21634	   	182.54	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|2BPWR|34BEXP|5CDMG|68ASPD|9BASARM|aLHND
31	11151 21636	   	182.54	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|2BPWR|34BEXP|5CDMG|68ASPD|9BASARM|aDUR
32	11151 21632	   	182.44	3DMG|1BASARM|2ASPD|2BEXP|1CDMG	127DMG|2BPWR|34BEXP|5CDMG|68ASPD|9BASARM|aMDPS
33	46532 33131	   	182.33	ACR|2DMG|1ASPD|1BASICY|1BEXP	1CGEN|2BELT|3RCR|4aDMG|5BASICY|6ZMB|7BEXP|8MLV|9ASPD
34	11135 13355	 * 	181.51	DCR|3ASPD|3BEXP|2DMG	12DMG|25BPWR|359BEXP|456ASPD|7MULARM|8MDPS|aRCR
35	33342 25531	 * 	181.51	DCR|1BASARM|2BEXP|1ASPD|1BASICY|1CDMG	1LWND|2DUST|3ASPD|49BEXP|5CDMG|6LIT|7BASARM|8BASICY|aRCR
36	11151 21265	   	180.06	DCR|3DMG|2BEXP|1ASPD|1AART|1CDMG	127DMG|2BPWR|34BEXP|5CDMG|6ASPD|8AART|9CGEN|aRCR
37	14212 24621	   	179.45	DCR|3DMG|1BASARM|1ASPD|1VULN	179DMG|2AME|3ASPD|4VULN|5ERES|6BASARM|8CGEN|aRCR
38	16155 32132	 * 	179.03	DCR|1BASARM|2DMG|2BEXP|1CDMG	17DMG|2RCVC|34BEXP|5RMIN|6MDPS|8CDMG|9BASARM|aRCR
39	11135 53123	   	178.75	DCR|3ASPD|2DMG|2BEXP|1AAC	12DMG|25BPWR|35BEXP|459ASPD|6AAC|7BELT|8MLV|aRCR
40	11135 13211	   	178.65	DCR|3ASPD|2DMG|2BEXP|1AAC	12DMG|25BPWR|35BEXP|456ASPD|7MULARM|8AAC|9DUR|aRCR
41	46532 33212	   	177.30	ACR|2DMG|2BEXP|1BASICY	19aCGEN|2BELT|3RCR|49DMG|5BASICY|6ZMB|79BEXP|8DMSP|9BPWR
42	46532 33312	   	177.30	ACR|2DMG|2BEXP|1BASICY	189aCGEN|2BELT|3RCR|49DMG|5BASICY|6ZMB|79BEXP|9BPWR
43	46532 33213	   	177.20	ACR|2DMG|2BEXP|1BASICY	19CGEN|2BELT|3RCR|49DMG|5BASICY|6ZMB|79BEXP|8DMSP|9BPWR|aDUST
44	46532 33313	   	177.20	ACR|2DMG|2BEXP|1BASICY	189CGEN|2BELT|3RCR|49DMG|5BASICY|6ZMB|79BEXP|9BPWR|aDUST
45	46532 13131	   	176.98	ACR|2DMG|1ASPD|1BASICY|1AAC	1CGEN|2BELT|3RCR|4aDMG|5BASICY|6FEWX|7AAC|8MLV|9ASPD
46	11135 53223	   	176.75	DCR|2ASPD|2DMG|2BEXP|1CDMG|1AAC	12DMG|25BPWR|35BEXP|45ASPD|6AAC|7BELT|8DUR|9CDMG|aRCR
47	11135 53523	   	176.75	DCR|2ASPD|2DMG|2BEXP|1CDMG|1AAC	12DMG|25BPWR|35BEXP|45ASPD|6AAC|7BELT|8LHND|9CDMG|aRCR
48	46533 11111	   	175.92	ACR|2DMG|1ASPD|1AART|1CDMG	19CGEN|2BELT|3RCR|46DMG|5LIT|7CDMG|8AART|aASPD
49	11135 24311	   	175.14	DCR|2ASPD|2DMG|2BEXP|1CDMG|1VULN|1SELL	12DMG|25BPWR|35BEXP|45ASPD|6CDMG|7SELL|8MLV|9VULN|aRCR
