0	Index      	 *	Score 	Summary	Detail	
1	31531 31231	 * 	218.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	125TLV|25BPWR|3RCR|45ASPD|67BEXP|8DUR|9BASARM|aVULN
2	32513 63511	 * 	218.04	ACR|1BASARM|2ASPD|2DMG|1SELL	18TLV|2RCVC|3RCR|4LWND|58DMG|68ASPD|7MBVNT|8BPWR|9SELL|aBASARM
3	44236 12221	 * 	216.30	ACR|1BASARM|2DMG|2BEXP|1ASPD	17BEXP|2RPLT|3MLV|46DMG|5RCR|8ASPD|9RCVC|aBASARM
4	32535 63211	 * 	215.94	ACR|2ASPD|2DMG|1VULN|1BEXP|1AART	1TLV|2RCVC|3RCR|46ASPD|5BEXP|79DMG|8AART|aVULN
5	32531 42311	 * 	214.10	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DMG|7FEWX|8BEXP|9SELL|aBASARM
6	32531 53311	 * 	214.10	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7DMG|8BEXP|9SELL|aBASARM
7	32534 63311	 * 	214.10	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	1TLV|2RCVC|3RCR|46ASPD|5DUR|7DMG|8BEXP|9SELL|aBASARM
8	32535 63311	 * 	214.10	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	1TLV|2RCVC|3RCR|46ASPD|5BEXP|7DMG|8FEWX|9SELL|aBASARM
9	32536 63311	 * 	214.10	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	1TLV|2RCVC|3RCR|46ASPD|5FEWX|7DMG|8BEXP|9SELL|aBASARM
10	32535 63133	 * 	212.49	ACR|3ASPD|2VULN|1DMG|1BEXP	1aTLV|2RCVC|3RCR|46aASPD|5BEXP|7DMG|8RMIN|9aVULN|aBPWR
11	32535 32521	   	212.32	ACR|1BASARM|2BEXP|1ASPD|1DMG	1TLV|29RCVC|3RCR|4ASPD|57BEXP|6RPLT|8DMG|aBASARM
12	31535 63211	   	212.11	ACR|2ASPD|2DMG|1VULN|1AART|1BEXP	12TLV|2BPWR|3RCR|46ASPD|5BEXP|79DMG|8AART|aVULN
13	32535 63222	 * 	211.92	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	1TLV|2RCVC|3RCR|46ASPD|5aBEXP|7DMG|8AART|9VULN
14	32535 63231	   	211.92	ACR|2ASPD|2BEXP|1DMG|1VULN|1AART	1TLV|2RCVC|3RCR|46ASPD|59BEXP|7DMG|8AART|aVULN
15	31535 63311	 * 	210.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|46ASPD|5BEXP|7DMG|8FEWX|9SELL|aBASARM
16	31534 63311	 * 	210.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|46ASPD|5DUR|7DMG|8BEXP|9SELL|aBASARM
17	31536 63311	 * 	210.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	12TLV|2BPWR|3RCR|46ASPD|5FEWX|7DMG|8BEXP|9SELL|aBASARM
18	31535 63133	   	208.65	ACR|3ASPD|2VULN|1DMG|1BEXP	12aTLV|2aBPWR|3RCR|46aASPD|5BEXP|7DMG|8RMIN|9aVULN
19	31535 32521	   	208.51	ACR|1BASARM|2BEXP|1ASPD|1DMG	12TLV|2BPWR|3RCR|4ASPD|57BEXP|6RPLT|8DMG|9RCVC|aBASARM
20	31535 63222	   	208.09	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	12TLV|2BPWR|3RCR|46ASPD|5aBEXP|7DMG|8AART|9VULN
21	31535 63231	   	208.09	ACR|2ASPD|2BEXP|1DMG|1VULN|1AART	12TLV|2BPWR|3RCR|46ASPD|59BEXP|7DMG|8AART|aVULN
22	32531 31435	   	207.83	ACR|1BASARM|2ASPD|1BEXP|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6AAC|7CGEN|8AART|9BEXP|aBASARM
23	32531 33435	   	207.73	ACR|1BASARM|2ASPD|1AART|1BEXP	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6AAC|7ERES|8AART|9BEXP|aBASARM
24	32543 33241	 * 	205.46	ACR|2VULN|2ASPD|2CDMG|1DMG	1TLV|2RCVC|3RCR|4aVULN|5DMG|6LIT|7aASPD|8FLTARM|9aCDMG|aBPWR
25	31531 31232	   	205.28	ACR|1BASARM|2ASPD|2BEXP	125TLV|25BPWR|3RCR|45ASPD|67BEXP|8DUR|9BASARM|aMLV
26	31531 31234	   	205.28	ACR|1BASARM|2ASPD|2BEXP	125TLV|25BPWR|3RCR|45ASPD|67BEXP|8DUR|9BASARM|aLWND
27	31531 31233	   	205.18	ACR|1BASARM|2ASPD|2BEXP	125TLV|25BPWR|3RCR|45ASPD|67BEXP|8DUR|9BASARM|aMDPS
28	31531 31235	   	205.18	ACR|1BASARM|2ASPD|2BEXP	125TLV|25BPWR|3RCR|45ASPD|67BEXP|8DUR|9BASARM|aDUST
29	31531 33423	   	205.18	ACR|1BASARM|2ASPD|2BEXP	125TLV|25BPWR|3RCR|45ASPD|69BEXP|7FEWX|8DUST|aBASARM
30	31531 61423	   	205.18	ACR|1BASARM|2ASPD|2BEXP	125TLV|25BPWR|3RCR|45ASPD|6FEWX|79BEXP|8DUST|aBASARM
31	31531 31236	   	205.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	125TLV|25BPWR|3RCR|45ASPD|67BEXP|8DUR|9BASARM|aSELL
32	31531 33231	   	204.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	125TLV|25BPWR|3RCR|45ASPD|6BEXP|7FEWX|8DMSP|9BASARM|aVULN
33	31531 61231	   	204.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	125TLV|25BPWR|3RCR|45ASPD|6FEWX|7BEXP|8DMSP|9BASARM|aVULN
34	31531 51231	   	203.99	ACR|1BASARM|2ASPD|1VULN|1BEXP	125TLV|25BPWR|3RCR|45ASPD|6DUST|7BEXP|8DMSP|9BASARM|aVULN
35	32116 12221	   	202.32	ACR|1BASARM|2BEXP|1ASPD|1DMG	1TLV|29RCVC|3RPLT|4DMG|5RCR|67BEXP|8ASPD|aBASARM
36	32531 42211	   	202.29	ACR|2ASPD|2DMG|1VULN|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|69DMG|7FEWX|8AART|aVULN
37	32531 53211	   	202.29	ACR|2ASPD|2DMG|1VULN|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|79DMG|8AART|aVULN
38	32534 63211	   	202.29	ACR|2ASPD|2DMG|1VULN|1AART	1TLV|2RCVC|3RCR|46ASPD|5DUR|79DMG|8AART|aVULN
39	32536 63211	   	202.29	ACR|2ASPD|2DMG|1VULN|1AART	1TLV|2RCVC|3RCR|46ASPD|5FEWX|79DMG|8AART|aVULN
40	32531 63211	   	202.19	ACR|2ASPD|2DMG|1VULN|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|79DMG|8AART|aVULN
41	31543 33241	   	201.62	ACR|2VULN|2ASPD|2CDMG|1DMG	12TLV|2aBPWR|3RCR|4aVULN|5DMG|6LIT|7aASPD|8FLTARM|9aCDMG
42	32531 23211	 * 	200.45	ACR|1BASARM|2ASPD|1DMG|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6LWND|7DMG|8DUR|9SELL|aBASARM
