0	Index      	 *	Score 	Summary	Detail	
1	52122 31114	 * 	234.16	ACR|2BASARM|2ASPD|1VULN|2CDMG|1BEXP	1RPLT|2DUR|3aASPD|4BEXP|5RCR|6LWND|7aCDMG|8VULN|9aBASARM|aBPWR
2	56521 23131	 * 	229.32	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	1RPLT|2RCR|3TLV|4BEXP|5LWND|6BASARM|7AART|8DMG|9CDMG|aASPD
3	66233 24114	 * 	226.33	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG|1AAC	1MBVNT|2DUR|3CDMG|4RCR|5BEXP|6VULN|7AART|8AAC|9BASARM|aDMG
4	56333 31314	 * 	223.76	ACR|2VULN|2ASPD|2DMG|1BASICY	1RPLT|2RCR|3RMIN|4aVULN|5BASICY|6aASPD|7LHND|8LSRICY|9aDMG|aBPWR
5	56333 32316	 * 	220.79	ACR|2VULN|1ASPD|1DMG|1BASICY|1AART|1CDMG	1RPLT|2RCR|3RMIN|47VULN|5BASICY|6ASPD|8AART|9CDMG|aDMG
6	66233 24118	 * 	217.90	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG|1AAC	1MBVNT|2DUR|3CDMG|4RCR|5BEXP|6aVULN|7AART|8AAC|9BASARM
7	63324 63115	 * 	214.97	ACR|2BASARM|2ASPD|2VULN	1MBVNT|2aLHND|3MDPS|4RCR|56ASPD|7RMIN|8aVULN|9aBASARM|aBPWR
8	52122 31116	 * 	214.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RPLT|2DUR|3ASPD|4BEXP|5RCR|6LWND|7CDMG|8VULN|9BASARM|aDMG
9	56121 23141	   	213.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DMG|9VULN|aDUR
10	56121 23241	 * 	213.37	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9ASPD|aDUR
11	56121 23251	   	213.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9DMG|aDUR
12	56121 23263	   	213.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9LHND|aDMG
13	56121 23413	   	213.37	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DUR|9VULN|aDMG
14	56121 23142	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DMG|9VULN|aNUKE
15	56121 23143	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DMG|9VULN|aDLOT
16	56121 23222	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9AME|aDMG
17	56121 23233	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9DUST|aDMG
18	56121 23242	   	213.27	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9ASPD|aNUKE
19	56121 23243	   	213.27	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9ASPD|aDLOT
