0	Index      	 *	Score 	Summary	Detail	
1	35315 43232	 * 	199.29	ACR|1BASARM|2ASPD|1BEXP|1AART	17AME|2AART|3CGEN|4RCR|57ASPD|679LHND|7BPWR|8BEXP|aBASARM
2	35311 62152	   	199.19	ACR|1BASARM|2ASPD|1AART|1BEXP	1AME|2AART|3CGEN|4RCR|5FEWX|67ASPD|8RCVC|9BEXP|aBASARM
3	35311 62252	   	199.19	ACR|1BASARM|2ASPD|1AART|1BEXP	1AME|2AART|3CGEN|4RCR|59FEWX|67ASPD|8BEXP|aBASARM
4	35315 32152	   	199.19	ACR|1BASARM|2ASPD|1AART|1BEXP	1AME|2AART|3CGEN|4RCR|57ASPD|6DUR|8RCVC|9BEXP|aBASARM
5	35315 12152	   	199.09	ACR|1BASARM|2ASPD|1AART|1BEXP	1AME|2AART|3CGEN|4RCR|57ASPD|6DUST|8RCVC|9BEXP|aBASARM
6	35315 12352	   	198.99	ACR|1BASARM|2ASPD|1AART|1BEXP	1AME|2AART|3CGEN|4RCR|57ASPD|68DUST|9BEXP|aBASARM
7	35312 53252	 * 	195.01	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG|1SELL	1AME|2AART|3CGEN|4RCR|5SELL|6ZMB|7DMG|8CDMG|9BEXP|aBASARM
8	35315 43122	   	185.54	ACR|1BASARM|2ASPD|1AART	17AME|2AART|3CGEN|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9DUST|aBASARM
9	35315 43332	   	185.54	ACR|1BASARM|2ASPD|1AART	17AME|2AART|3CGEN|4RCR|57ASPD|679LHND|7BPWR|8DUST|aBASARM
10	35315 12252	   	185.44	ACR|1BASARM|2ASPD|1AART	1AME|2AART|3CGEN|4RCR|57ASPD|6DUST|89FEWX|aBASARM
11	15511 62122	   	185.44	ACR|1BASARM|2ASPD|1AART	1CGEN|2AART|3ERES|4RCR|5FEWX|67ASPD|8RCVC|9DUST|aBASARM
12	35311 62122	   	185.44	ACR|1BASARM|2ASPD|1AART	1AME|2AART|3CGEN|4RCR|5FEWX|67ASPD|8RCVC|9DUST|aBASARM
13	35311 62352	   	185.44	ACR|1BASARM|2ASPD|1AART	1AME|2AART|3CGEN|4RCR|59FEWX|67ASPD|8DUST|aBASARM
14	35311 62522	   	185.44	ACR|1BASARM|2ASPD|1AART	1AME|2AART|3CGEN|4RCR|5FEWX|67ASPD|8DMSP|9DUST|aBASARM
