0	Index      	 *	Score 	Summary	Detail	
1	43343 32232	 * 	236.49	ACR|1BASARM|2VULN|2ASPD|2BEXP	1AME|2RCR|3aASPD|4LHND|59BEXP|68VULN|7BASARM
2	43336 23223	 * 	230.35	ACR|1BASARM|2VULN|2DMG|1ASPD	1AME|2RCR|3ASPD|4AAC|5aVULN|6DMSP|7BASARM|89DMG
3	11544 22232	 * 	228.96	ACR|2VULN|1BASARM|2BEXP|1ASPD|1DMG	18VULN|2AME|3FEWX|4RCR|5DMG|69BEXP|7BASARM|aASPD
4	43612 33632	   	226.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1AME|2RCR|3CDMG|4BEXP|5FEWX|6VULN|7ERES|8DMG|9BASARM|aASPD
5	43115 33242	   	226.31	ACR|1BASARM|2BEXP|1DMG|1ASPD|1VULN	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|8DMG|9VULN|aASPD
6	43333 33266	   	225.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1AME|2RCR|3aASPD|4AAC|5FEWX|6VULN|7BASARM|8BEXP|9AART
7	43343 32142	   	224.15	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4LHND|5BEXP|6VULN|7BASARM|8CGEN|9CDMG
8	43315 31232	   	224.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4TLV|5BEXP|6VULN|7FEWX|8CDMG|9BASARM
9	43315 34232	   	224.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4TLV|5BEXP|6VULN|7LHND|8CDMG|9BASARM
10	43316 31232	   	224.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4TLV|5VULN|6BEXP|7FEWX|8CDMG|9BASARM
11	43316 34232	   	224.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4TLV|5VULN|6BEXP|7LHND|8CDMG|9BASARM
