0	Index      	 *	Score 	Summary	Detail	
1	26262 43132	 * 	266.78	ACR|2BASARM|3ASPD|2VULN|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57aASPD|67VULN|7BPWR|8DMG|9BEXP
2	51242 21153	 * 	259.11	ACR|3ASPD|1BASARM|2DMG|1VULN|1AART	1RMIN|25DMG|356ASPD|4RCR|5BPWR|7VULN|8AART|9RPLT|aBASARM
3	26262 43325	 * 	256.50	ACR|3BASARM|3VULN|3ASPD	17aBASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67aVULN|7aBPWR|9aLWND
4	26262 43123	 * 	255.06	ACR|2BASARM|2VULN|2ASPD|2DMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8aDMG|9ZMB
5	26262 43153	   	254.96	ACR|2BASARM|2VULN|2ASPD|2DMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8aDMG|9ERES
6	26262 43162	   	253.13	ACR|2BASARM|3ASPD|2VULN|1DMG	17BASARM|2MBVNT|3SPLARM|4RCR|57aASPD|67VULN|7BPWR|8DMG|9FEWX
7	26262 43172	   	253.13	ACR|2BASARM|3ASPD|2VULN|1DMG	17BASARM|2MBVNT|3SPLARM|4RCR|57aASPD|67VULN|7BPWR|8DMG|9DUR
8	26262 43334	   	253.13	ACR|2BASARM|3ASPD|2VULN|1DMG	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67VULN|7BPWR|9LIT|aDMG
9	26262 43182	   	253.03	ACR|2BASARM|3ASPD|2VULN|1DMG	17BASARM|2MBVNT|3SPLARM|4RCR|57aASPD|67VULN|7BPWR|8DMG|9DUST
10	26262 43112	   	251.13	ACR|2BASARM|2VULN|2ASPD|1DMG|1CDMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9CDMG|aRPLT
11	26262 43115	   	251.13	ACR|2BASARM|2VULN|2ASPD|1DMG|1CDMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9CDMG|aLHND
12	26262 43116	   	251.13	ACR|2BASARM|2VULN|2ASPD|1DMG|1CDMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9CDMG|aMLV
13	26262 43117	   	251.13	ACR|2BASARM|2VULN|2ASPD|1DMG|1CDMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9CDMG|aFEWX
14	26262 43113	   	251.03	ACR|2BASARM|2VULN|2ASPD|1DMG|1CDMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9CDMG|aAME
15	26262 43114	   	251.03	ACR|2BASARM|2VULN|2ASPD|1DMG|1CDMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9CDMG|aTLV
16	26262 43813	   	249.78	ACR|2BASARM|3ASPD|2VULN|1AART	17BASARM|2MBVNT|3SPLARM|4RCR|57aASPD|67VULN|7BPWR|8AART|9RCVC
17	26262 43371	   	248.92	ACR|2BASARM|3ASPD|2VULN|1AART	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67VULN|7BPWR|9AEFBLL|aAART
18	26262 43122	   	248.78	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9ZMB|aBEXP
19	26262 43134	   	248.78	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9BEXP|aFEWX
20	26262 43136	   	248.78	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9BEXP|aLHND
21	26262 43138	   	248.78	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9BEXP|aRMIN
22	26262 43131	   	248.68	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9BEXP|aDUST
23	26262 43133	   	248.68	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9BEXP|aNUKE
24	26262 43135	   	248.68	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9BEXP|aERES
25	26262 43152	   	248.68	ACR|2BASARM|2VULN|2ASPD|1DMG|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67VULN|7BPWR|8DMG|9ERES|aBEXP
26	26262 43147	 * 	247.38	ACR|3VULN|2BASARM|2ASPD|1DMG	17BASARM|2MBVNT|3SPLARM|4RCR|57ASPD|67aVULN|7BPWR|8DMG|9VENFST
27	26262 43324	   	244.37	ACR|2BASARM|3ASPD|2VULN|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67VULN|7BPWR|9LWND|aBEXP
28	26262 43333	   	244.37	ACR|2BASARM|3ASPD|2VULN|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67VULN|7BPWR|9LIT|aBEXP
29	26262 43381	   	244.27	ACR|2BASARM|3ASPD|2VULN|1BEXP	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67VULN|7BPWR|9MDPS|aBEXP
30	26262 43344	   	243.07	ACR|3VULN|2BASARM|3ASPD	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67aVULN|7BPWR|9ZMB
31	26262 43314	   	242.97	ACR|3VULN|2BASARM|3ASPD	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67aVULN|7BPWR|9ERES
32	26262 43384	   	242.97	ACR|3VULN|2BASARM|3ASPD	17BASARM|2MBVNT|3SPLARM|4RCR|578ASPD|67aVULN|7BPWR|9MDPS
33	36233 14141	   	241.45	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1LHND|2RCR|3AART|4VULN|59ASPD|6ERES|7BASARM|8DMG|aAAC
