0	Index      	 *	Score 	Summary	Detail	
1	13163 62136	 * 	233.42	ACR|3VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9ASPD
2	13163 62161	 * 	231.20	ACR|2VULN|3BEXP|2DMG|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67aBEXP|7BPWR|89DMG
3	13163 62131	   	223.72	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9ASPD|aRCVC
4	25321 33424	 * 	222.83	ACR|1BASARM|2ASPD|1DMG|1VULN|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67ASPD|8DMG|9BASARM|aVULN
5	13163 62135	   	222.41	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17VULN|2CDMG|37aCGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9ASPD
6	13163 62132	   	222.31	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9ASPD|aERES
7	13163 62133	   	222.31	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9ASPD|aTLV
8	13163 62163	   	219.94	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|89DMG|aFEWX
9	13163 62162	   	219.84	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|89DMG|aSNIHEL
10	13163 25411	 * 	218.39	ACR|1BASARM|2VULN|2AART|1CDMG	19VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|aFEWX
11	13163 25412	   	218.39	ACR|1BASARM|2VULN|2AART|1CDMG	19VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|aRMIN
