0	Index      	 *	Score 	Summary	Detail	
1	62322 13226	 * 	216.41	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	13ERES|2VULN|4RCR|57BEXP|6DUR|8DMG|9BASARM|aASPD
2	62322 15226	 * 	214.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6DUR|8DMG|9BASARM|aASPD
3	62322 25226	   	214.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	13ERES|27VULN|4RCR|5BEXP|6LWND|8DMG|9BASARM|aASPD
4	64223 23126	 * 	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	1ERES|2AEFBLL|3LWND|4RCR|5aASPD|67BEXP|8VULN|9BASARM
5	14223 32626	 * 	211.55	ACR|2VULN|1BASARM|2ASPD|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5aASPD|67VULN|8BEXP|9BASARM
6	14223 16126	 * 	206.81	ACR|1BASARM|2ASPD|1VULN|1DMG	1TLV|2AEFBLL|3LWND|4RCR|5aASPD|6ZMB|7DMG|8VULN|9BASARM
7	13523 32624	 * 	206.27	ACR|2VULN|1BASARM|2BEXP|1ASPD	1TLV|23DUST|4RCR|5ASPD|67VULN|8aBEXP|9BASARM
8	63323 23124	 * 	206.19	ACR|1BASARM|3BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67aBEXP|8VULN|9BASARM
9	63523 23124	   	206.19	ACR|1BASARM|3BEXP|1VULN|1ASPD	1ERES|23DUST|4RCR|5ASPD|67aBEXP|8VULN|9BASARM
10	62322 11226	   	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13ERES|2VULN|4RCR|5BEXP|67DUR|8DMG|9BASARM|aASPD
11	14223 16124	   	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5ASPD|6ZMB|7DMG|8VULN|9BASARM|aBEXP
12	14223 24126	   	200.70	ACR|1BASARM|2ASPD|1VULN|1BEXP	1TLV|2AEFBLL|3LWND|4RCR|5aASPD|6BEXP|7RCVC|8VULN|9BASARM
13	62322 31424	   	199.96	ACR|2VULN|1BASARM|2BEXP|1CDMG	13ERES|27VULN|4RCR|5aBEXP|6RPLT|8CDMG|9BASARM
14	62322 46224	   	199.74	ACR|2VULN|1BASARM|1DMG|1BEXP|1AAC	13ERES|27VULN|4RCR|5BEXP|6MBVNT|8DMG|9BASARM|aAAC
15	14223 33626	   	199.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	1TLV|2AEFBLL|37LWND|4RCR|5aASPD|6VULN|8BEXP|9BASARM
16	66323 22126	   	199.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	13ERES|27FEWX|4RCR|5aASPD|6BEXP|8VULN|9BASARM
17	64223 21126	   	198.99	ACR|1BASARM|2ASPD|1VULN|1BEXP	17ERES|2AEFBLL|3LWND|4RCR|5aASPD|6BEXP|8VULN|9BASARM
18	14223 32226	   	197.90	ACR|2VULN|1BASARM|2ASPD	1TLV|2AEFBLL|3LWND|4RCR|5aASPD|67VULN|8FEWX|9BASARM
19	13523 32226	   	197.80	ACR|2VULN|1BASARM|2ASPD	1TLV|23DUST|4RCR|5aASPD|67VULN|8FEWX|9BASARM
20	46223 32226	   	197.80	ACR|2VULN|1BASARM|2ASPD	1DUST|23AME|4RCR|5aASPD|67VULN|8FEWX|9BASARM
21	14223 32526	   	197.80	ACR|2VULN|1BASARM|2ASPD	1TLV|2AEFBLL|3LWND|4RCR|5aASPD|67VULN|8DUST|9BASARM
22	66323 33126	   	197.66	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	13ERES|2FEWX|4RCR|5ASPD|6VULN|7CDMG|8NUKE|9AART|aBASARM
23	33532 33235	 * 	197.48	ACR|2BASARM|2BEXP|1ASPD	1RMIN|2FEWX|3aDUST|4RCR|5ASPD|6LIT|7aBEXP|8LWND|9aBASARM|aBPWR
24	63323 33624	   	196.11	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|6VULN|7aBEXP|8RCVC|9BASARM
25	14224 36123	   	195.35	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2AEFBLL|3LWND|4RCR|56BEXP|7DMG|8VULN|9BASARM|aRCVC
26	64223 23123	   	195.35	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aRCVC
27	14224 36121	   	195.03	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2AEFBLL|3LWND|4RCR|56BEXP|7DMG|8VULN|9BASARM|aFEWX
28	41523 22224	   	195.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	13DUST|28CGEN|4RCR|5ASPD|6aBEXP|7VULN|9BASARM
29	62322 13221	   	195.03	ACR|1BASARM|1VULN|2BEXP|1DMG	13ERES|2VULN|4RCR|57BEXP|6DUR|8DMG|9BASARM|aFEWX
30	62322 13222	   	195.03	ACR|1BASARM|1VULN|2BEXP|1DMG	13ERES|2VULN|4RCR|57BEXP|6DUR|8DMG|9BASARM|aLHND
31	62322 13223	   	195.03	ACR|1BASARM|1VULN|2BEXP|1DMG	13ERES|2VULN|4RCR|57BEXP|6DUR|8DMG|9BASARM|aLWND
32	62322 13225	   	195.03	ACR|1BASARM|1VULN|2BEXP|1DMG	13ERES|2VULN|4RCR|57BEXP|6DUR|8DMG|9BASARM|aCGEN
33	64223 23121	   	195.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aFEWX
34	64223 23125	   	195.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	1ERES|2AEFBLL|3LWND|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aCGEN
35	66323 32623	   	195.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|27FEWX|4RCR|5ASPD|6VULN|8aBEXP|9BASARM
36	66323 22123	   	195.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|27FEWX|4RCR|5ASPD|6aBEXP|8VULN|9BASARM
37	14224 36122	   	194.93	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2AEFBLL|3LWND|4RCR|56BEXP|7DMG|8VULN|9BASARM|aLEGI
38	62322 13326	   	194.93	ACR|1BASARM|1VULN|2BEXP|1ASPD	13ERES|2VULN|4RCR|57BEXP|6DUR|8NUKE|9BASARM|aASPD
39	63323 23121	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aFEWX
40	63323 23122	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLHND
41	63323 23123	   	194.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	13ERES|2DUST|4RCR|5ASPD|67BEXP|8VULN|9BASARM|aLWND
