0	Index      	 *	Score 	Summary	Detail	
1	34313 36383	 * 	221.05	ACR|3ASPD|3DMG|2BEXP|1SELL	1SELL|2MBVNT|3RMIN|4RCR|58aDMG|68LIT|78aASPD|8aBPWR|9aBEXP
2	25133 21265	 * 	209.12	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1CDMG|26AART|3DMG|4MLV|5RCR|7ERES|8RPLT|9ASPD|aBASARM
3	25133 11246	   	203.71	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7DUR|8VULN|9ASPD|aBASARM
4	25133 12246	   	203.71	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7FEWX|8VULN|9ASPD|aBASARM
5	25133 13346	   	203.61	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7VULN|8DUST|9ASPD|aBASARM
6	25133 11643	   	196.77	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7DUR|8LHND|9ASPD|aBASARM
7	25133 31265	   	196.57	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1CDMG|2AART|3DMG|4MLV|5RCR|6AEFBLL|7ERES|8RPLT|9ASPD|aBASARM
8	34313 36313	 * 	192.57	ACR|3ASPD|3DMG|1SELL	1SELL|2MBVNT|3RMIN|4RCR|58aDMG|68LIT|78aASPD|8aBPWR|9aLWND
9	34313 36326	 * 	192.57	ACR|3ASPD|3DMG|1SELL	1SELL|2MBVNT|3RMIN|4RCR|58aDMG|68LIT|78aASPD|8aBPWR|9aCGEN
10	34313 36363	 * 	192.57	ACR|3ASPD|3DMG|1SELL	1SELL|2MBVNT|3RMIN|4RCR|58aDMG|68LIT|78aASPD|8aBPWR|9aLHND
11	25133 24353	 * 	192.02	ACR|2DMG|2AART|1ASPD|1BEXP|1CDMG	1CDMG|26AART|39DMG|4MLV|5RCR|7ASPD|8LWND|aBEXP
12	25133 11256	   	191.95	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7DUR|8VULN|9AAC|aBASARM
13	25133 12256	   	191.95	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7FEWX|8VULN|9AAC|aBASARM
14	25133 13356	   	191.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1CDMG|2AART|3DMG|4MLV|5RCR|6BELT|7VULN|8DUST|9AAC|aBASARM
