0	Index      	 *	Score 	Summary	Detail	
1	42117 32134	 * 	198.79	ACR|1BASARM|2DMG|3VULN	1RCVC|2MBVNT|367VULN|4aDMG|5RCR|8LIT|9BASARM
2	36525 32133	 * 	196.04	ACR|1BASARM|3VULN|2AAC|1CDMG	1DUR|23AAC|4RCR|567VULN|8LIT|9BASARM|aCDMG
3	42117 21354	 * 	195.79	ACR|1BASARM|2DMG|1BEXP|1AAC|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6BEXP|7LWND|9BASARM|aAAC
4	42117 32133	 * 	194.85	ACR|1BASARM|3VULN|1DMG|1CDMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8LIT|9BASARM|aCDMG
5	45121 33115	 * 	193.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1RCVC|2MLV|3BEXP|4RCR|5DUR|6AAC|79ASPD|8DUST|aBASARM
6	63132 32521	 * 	192.73	DCR|2BASARM|2ASPD|1BEXP|1CDMG|1AART	157LWND|2LHND|37ASPD|4AART|67BASARM|7BPWR|8BEXP|9CDMG|aRCR
7	42117 21454	 * 	191.23	ACR|1BASARM|2VULN|1DMG|1BEXP|1AAC	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6BEXP|7LWND|9BASARM|aAAC
8	45126 12232	 * 	187.65	ACR|1BASARM|3BEXP|1CDMG	1RCVC|2MLV|39aBEXP|4RCR|5ZMB|6CDMG|7BASARM|8NUKE
9	42117 21353	   	187.48	ACR|1BASARM|2DMG|1BEXP|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6BEXP|7LWND|9BASARM|aRPLT
10	42117 21352	   	187.38	ACR|1BASARM|2DMG|1BEXP|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6BEXP|7LWND|9BASARM|aMDPS
11	42117 37434	   	186.86	ACR|1BASARM|2DMG|2VULN	1RCVC|2MBVNT|36VULN|4aDMG|5RCR|7LIT|8DMSP|9BASARM
12	63132 32621	   	186.02	DCR|2BASARM|2ASPD|1AART|1CDMG|1VULN	157LWND|2LHND|37ASPD|4AART|67BASARM|7BPWR|8VULN|9CDMG|aRCR
13	42354 12147	 * 	184.91	ACR|1BASARM|1DMG|1CDMG|1AART|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8LHND|9DMG|aAART
14	42354 12231	 * 	184.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8NUKE|9BEXP|aDMG
15	42354 12462	 * 	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AEFBLL|9ASPD|aBEXP
16	42354 12631	   	184.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1RCVC|2MBVNT|3CGEN|4AAC|5RCR|6CDMG|7BASARM|8AME|9BEXP|aDMG
17	42116 24154	 * 	184.44	DCR|3DMG|1BASARM|3VULN	1RCVC|2MBVNT|356VULN|467DMG|6BPWR|8DUST|9BASARM|aRCR
18	42334 16446	 * 	183.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RCVC|2MBVNT|3CGEN|4ZMB|5RCR|6CDMG|7RPLT|8ASPD|9DMG|aBASARM
19	42117 21453	   	182.92	ACR|1BASARM|2VULN|1DMG|1BEXP	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6BEXP|7LWND|9BASARM|aRPLT
20	42117 37433	   	182.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1RCVC|2MBVNT|36VULN|4DMG|5RCR|7LIT|8DMSP|9BASARM|aCDMG
21	42117 21452	   	182.82	ACR|1BASARM|2VULN|1DMG|1BEXP	1RCVC|2MBVNT|38VULN|4DMG|5RCR|6BEXP|7LWND|9BASARM|aMDPS
22	12626 12333	 * 	182.44	ACR|2BASARM|1ASPD|1CDMG	1TLV|23LHND|4RCR|5ZMB|6CDMG|79BASARM|8AME|aASPD
23	45122 26321	   	182.40	ACR|1BASARM|3BEXP|1AAC	1RCVC|2MLV|369BEXP|4RCR|5LWND|7LIT|8AAC|aBASARM
24	36525 32131	   	182.39	ACR|1BASARM|3VULN|2AAC	1DUR|23AAC|4RCR|567VULN|8LIT|9BASARM|aMLV
25	36525 32132	   	182.39	ACR|1BASARM|3VULN|2AAC	1DUR|23AAC|4RCR|567VULN|8LIT|9BASARM|aCGEN
26	42117 11354	   	182.14	ACR|1BASARM|2DMG|1AAC|1VULN	1RCVC|2MBVNT|3VULN|48DMG|5RCR|6FEWX|7LWND|9BASARM|aAAC
27	45126 12121	   	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MLV|3BEXP|4RCR|5ZMB|6CDMG|7BASARM|8LHND|9ERES|aDMG
28	45126 12221	   	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MLV|3BEXP|4RCR|5ZMB|6CDMG|7BASARM|8NUKE|9LWND|aDMG
29	45226 12231	   	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2MLV|3FEWX|4RCR|5ZMB|6CDMG|7BASARM|8NUKE|9BEXP|aDMG
30	42117 32131	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8LIT|9BASARM|aMLV
31	42117 32132	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8LIT|9BASARM|aCGEN
32	42117 32135	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8LIT|9BASARM|aLWND
33	42117 32136	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8LIT|9BASARM|aLHND
34	42117 32137	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8LIT|9BASARM|aFEWX
35	42117 32138	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4DMG|5RCR|8aLIT|9BASARM
36	42167 32134	   	181.20	ACR|1BASARM|3VULN|1DMG	1RCVC|2MBVNT|367VULN|4ZMB|5RCR|8LIT|9BASARM|aDMG
37	12626 12622	 * 	180.31	ACR|1BASARM|2AART|2CDMG	1TLV|23LHND|4RCR|5ZMB|69CDMG|7BASARM|8aAART
38	21225 22133	   	179.99	ACR|1BASARM|3VULN|1CDMG	13FEWX|26ZMB|4RCR|567VULN|6BPWR|8LIT|9BASARM|aCDMG
39	36525 33312	 * 	179.73	ACR|2DMG|2VULN|1ASPD|2AAC	1DUR|23AAC|4RCR|56VULN|7ASPD|8aDMG|9LHND
40	42354 12543	 * 	179.11	ACR|1BASARM|1DMG|2AAC|1CDMG	1RCVC|2MBVNT|3CGEN|4aAAC|5RCR|6CDMG|7BASARM|8DUR|9DMG
