0	Index      	 *	Score 	Summary	Detail	
1	43362 63122	 * 	238.43	ACR|2BASARM|2ASPD|2VULN|1BEXP	145DUST|2RCR|3aASPD|6aBASARM|7TLV|8BEXP|9aVULN|aBPWR
2	56214 12333	 * 	228.51	ACR|1BASARM|3BEXP|2DMG|1VULN	1RPLT|235BEXP|3BPWR|4RCR|69DMG|7VULN|8BASARM|aLHND
3	56314 12333	   	228.51	ACR|1BASARM|3BEXP|2DMG|1VULN	1RPLT|235BEXP|4RCR|69DMG|7VULN|8BASARM|aLHND
4	56214 12331	   	228.41	ACR|1BASARM|3BEXP|2DMG|1VULN	1RPLT|235BEXP|3BPWR|4RCR|69DMG|7VULN|8BASARM|aDUST
5	56214 12332	   	228.41	ACR|1BASARM|3BEXP|2DMG|1VULN	1RPLT|235BEXP|3BPWR|4RCR|69DMG|7VULN|8BASARM|aERES
6	56314 12331	   	228.41	ACR|1BASARM|3BEXP|2DMG|1VULN	1RPLT|235BEXP|4RCR|69DMG|7VULN|8BASARM|aDUST
7	56314 12332	   	228.41	ACR|1BASARM|3BEXP|2DMG|1VULN	1RPLT|235BEXP|4RCR|69DMG|7VULN|8BASARM|aERES
8	56214 12322	   	226.58	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1RPLT|235BEXP|3BPWR|4RCR|6DMG|7VULN|8BASARM|9DUR|aAART
9	56314 12322	   	226.58	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1RPLT|235BEXP|4RCR|6DMG|7VULN|8BASARM|9DUR|aAART
10	56214 12313	   	224.48	ACR|1BASARM|3BEXP|1VULN|1DMG|1CDMG	1RPLT|235BEXP|3BPWR|4RCR|6DMG|7VULN|8BASARM|9AME|aCDMG
11	56314 12313	   	224.48	ACR|1BASARM|3BEXP|1VULN|1DMG|1CDMG	1RPLT|235BEXP|4RCR|6DMG|7VULN|8BASARM|9AME|aCDMG
12	43314 33623	 * 	224.14	ACR|3ASPD|2AART|1VULN|1BASICY	16DUST|2RCR|356ASPD|4RCVC|6BPWR|7VULN|8aAART|9BASICY
13	43314 33622	   	223.34	ACR|3ASPD|1VULN|1BASICY|1AART|1CDMG	16DUST|2RCR|356ASPD|4RCVC|6BPWR|7VULN|8AART|9BASICY|aCDMG
14	43221 61224	 * 	222.89	ACR|2BEXP|1VULN|1ASPD|1DMG|1BASICY|1AART	1DUST|2RCR|34BEXP|5AART|6VULN|7DUR|8ASPD|9BASICY|aDMG
15	43323 11212	 * 	219.62	ACR|1BASARM|2ASPD|1VULN|1DMG	1DUST|2RCR|35ASPD|4DUR|6DMG|7MLV|8VULN|9MDPS|aBASARM
16	43323 15212	   	219.62	ACR|1BASARM|2ASPD|1VULN|1DMG	1DUST|2RCR|35ASPD|4DUR|6DMG|7CGEN|8VULN|9MDPS|aBASARM
17	43343 36112	   	219.52	ACR|1BASARM|2ASPD|1VULN|1DMG	1DUST|2RCR|35ASPD|4ERES|6VULN|7DMG|8DUR|9MDPS|aBASARM
18	43323 12212	   	219.52	ACR|1BASARM|2ASPD|1VULN|1DMG	1DUST|2RCR|35ASPD|4DUR|6DMG|7TLV|8VULN|9MDPS|aBASARM
19	43314 35121	 * 	219.34	ACR|3ASPD|1VULN|1DMG|1BEXP|1CDMG	16DUST|2RCR|356ASPD|4RCVC|6BPWR|7CDMG|8BEXP|9VULN|aDMG
20	43431 36212	 * 	217.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	18DUST|2RCR|3AME|4RMIN|5AART|6BEXP|7BASARM|9DMG|aASPD
21	43221 36232	 * 	216.91	ACR|3ASPD|2BEXP|1VULN|1AART	1DUST|2RCR|34BEXP|5AART|6VENICY|79aASPD|8VULN
22	43221 36412	   	216.91	ACR|3ASPD|2BEXP|1VULN|1AART	1DUST|2RCR|34BEXP|5AART|6VENICY|78aASPD|9VULN
23	43221 61215	 * 	216.81	ACR|2ASPD|2AART|2BEXP|1VULN	1DUST|2RCR|34BEXP|59AART|6VULN|7DUR|8aASPD
24	43221 44221	   	216.48	ACR|2BEXP|1VULN|1ASPD|1BASICY|1AART|1CDMG	1DUST|2RCR|34BEXP|5AART|6FEWX|7VULN|8ASPD|9BASICY|aCDMG
