0	Index      	 *	Score 	Summary	Detail	
1	31211 25242	 * 	191.79	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	19ERES|2ASPD|3AART|49DMG|5ZMB|6RCR|7LSRREG|89VULN|9BPWR|aDUR
2	26513 13842	 * 	191.73	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	19FEWX|2AART|369VULN|4SELL|5MBVNT|7RCR|89DMG|9BPWR|aZMB
3	31211 25246	 * 	191.47	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	19ERES|2aASPD|3AART|49DMG|5ZMB|6RCR|7LSRREG|89VULN|9BPWR
4	36232 63335	   	189.07	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	189ERES|29DMG|3AART|4ZMB|5aVULN|69ASPD|7RCR|9BPWR
5	26513 13843	 * 	187.66	DCR|3VULN|2DMG|1AART|1DUR|1SELL	19FEWX|2AART|369VULN|4SELL|5MBVNT|7RCR|89DMG|9BPWR|aDUR
6	36232 63431	 * 	187.23	DCR|3DMG|1AART|1VULN|2ASPD|1ZMB	19ERES|289DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aLIT
7	36232 63432	   	187.23	DCR|3DMG|1AART|1VULN|2ASPD|1ZMB	19ERES|289DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aCGEN
8	36232 63433	   	187.13	DCR|3DMG|1AART|1VULN|2ASPD|1ZMB	19ERES|289DMG|3AART|4ZMB|5VULN|69ASPD|7RCR|9BPWR|aVENICY
9	31211 25241	   	184.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19ERES|2ASPD|3AART|49DMG|5ZMB|6RCR|7LSRREG|89VULN|9BPWR|aLWND
10	31211 25243	   	184.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19ERES|2ASPD|3AART|49DMG|5ZMB|6RCR|7LSRREG|89VULN|9BPWR|aLIT
11	31211 25244	   	184.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19ERES|2ASPD|3AART|49DMG|5ZMB|6RCR|7aLSRREG|89VULN|9BPWR
12	31211 25245	   	184.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19aERES|2ASPD|3AART|49DMG|5ZMB|6RCR|7LSRREG|89VULN|9BPWR
13	31211 22551	 * 	182.92	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7RPLT|89aVULN
14	26316 35312	   	181.12	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2AART|39aDMG|4ERES|5ZMB|6DUR|7RCR|8VULN
15	21645 31313	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47VULN|59DMG|6RCR|8RPLT|aAART
16	26513 13841	 * 	180.72	DCR|3VULN|2DMG|1AART|1SELL	19FEWX|2AART|369VULN|4SELL|5MBVNT|7RCR|89DMG|9BPWR|aRMIN
17	26513 13844	 * 	180.72	DCR|3VULN|2DMG|1AART|1SELL	19FEWX|2AART|369VULN|4SELL|5MBVNT|7RCR|89DMG|9BPWR|aLHND
18	36233 35312	   	180.52	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1ERES|29aDMG|3AART|4ZMB|5FEWX|6DUR|7RCR|8VULN
19	13151 12561	 * 	180.06	DCR|3VULN|2DMG|2ASPD|1CDMG	1BELT|289VULN|38ASPD|48DMG|5NUKE|6LEGI|7RCR|8BPWR|aCDMG
20	31231 22625	 * 	179.38	DCR|2VULN|1AART|3CDMG|1DMG|2ASPD	167ERES|28ASPD|3AART|48VULN|568CDMG|68BPWR|9DMG|aRCR
21	26241 12222	 * 	178.86	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|2AART|3LHND|4LWND|5CDMG|6aVULN|7RCR|89DMG
22	26641 12222	   	178.86	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|2AART|3LWND|4LHND|5CDMG|6aVULN|7RCR|89DMG
23	66312 12336	 * 	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1CGEN|29DMG|3DUR|4RCR|58VULN|6LHND|7ZMB|aAART
24	36232 63141	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2DMG|3AART|4ZMB|5aVULN|6ASPD|7RCR|8LWND|9CDMG
25	36232 63241	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2DMG|3AART|4ZMB|5aVULN|6ASPD|7RCR|8BEXP|9CDMG
26	36233 35316	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|29DMG|3AART|4ZMB|5FEWX|6DUR|7RCR|8VULN|aCDMG
27	36234 21421	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|28DMG|3AART|4ZMB|5CGEN|6RCR|7DMSP|9aVULN
28	36234 22411	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|28DMG|3AART|4ZMB|59CGEN|6RCR|7aVULN
29	36234 22431	   	177.82	DCR|2VULN|2DMG|1AART|1ZMB	19ERES|28DMG|3AART|4ZMB|5CGEN|6RCR|7aVULN
30	36236 16232	 * 	177.73	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1ERES|2DMG|3AART|49ZMB|5CDMG|6RCR|7SNIHEL|8aVULN
31	26331 32164	   	177.65	DCR|2VULN|2DMG|1AART|2DUR	1aFEWX|2AART|3aDMG|46DUR|5RPLT|7RCR|8LWND|9aVULN|aBPWR
32	26241 12262	 * 	176.93	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|2AART|3LHND|4LWND|5CDMG|69aVULN|7RCR|8DMG
33	26316 35332	 * 	176.92	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1FEWX|29AART|3aDMG|4ERES|5ZMB|6DUR|7RCR|8VULN
