0	Index      	 *	Score 	Summary	Detail	
1	51216 61231	 * 	212.10	ACR|4VULN|1AART|1DMG|3DUR|1CDMG	178MLV|2RCR|3AART|4DMG|578aVULN|678DUR|78BPWR|9CDMG
2	51253 21253	 * 	210.89	ACR|4VULN|3ZMB|1AART|1DMG	178MLV|2RCR|3AART|49FEWX|5789VULN|678ZMB|789BPWR|aDMG
3	51216 24333	 * 	206.08	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9TLV|aCDMG
4	51216 22431	 * 	206.08	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9CDMG|aDUR
5	51216 25231	   	206.08	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9CDMG|aDUR
6	35216 22512	 * 	200.56	DCR|3VULN|3DMG|1AART|1DUR	17aDMG|2DUR|3AART|4NUKE|59aVULN|6aLSRICY|8RCR|aBPWR
7	51216 21361	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|469DMG|56VULN|6BPWR|7DLOT|8CDMG|aRCVC
8	51216 21362	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|469DMG|56VULN|6BPWR|7DLOT|8CDMG|aFEWX
9	51216 21363	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|469DMG|56VULN|6BPWR|7DLOT|8CDMG|aBEXP
10	51216 22432	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9CDMG|aRMIN
11	51216 22433	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9CDMG|aFEWX
12	51216 25232	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9CDMG|aRMIN
13	51216 25233	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9CDMG|aFEWX
14	51214 31512	   	199.04	ACR|3DMG|2VULN|1AART|1CDMG	1MLV|2RCR|3AART|456DMG|7LSRHEA|89VULN|aCDMG
15	51216 26222	   	198.02	ACR|3VULN|2DMG|1AART|2DUR	18MLV|2RCR|3AART|46DMG|568VULN|68BPWR|78DUR|9CGEN|aLWND
16	51216 61221	   	198.00	ACR|3VULN|1AART|1DMG|3DUR|1CDMG	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9BEXP|aCDMG
17	51216 61232	   	198.00	ACR|3VULN|1AART|1DMG|3DUR|1CDMG	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9CDMG|aRPLT
18	51216 61233	   	198.00	ACR|3VULN|1AART|1DMG|3DUR|1CDMG	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9CDMG|aFEWX
19	51216 26223	   	197.92	ACR|3VULN|2DMG|1AART|2DUR	18MLV|2RCR|3AART|46DMG|568VULN|68BPWR|78DUR|9CGEN|aDUST
20	51216 26232	   	197.92	ACR|3VULN|2DMG|1AART|2DUR	18MLV|2RCR|3AART|46DMG|568VULN|68BPWR|78DUR|9TLV|aLWND
21	51216 61211	   	197.90	ACR|3VULN|1AART|1DMG|3DUR|1CDMG	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9DUST|aCDMG
22	51216 26233	   	197.82	ACR|3VULN|2DMG|1AART|2DUR	18MLV|2RCR|3AART|46DMG|568VULN|68BPWR|78DUR|9TLV|aDUST
23	51213 15512	 * 	197.29	ACR|3DMG|2AART|1VULN|1ZMB|1ASPD	1MLV|2RCR|35AART|479DMG|6VULN|8ZMB|aASPD
24	51213 32652	   	197.29	ACR|3DMG|2AART|1VULN|1ZMB|1ASPD	1MLV|2RCR|35AART|467DMG|8ASPD|9ZMB|aVULN
25	51216 25323	 * 	196.93	ACR|3DMG|2AART|2VULN	1MLV|2RCR|3aAART|467DMG|56VULN|6BPWR|8RCVC|9TLV
26	51213 32215	   	196.83	ACR|3DMG|2AART|2VULN	1MLV|2RCR|35AART|467DMG|8AIRHEL|9aVULN
27	63253 22523	   	196.82	DCR|3VULN|2DMG|1AART|1CDMG	1DUST|2AART|37DMG|4FEWX|59aVULN|6RCR|8CDMG
28	63334 15122	   	196.67	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	17DUST|2AART|379VULN|4SELL|57DMG|6RCR|7BPWR|8FEWX|aCDMG
29	63334 15322	   	196.67	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	17DUST|2AART|379VULN|4SELL|57DMG|6RCR|7BPWR|8LWND|aCDMG
30	51253 21235	 * 	196.59	ACR|3VULN|3ZMB|1AART|2CDMG	178MLV|2RCR|3AART|4FEWX|578VULN|678ZMB|78BPWR|9aCDMG
31	35216 22532	 * 	196.35	DCR|3DMG|2AART|2VULN|1DUR	17aDMG|2DUR|39AART|4NUKE|5aVULN|6aLSRICY|8RCR|aBPWR
32	61253 22523	   	196.22	DCR|3VULN|2DMG|1AART|1CDMG	1DUST|27DMG|3AART|4FEWX|59aVULN|6RCR|8CDMG
33	51216 21336	   	194.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8CDMG|9DMSP|aZMB
34	63334 15121	 * 	194.47	DCR|3VULN|2AART|2DMG|1SELL	17DUST|2aAART|379VULN|4SELL|57DMG|6RCR|7BPWR|8FEWX
35	63334 15321	 * 	194.47	DCR|3VULN|2AART|2DMG|1SELL	17DUST|2aAART|379VULN|4SELL|57DMG|6RCR|7BPWR|8LWND
36	51213 16225	   	193.71	ACR|2AART|2VULN|2DMG|2DUR	18MLV|2RCR|35AART|4aDMG|68VULN|78DUR|8BPWR|9CGEN
37	32216 22512	   	193.62	DCR|3VULN|3DMG|1AART	17aDMG|2BEXP|3AART|4NUKE|59aVULN|6aLSRICY|8RCR|aBPWR
38	51213 16235	   	193.61	ACR|2AART|2VULN|2DMG|2DUR	18MLV|2RCR|35AART|4aDMG|68VULN|78DUR|8BPWR|9TLV
39	51213 32212	   	192.90	ACR|3DMG|2AART|1VULN|1CDMG	1MLV|2RCR|35AART|467DMG|8AIRHEL|9VULN|aCDMG
40	32263 22433	   	192.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2BEXP|3AART|48DUR|5aVULN|6RCR|9CDMG
41	35253 22433	   	192.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|28DUR|3AART|4BEXP|5aVULN|6RCR|9CDMG
42	63253 22521	   	192.61	DCR|2AART|2VULN|2DMG|1CDMG	1DUST|2aAART|37DMG|4FEWX|59VULN|6RCR|8CDMG
43	51216 24322	   	192.53	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9BEXP|aLWND
