0	Index      	 *	Score 	Summary	Detail	
1	54311 13224	 * 	188.58	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2ASPD|3RCR|478VULN|5SELL|6DMG|9DUR|aAART
2	54311 13623	 * 	187.03	ACR|3VULN|2DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2ASPD|3RCR|479VULN|5SELL|6aDMG|8ZMB
3	42332 31131	 * 	186.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1LWND|26AART|3RCR|4FEWX|5CDMG|7ZMB|8aDMG|9VULN
4	51314 13121	 * 	185.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2TLV|3RCR|46VULN|5DUR|7AART|8aDMG|9FEWX
5	51314 13151	   	185.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2TLV|3RCR|46VULN|5DUR|7AART|8aDMG|9LWND
6	62323 32431	 * 	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2aDMG|34VULN|5DUR|6RCR|7AART|8LHND|9CDMG
7	51316 23163	 * 	184.90	ACR|2VULN|2DMG|1AART|2CDMG	19CDMG|2TLV|3RCR|45VULN|6LWND|7AART|8aDMG
8	54333 34111	   	184.78	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2ASPD|3RCR|4ZMB|5FEWX|6DUR|78VULN|9AART|aDMG
9	62323 34511	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2aDMG|34VULN|5DUR|6RCR|7FEWX|8CDMG|9AART
10	62323 36511	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2aDMG|34VULN|5DUR|6RCR|7BEXP|8CDMG|9AART
11	62321 31511	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2aDMG|34VULN|5DUST|6RCR|7DUR|8CDMG|9AART
12	62323 33511	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2aDMG|34VULN|5DUR|6RCR|7DUST|8CDMG|9AART
13	51314 13116	 * 	183.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2TLV|3RCR|46aVULN|5DUR|7AART|8DMG|9RPLT
14	51314 13135	   	183.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2TLV|3RCR|46aVULN|5DUR|7AART|8DMG|9RCVC
15	51313 53611	   	183.00	ACR|2VULN|2DMG|1AART|2CDMG	15CDMG|28TLV|3RCR|47VULN|69DMG|aAART
16	51312 13165	 * 	182.96	ACR|3VULN|1AART|1DMG|2CDMG	19CDMG|2TLV|3RCR|46aVULN|5BEXP|7AART|8DMG
17	54311 11411	 * 	182.44	ACR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19CDMG|2ASPD|3RCR|49VULN|5SELL|69aDMG|7MBVNT|8RMIN|9BPWR
18	42332 31631	 * 	182.34	ACR|3VULN|2AART|1CDMG|1ZMB	1aLWND|26AART|3RCR|4aFEWX|5CDMG|7ZMB|89aVULN|aBPWR
19	54311 13216	   	181.64	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1CDMG|2ASPD|3RCR|478VULN|5SELL|6DMG|9LHND|aAART
20	54311 13234	   	181.64	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1CDMG|2ASPD|3RCR|478VULN|5SELL|6DMG|9FEWX|aAART
21	42332 62631	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|3RCR|4FEWX|5CDMG|6TLV|79VULN|8aDMG
22	42314 51131	   	181.54	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	16LWND|2AART|3RCR|4RPLT|56VULN|6BPWR|7SELL|8aDMG|9CDMG
23	62343 38111	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2aDMG|38VULN|4CDMG|5MBVNT|6DUR|7RCR|9AART
24	54331 31113	 * 	181.31	ACR|3CDMG|1AART|3ASPD|1VULN|3DUR|1ZMB	178CDMG|278ASPD|3RCR|4ZMB|5LHND|678DUR|78BPWR|9VULN|aAART
25	54333 31111	   	181.31	ACR|3CDMG|1AART|1VULN|3ASPD|3DUR|1ZMB	178CDMG|278ASPD|3RCR|4ZMB|5FEWX|678DUR|78BPWR|9VULN|aAART
26	54312 23236	   	180.94	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	15CDMG|2ASPD|3RCR|489VULN|6LWND|7AART|aZMB
27	42322 22651	 * 	180.93	ACR|4VULN|1AART|1CDMG|1ASPD	1aLWND|2AART|3RCR|4aLHND|5CDMG|6ASPD|789aVULN|aBPWR
28	22233 62651	   	179.99	ACR|4VULN|1AART|1CDMG|1ZMB	1aLHND|2AART|3aDUST|4ZMB|5RCR|6CDMG|789aVULN|aBPWR
29	54312 53211	 * 	179.78	ACR|2VULN|2DMG|3CDMG|2ASPD	159CDMG|2aASPD|3RCR|47VULN|6aDMG|8aCGEN|aBPWR
30	54311 13223	 * 	179.48	ACR|4VULN|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2ASPD|3RCR|478aVULN|5SELL|6DMG|9DUR
31	62321 33111	 * 	178.97	DCR|3VULN|2DMG|1AART	1MLV|2aDMG|348VULN|5DUST|6RCR|7RPLT|9AART
32	54314 32232	   	178.93	ACR|4VULN|1AART|1CDMG|1ASPD	1CDMG|2ASPD|3RCR|4789VULN|5AART|6BEXP|aLHND
33	54314 32233	   	178.93	ACR|4VULN|1AART|1CDMG|1ASPD	1CDMG|2ASPD|3RCR|4789VULN|5AART|6BEXP|aRPLT
34	54314 32231	   	178.83	ACR|4VULN|1AART|1CDMG|1ASPD	1CDMG|2ASPD|3RCR|4789VULN|5AART|6BEXP|aDUST
35	51316 23162	 * 	178.76	ACR|2VULN|2AART|1DMG|2CDMG	19CDMG|2TLV|3RCR|45VULN|6LWND|7aAART|8DMG
36	51312 13121	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|46VULN|5BEXP|7AART|8aDMG|9FEWX
37	51312 13151	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|46VULN|5BEXP|7AART|8aDMG|9LWND
38	51316 23121	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|45VULN|6LWND|7AART|8aDMG|9FEWX
39	51316 23133	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|45VULN|6LWND|7AART|8aDMG|9RCVC
40	51316 23151	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|45VULN|6LWND|7AART|8aDMG|9LHND
41	51346 13121	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|4LHND|56VULN|7AART|8aDMG|9FEWX
42	51346 13133	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|4LHND|56VULN|7AART|8aDMG|9RCVC
43	51356 13121	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|4LWND|56VULN|7AART|8aDMG|9FEWX
44	51356 13133	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3RCR|4LWND|56VULN|7AART|8aDMG|9RCVC
45	25236 61312	 * 	178.27	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|2DUR|1ZMB	18LHND|28ASPD|3DMG|4CDMG|58DUR|6AART|7RCR|8BPWR|9ZMB|aVULN
46	51416 33121	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3LHND|45VULN|6RCR|7AART|8aDMG|9FEWX
47	51416 33133	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|3LHND|45VULN|6RCR|7AART|8aDMG|9RCVC
48	51611 33121	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|34VULN|5BEXP|6RCR|7AART|8aDMG|9FEWX
49	51611 33151	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|34VULN|5BEXP|6RCR|7AART|8aDMG|9LWND
50	51621 33121	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24TLV|34VULN|4BPWR|5BEXP|6RCR|7AART|8aDMG|9FEWX
51	51621 33151	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24TLV|34VULN|4BPWR|5BEXP|6RCR|7AART|8aDMG|9LWND
52	54333 24111	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|3RCR|4ZMB|5FEWX|6BEXP|78VULN|9AART|aDMG
53	13542 53211	   	177.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2ASPD|3RCR|4CDMG|5ZMB|6aDMG|7VULN|8DUST|9AART
54	51312 16511	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2TLV|3RCR|46VULN|5BEXP|7ZMB|8DUR|9AART|aDMG
55	51333 34111	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2TLV|3RCR|4ZMB|5FEWX|6DUR|78VULN|9AART|aDMG
56	51336 24111	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2TLV|3RCR|4ZMB|5DUR|6BEXP|78VULN|9AART|aDMG
57	54322 53211	   	177.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|3RCR|4CGEN|5ZMB|6aDMG|7VULN|8DUST|9AART
58	62342 23236	 * 	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2DMG|389VULN|4CDMG|5ZMB|6LWND|7AART|aRCR
59	54315 13232	   	177.73	ACR|4VULN|1AART|1CDMG|1ASPD	1CDMG|2ASPD|3RCR|4689VULN|5aLHND|7AART
60	54311 13613	   	177.69	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD|1SELL	19CDMG|2ASPD|3RCR|47VULN|5SELL|6aDMG|8ZMB
61	33542 53211	   	177.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1TLV|2ASPD|3RCR|4CDMG|5ZMB|6aDMG|7VULN|8DUST|9AART
62	51314 13632	   	177.63	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2TLV|3RCR|4689VULN|5DUR|7AART|aLHND
63	54315 13231	   	177.63	ACR|4VULN|1AART|1CDMG|1ASPD	1CDMG|2ASPD|3RCR|4689VULN|5LHND|7AART|aDUST
64	54315 13233	   	177.63	ACR|4VULN|1AART|1CDMG|1ASPD	1CDMG|2ASPD|3RCR|4689VULN|5LHND|7AART|aERES
65	51314 13631	   	177.53	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2TLV|3RCR|4689VULN|5DUR|7AART|aDUST
66	51314 13633	   	177.53	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2TLV|3RCR|4689VULN|5DUR|7AART|aMBVNT
67	54314 32111	 * 	177.05	ACR|2VULN|1AART|2CDMG|2ZMB|2ASPD	1aCDMG|2aASPD|3RCR|47VULN|5AART|6BEXP|8NUKE|9aZMB|aBPWR
68	42332 33331	   	176.70	ACR|2AART|1DMG|2CDMG|1VULN|2DUR	18LWND|26AART|3RCR|4FEWX|58CDMG|78DUR|8BPWR|9VULN|aDMG
69	51312 13116	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|46aVULN|5BEXP|7AART|8DMG|9RPLT
70	51312 13135	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|46aVULN|5BEXP|7AART|8DMG|9RCVC
