0	Index      	 *	Score 	Summary	Detail	
1	26234 23612	 * 	221.88	DCR|4VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247aVULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9CDMG
2	26234 23212	 * 	216.51	DCR|3VULN|2DMG|1AART|3ZMB|1CDMG	1AART|247VULN|3LIT|578ZMB|67DMG|7BPWR|9CDMG|aRCR
3	26212 23612	   	209.27	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	1AART|27aVULN|3LIT|47ASPD|5RCVC|67DMG|7BPWR|8RCR|9CDMG
4	22234 23612	   	207.77	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	1AART|27LIT|34aVULN|57ZMB|67DMG|7BPWR|8RCR|9CDMG
5	26234 23611	   	207.77	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9CDMG|aRMIN
6	26234 23613	   	207.67	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9CDMG|aERES
7	22231 21546	 * 	204.22	DCR|4VULN|3DMG|1AART	1AART|258LIT|3478VULN|689DMG|8BPWR|aRCR
8	26234 23111	   	202.97	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8FEWX|9CDMG|aRCR
9	26234 23311	   	202.97	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8LHND|9CDMG|aRCR
10	26234 23411	   	202.97	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8LWND|9CDMG|aRCR
11	26234 23623	   	201.06	DCR|3VULN|2DMG|1AART|2ZMB	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9LWND|aDUR
12	26234 23632	   	200.96	DCR|3VULN|2DMG|1AART|2ZMB	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9TLV|aDUR
13	22234 23212	   	200.85	DCR|2VULN|2DMG|1AART|3ZMB|1CDMG	1AART|27LIT|34VULN|578ZMB|67DMG|7BPWR|9CDMG|aRCR
14	22234 22612	   	200.23	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2LIT|347aVULN|5ZMB|6DMG|8RCR|9CDMG
15	26234 22612	   	200.23	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1AART|247aVULN|3LIT|5ZMB|6DMG|8RCR|9CDMG
16	26234 21351	 * 	198.64	DCR|3VULN|1AART|2CDMG|1DMG|2ZMB	1AART|249VULN|3LIT|59ZMB|6DMG|7DUR|89CDMG|9BPWR|aRCR
17	26234 33612	   	197.77	DCR|4VULN|1AART|2ZMB|1CDMG|2ASPD	1AART|247aVULN|3LIT|57ZMB|67ASPD|7BPWR|8RCR|9CDMG
18	26212 23642	   	195.62	DCR|3DMG|2VULN|1AART|2ASPD	1AART|27VULN|3LIT|47ASPD|5RCVC|679DMG|7BPWR|8RCR|aMLV
19	26212 23643	   	195.62	DCR|3DMG|2VULN|1AART|2ASPD	1AART|27VULN|3LIT|47ASPD|5RCVC|679DMG|7BPWR|8RCR|aCGEN
20	26212 23635	   	195.52	DCR|3DMG|2VULN|1AART|2ASPD	1AART|27VULN|3LIT|47ASPD|5RCVC|67aDMG|7BPWR|8RCR|9TLV
21	22234 23265	   	194.14	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27LIT|34VULN|578ZMB|67DMG|7BPWR|9ASPD|aRCR
22	22234 23642	 * 	194.12	DCR|3DMG|2VULN|1AART|2ZMB	1AART|27LIT|34VULN|57ZMB|679DMG|7BPWR|8RCR|aMLV
23	22234 23643	   	194.12	DCR|3DMG|2VULN|1AART|2ZMB	1AART|27LIT|34VULN|57ZMB|679DMG|7BPWR|8RCR|aCGEN
24	26234 23621	   	194.12	DCR|3VULN|2DMG|1AART|2ZMB	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9LWND|aMLV
25	26234 23622	   	194.12	DCR|3VULN|2DMG|1AART|2ZMB	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9LWND|aRPLT
26	26234 23631	   	194.02	DCR|3VULN|2DMG|1AART|2ZMB	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9TLV|aCGEN
27	26234 23633	   	194.02	DCR|3VULN|2DMG|1AART|2ZMB	1AART|247VULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9TLV|aBEXP
