0	Index      	 *	Score 	Summary	Detail	
1	22613 15222	 * 	202.05	ACR|2VULN|2DMG|1AART|2FLTHEA|3DUR	17aDUR|2aDMG|3RCR|47BEXP|57VULN|6AART|7aBPWR|8aFLTHEA|9BELT
2	22123 54422	 * 	198.51	DCR|3VULN|3DMG|2CDMG|2DUR	1aDUR|23aDMG|4CGEN|59CDMG|67aVULN|8RCR|aBPWR
3	22613 16222	   	198.03	ACR|2VULN|2DMG|1AART|2FLTHEA|2DUR	1aDUR|2aDMG|3RCR|4BEXP|57VULN|6AART|8aFLTHEA|9BELT|aBPWR
4	22613 11642	 * 	197.67	ACR|2VULN|2DMG|2AART|1CDMG|1DUR	1DUR|2aDMG|3RCR|4BEXP|58VULN|67AART|9CDMG
5	22633 11642	   	197.67	ACR|2VULN|2DMG|2AART|1CDMG|1DUR	1DUR|2aDMG|3RCR|4FEWX|58VULN|67AART|9CDMG
6	22212 16463	 * 	196.71	DCR|2VULN|2DMG|1AART|3DUR|2ASPD	147DUR|2aDMG|3AART|5TLV|6RCR|8aVULN|9aASPD|aBPWR
7	22613 11651	 * 	196.19	ACR|4VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4BEXP|589aVULN|67AART
8	22633 11651	   	196.19	ACR|4VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|589aVULN|67AART
9	22613 11643	 * 	195.74	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4BEXP|58aVULN|67AART|9CDMG
10	22633 11643	   	195.74	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4FEWX|58aVULN|67AART|9CDMG
11	22253 55312	 * 	194.32	DCR|3VULN|2DMG|1AART|3DUR	157DUR|2aDMG|3AART|47aLWND|67aVULN|7aBPWR|8RCR|9RPLT
12	61211 32141	 * 	193.36	DCR|3VULN|3DMG|1AART|1DUR	189ERES|289VULN|3RCVC|4LIT|5DUR|689DMG|7AART|89BPWR|aRCR
13	22123 54432	   	192.20	DCR|3VULN|3DMG|1CDMG|2DUR	1aDUR|23aDMG|49CGEN|5CDMG|67aVULN|8RCR|aBPWR
14	22613 11222	 * 	191.89	ACR|2DMG|2AART|1VULN|2FLTHEA|2DUR	1aDUR|2aDMG|3RCR|4BEXP|5VULN|67AART|8aFLTHEA|9BELT|aBPWR
15	22633 11222	   	191.89	ACR|2DMG|2AART|1VULN|2FLTHEA|2DUR	1aDUR|2aDMG|3RCR|4FEWX|5VULN|67AART|8aFLTHEA|9BELT|aBPWR
16	22623 11642	   	191.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|2aDMG|3RCR|4LEGI|58VULN|6AART|9CDMG
17	22623 11651	   	189.93	ACR|4VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|589aVULN|6AART
18	33345 41132	   	189.81	DCR|3VULN|2DMG|1AART|1DUR	178LIT|2MLV|3AART|48aVULN|58DMG|6RCR|8BPWR|9DUR
19	22613 15135	   	189.78	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8CGEN|aCDMG
20	22613 15226	 * 	189.78	ACR|3VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57aVULN|6AART|7BPWR|8FLTHEA|9BELT
21	31345 41132	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	178LIT|2TLV|3AART|48aVULN|58DMG|6RCR|8BPWR|9DUR
22	22613 15231	   	189.68	ACR|3VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57aVULN|6AART|7BPWR|8FLTHEA|9DLOT
23	22623 11643	   	189.48	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|4LEGI|58aVULN|6AART|9CDMG
