0	Index      	 *	Score 	Summary	Detail	
1	31133 51356	 * 	189.40	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	1BELT|29DUR|3AART|49ZMB|5aVULN|6ERES|79DMG|8RCR|9BPWR
2	12311 13122	 * 	184.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|29VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|aAART
3	22321 33366	 * 	181.43	DCR|3VULN|2AART|1DMG|1ZMB	1TLV|2ZMB|36aVULN|4LHND|59AART|7DMG|8RCR
4	22321 31346	   	181.43	DCR|3VULN|2AART|1DMG|1ZMB	1TLV|2ZMB|36aVULN|4LHND|57AART|8RCR|9DMG
5	12354 13122	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1DUST|29VULN|38DMG|4ASPD|5CDMG|6RPLT|7RCR|aAART
6	22321 33361	 * 	179.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|59AART|7DMG|8RCR|aCDMG
7	22321 31341	   	179.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1TLV|2ZMB|36VULN|4LHND|57AART|8RCR|9DMG|aCDMG
8	12354 13133	 * 	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2VULN|389DMG|4ASPD|5CDMG|6RPLT|7RCR|aAART
9	33133 51356	   	177.77	DCR|2VULN|2DMG|1AART|2ZMB	1BELT|2AART|39BEXP|49ZMB|5aVULN|6ERES|79DMG|8RCR|9BPWR
10	42632 12136	 * 	175.89	ACR|3VULN|2DMG|1AART	1LIT|29DMG|34aVULN|5RCR|6RPLT|7AART|8LHND
11	22321 31322	 * 	175.02	DCR|3VULN|2AART|1CDMG|1ZMB	1TLV|2ZMB|36aVULN|4LHND|57AART|8RCR|9CDMG
12	43241 84442	 * 	174.33	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|2CDMG|347VULN|5MBVNT|6RCR|8DLOT|9DMG|aAART
13	12311 13326	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|29VULN|3DMG|4CDMG|5ZMB|6RPLT|7RCR|8DUR|aAART
14	12311 13116	   	174.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|9DUR|aAART
15	12311 13133	   	174.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2VULN|38DMG|4CDMG|5ZMB|6RPLT|7RCR|9ASPD|aAART
16	12311 13322	   	174.10	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1aDUST|29VULN|3aDMG|4CDMG|5ZMB|6RPLT|7RCR|8aDUR|aBPWR
17	12264 13122	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|29VULN|3RMIN|48DMG|5CDMG|6RPLT|7RCR|aAART
18	25641 33223	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1TLV|2RPLT|35DMG|4LWND|69VULN|7RCR|8CDMG|aAART
19	26662 13123	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1TLV|29VULN|3LWND|48DMG|5CDMG|6RPLT|7RCR|aAART
20	42422 33234	 * 	173.83	DCR|3DMG|1AART|1VULN|2ASPD	1LIT|267DMG|3AART|4NUKE|56ASPD|6BPWR|8RCR|9FEWX|aVULN
21	62365 22333	   	173.82	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1FEWX|28VULN|34DMG|5SELL|6LHND|7RCR|9CDMG|aAART
22	26211 42432	 * 	173.78	ACR|4VULN|1AART|1ZMB|1ASPD	1TLV|2689VULN|3RMIN|4RCR|5AART|7ZMB|aASPD
23	42422 33224	   	173.73	DCR|3DMG|1AART|1VULN|2ASPD	1LIT|267DMG|3AART|4NUKE|56ASPD|6BPWR|8RCR|9LEGI|aVULN
24	42234 31242	 * 	172.67	DCR|3VULN|2DMG|1AART	138LIT|28DMG|4AART|5CGEN|6MGNSTR|789VULN|8BPWR|aRCR
25	42234 21242	   	172.57	DCR|3VULN|2DMG|1AART	138LIT|28DMG|4AART|5CGEN|6CANSTR|789VULN|8BPWR|aRCR
26	42232 21242	   	172.47	DCR|3VULN|2DMG|1AART	138LIT|28DMG|4AART|5LSRREG|6ERES|789VULN|8BPWR|aRCR
