0	Index      	 *	Score 	Summary	Detail	
1	62188 22231	 * 	188.03	ACR|5VULN|1AART|3ASPD	189ASPD|2MBVNT|3RCR|45789VULN|689CANSTR|89BPWR|aAART
2	31321 44632	 * 	182.99	ACR|3VULN|3DMG|3DUR	128BEXP|389VULN|4FEWX|5RCR|69aDUR|789DMG|89BPWR
3	33321 44632	   	182.99	ACR|3VULN|3DMG|3DUR	138BEXP|289VULN|4FEWX|5RCR|69aDUR|789DMG|89BPWR
4	36313 33324	 * 	180.55	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9aVULN
5	61421 22362	 * 	179.87	DCR|3VULN|2AART|1DMG|1ASPD	1ASPD|2CGEN|3BELT|489VULN|5aAART|6DMG|7RCR
6	31321 44631	   	179.17	ACR|3VULN|3DMG|2DUR	128BEXP|389VULN|4FEWX|5RCR|69DUR|789DMG|89BPWR|aLHND
7	31321 44633	   	179.17	ACR|3VULN|3DMG|2DUR	128BEXP|389VULN|4FEWX|5RCR|69DUR|789DMG|89BPWR|aDMSP
8	33321 44631	   	179.17	ACR|3VULN|3DMG|2DUR	138BEXP|289VULN|4FEWX|5RCR|69DUR|789DMG|89BPWR|aLHND
9	33321 44633	   	179.17	ACR|3VULN|3DMG|2DUR	138BEXP|289VULN|4FEWX|5RCR|69DUR|789DMG|89BPWR|aDMSP
10	62188 22213	   	176.33	ACR|4VULN|1AART|2ASPD|1DUR	18ASPD|2MBVNT|3RCR|4578VULN|68CANSTR|8BPWR|9AART|aDUR
11	62138 42641	 * 	175.55	ACR|3VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78aVULN|9MLV
12	62138 42631	   	175.45	ACR|3VULN|2DMG|3ASPD	146ASPD|2MBVNT|3RCR|48BPWR|58DMG|78aVULN|9NUKE
13	61421 22361	   	175.36	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3BELT|489VULN|5AART|6DMG|7RCR|aDUR
14	62123 22214	   	174.87	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6aVULN|7AART|8DUR|9DMG
15	62123 34714	   	174.27	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUR|7aVULN|8AART|9DMG
16	36313 13323	   	173.61	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1BEXP|24CDMG|3DMG|5RCR|6RMIN|7AART|8ZMB|9aVULN
17	66342 13322	 * 	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2CDMG|348VULN|5LWND|6RCR|7RPLT|9AART|aZMB
18	62138 43446	 * 	172.95	ACR|2DMG|1AART|1VULN|3ASPD|1DUR	146ASPD|2MBVNT|3RCR|4BPWR|5aDMG|7DUR|8VULN|9AART
19	31421 22462	   	172.93	DCR|3VULN|2AART|1DMG	12BEXP|3BELT|489VULN|5aAART|6DMG|7RCR
20	62183 12335	 * 	172.69	ACR|4VULN|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4789VULN|5CDMG|6MLV|aDMG
21	62183 22335	   	172.69	ACR|4VULN|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3RCR|4689VULN|5CDMG|7CGEN|aDMG
22	62741 33462	 * 	172.62	DCR|3VULN|2DMG|2ASPD|1ZMB	1aASPD|2MBVNT|36aVULN|4BELT|5ERES|7ZMB|8aDMG|9RCR|aBPWR
23	11361 13652	   	172.01	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	19LHND|23BEXP|49VULN|5RCR|6DMG|7ZMB|89CDMG|9BPWR|aAART
