0	Index      	 *	Score 	Summary	Detail	
1	41332 11121	 * 	182.41	DCR|2AART|2VULN|2DMG|2ASPD	1LIT|25DMG|36AART|49ASPD|78VULN|aRCR
2	41123 34261	 * 	181.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1LIT|29DMG|3CANSTR|4DUR|59CDMG|6DUST|79VULN|8AART|9BPWR|aRCR
3	41352 11141	   	179.86	DCR|2AART|2VULN|2DMG|1ZMB	1LIT|25DMG|36AART|4ZMB|78VULN|9DMSP|aRCR
4	41352 11161	   	179.86	DCR|2AART|2VULN|2DMG|1ZMB	1LIT|25DMG|36AART|4ZMB|78VULN|9RCVC|aRCR
5	13313 36347	 * 	179.69	DCR|5VULN|2DMG	1aDUST|2345aVULN|6RMIN|7RCR|8MBVNT|9aDMG|aBPWR
6	31413 25124	 * 	178.60	ACR|2VULN|2DMG|1AART|2CDMG	1RPLT|29BEXP|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aAART
7	41332 11141	   	175.80	DCR|2AART|2VULN|2DMG|1ASPD	1LIT|25DMG|36AART|4ASPD|78VULN|9DMSP|aRCR
8	41342 63232	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2aDMG|3AART|4LWND|5CANHEL|6ZMB|7RCR|89VULN
9	12125 35621	   	175.16	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	12DUST|3AART|47VULN|58DMG|6ZMB|9ASPD|aRCR
10	41352 26112	   	173.19	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7aCDMG|8LWND|9RCR
11	41332 22632	   	171.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8RCR|9DUR|aCDMG
12	56221 22251	 * 	171.62	DCR|2VULN|2AART|1DMG|1FLTHEA|1DUR|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6DUR|7aAART|8DMG|9RCR
13	12161 26115	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12DUST|3AART|4CDMG|58VULN|6LIT|7RCR|9ZMB|aDMG
14	41332 22335	   	171.17	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8CDMG|9ZMB|aRCR
15	41332 11535	   	169.22	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1LIT|25DMG|36AART|4ASPD|7VULN|8RMIN|9ZMB|aRCR
16	41352 21532	   	168.42	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|25DMG|3AART|4ZMB|69VULN|7MLV|8FEWX|aRCR
17	13334 44321	 * 	167.51	DCR|3VULN|2AART|1CDMG	1DUST|238VULN|4LHND|5AIRHEA|6RCR|7aAART|9CDMG
18	41332 11244	   	167.45	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LIT|25DMG|36AART|4ASPD|7VULN|8DUST|9RCR|aDUR
19	56221 22253	 * 	167.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6DUR|7AART|8DMG|9RCR|aASPD
20	41332 22615	 * 	166.97	DCR|3DMG|1AART|1VULN|1ASPD|1SELL	1LIT|25aDMG|3AART|4ASPD|6VULN|7SELL|8RCR|9RMIN
21	41352 26111	   	166.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7CDMG|8LWND|9RCR|aBEXP
22	41352 26113	   	166.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|25DMG|3AART|4ZMB|6VULN|7CDMG|8LWND|9RCR|aLHND
23	41352 36213	   	166.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|25DMG|3AART|4ZMB|6LWND|7CDMG|8BEXP|9RCR|aVULN
24	13323 36347	   	166.87	DCR|4VULN|2DMG	1aDUST|235aVULN|4RCVC|6RMIN|7RCR|8MBVNT|9aDMG|aBPWR
25	13513 36347	   	166.87	DCR|4VULN|2DMG	1aDUST|245aVULN|3RCVC|6RMIN|7RCR|8MBVNT|9aDMG|aBPWR
26	13613 36347	   	166.77	DCR|4VULN|2DMG	13aDUST|245aVULN|6RMIN|7RCR|8MBVNT|9aDMG|aBPWR
27	13313 36623	 * 	166.67	DCR|4VULN|1AART|1FLTHEA	1DUST|2345VULN|6RMIN|7RCR|8BEXP|9AART|aFLTHEA
28	13313 36328	 * 	166.57	DCR|4VULN|1AART|1CDMG	1DUST|2345VULN|6RMIN|7RCR|8MBVNT|9AART|aCDMG
29	31413 25126	   	166.40	ACR|2VULN|2DMG|2CDMG|1ZMB	1RPLT|29BEXP|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aZMB
30	41352 11532	 * 	166.13	DCR|2AART|2DMG|1VULN|2ZMB	1LIT|25DMG|36AART|49ZMB|7VULN|8RMIN|aRCR
31	13313 36212	 * 	165.95	DCR|5VULN|1AART	1aDUST|2345aVULN|6RMIN|7RCR|8aLIT|9AART|aBPWR
32	13316 71483	 * 	165.68	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|234VULN|5MBVNT|6DMG|7LWND|8AART|9RCR|aZMB
33	41332 22616	   	164.97	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8RCR|9RMIN|aCDMG
34	31153 16114	   	164.95	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RPLT|2BEXP|3VULN|4DUR|58DMG|6ASPD|7AART|9CDMG|aRCR
35	41342 63233	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2DMG|3AART|4LWND|5CANHEL|6ZMB|7RCR|89VULN|aASPD
36	41352 12141	   	164.68	DCR|2AART|2DMG|1VULN|1ZMB	1LIT|25DMG|36AART|4ZMB|7LWND|8VULN|9RCR|aLHND
37	41352 12142	   	164.68	DCR|2AART|2DMG|1VULN|1ZMB	1LIT|25DMG|36AART|4ZMB|7LWND|8VULN|9RCR|aFEWX
38	41352 12143	   	164.68	DCR|2AART|2DMG|1VULN|1ZMB	1LIT|25DMG|36AART|4ZMB|7LWND|8VULN|9RCR|aCGEN
39	56221 12251	 * 	164.58	DCR|2VULN|2AART|1DMG|1FLTHEA|1SELL	1CGEN|23VULN|4FLTHEA|5SELL|6DUST|7aAART|8DMG|9RCR
40	41352 11241	   	164.58	DCR|2AART|2DMG|1VULN|1ZMB	1LIT|25DMG|36AART|4ZMB|7VULN|8DUST|9RCR|aLHND
41	41352 11242	   	164.58	DCR|2AART|2DMG|1VULN|1ZMB	1LIT|25DMG|36AART|4ZMB|7VULN|8DUST|9RCR|aFEWX
42	41352 11243	   	164.58	DCR|2AART|2DMG|1VULN|1ZMB	1LIT|25DMG|36AART|4ZMB|7VULN|8DUST|9RCR|aCGEN
43	41332 21532	   	164.35	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|25DMG|3AART|4ASPD|69VULN|7MLV|8FEWX|aRCR
44	41332 25225	   	164.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1LIT|25DMG|3AART|48ASPD|6VULN|7ZMB|9ERES|aRCR
45	41332 26532	   	164.25	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|25DMG|3AART|4ASPD|69VULN|7TLV|8FEWX|aRCR
46	41312 31122	   	164.15	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|25DMG|3AART|46ERES|78VULN|9ASPD|aRCR
47	16125 35211	   	164.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|2RCVC|3AART|47VULN|5DMG|6ZMB|8CDMG|9SELL|aRCR
48	12125 35211	   	164.03	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	12DUST|3AART|47VULN|5DMG|6ZMB|8CDMG|9SELL|aRCR
49	12161 41621	   	164.03	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	12DUST|3AART|4CDMG|5VULN|6SELL|7ZMB|89DMG|aRCR
50	13313 36324	   	163.92	DCR|4VULN|1AART|1ZMB	1DUST|2345VULN|6RMIN|7RCR|8MBVNT|9AART|aZMB
51	52221 25412	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|28DMG|3MLV|4MGNLIT|5CDMG|6DUR|7RCR|9VULN|aAART
52	52133 55222	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DMG|3DUR|4ERES|5LSRICY|6CDMG|7RCR|89VULN|aAART
53	13313 36533	 * 	162.83	DCR|4VULN|1DMG|1CDMG	18DUST|2345VULN|6RMIN|7RCR|9CDMG|aDMG
54	41155 23222	   	162.71	DCR|2VULN|2DMG|1AART	1LIT|2aDMG|3CANSTR|4RMIN|58VULN|6AART|7RCR|9BEXP
55	41332 22112	   	162.57	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8LWND|9RCR|aCDMG
56	41332 22412	   	162.57	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8FEWX|9RCR|aCDMG
57	41332 22512	   	162.57	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1LIT|25DMG|3AART|4ASPD|6VULN|7SELL|8LHND|9RCR|aCDMG
