0	Index      	 *	Score 	Summary	Detail	
1	11346 24527	 * 	184.79	DCR|2VULN|2AART|1DMG|2FLTHEA|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7aAART|8BPWR|9RCR
2	11344 44527	 * 	182.41	DCR|2VULN|2DMG|2AART|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5MGNLIT|68DMG|7aAART|8BPWR|9RCR
3	36422 12235	 * 	181.45	DCR|3VULN|2DMG|3ZMB	1BELT|29aZMB|3RPLT|469VULN|5RCVC|7RCR|89DMG|9BPWR
4	13131 52536	 * 	180.23	DCR|3DMG|2AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|4DUST|56aDMG|79AART|8RCR
5	36333 51333	 * 	179.53	DCR|3DMG|1VULN|2CDMG|2ZMB|1ASPD	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78aDMG|8BPWR|9VULN
6	12234 35531	 * 	178.82	DCR|4VULN|1AART|1DMG|1ASPD	156aVULN|2CGEN|3ASPD|4DUST|7AART|8RCR|9DMG
7	15232 33341	   	178.12	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1aVULN|2aBEXP|3BELT|4SELL|5ERES|6RCR|7AART|8CDMG|9aDMG|aBPWR
8	11232 33341	   	177.92	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1aVULN|2aDUST|3BELT|4SELL|5ERES|6RCR|7AART|8CDMG|9aDMG|aBPWR
9	13264 12531	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	15aVULN|2ZMB|3ASPD|46FEWX|7AART|8RCR|9DMG
10	13511 12113	   	175.54	DCR|3VULN|2DMG|1ZMB|1DUR|1ASPD	19aVULN|2ZMB|3RPLT|4aDMG|5ASPD|6DUR|7aLIT|8RCR|aBPWR
11	11346 67433	   	173.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2DUST|3MBVNT|4CDMG|56DMG|7RCR|8MGNSTR|aAART
12	14341 67233	   	173.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2FEWX|3MBVNT|45DMG|6AIRHEA|7RCR|8CDMG|aAART
13	13232 16643	 * 	173.68	DCR|3VULN|3ASPD|1DMG|2DUR|1ZMB	17aVULN|2ZMB|378ASPD|4LSRREG|5DMG|67DUR|7BPWR|9RCR
14	11346 24521	   	173.34	DCR|2VULN|1AART|1DMG|2FLTHEA|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7AART|8BPWR|9RCR|aBELT
15	11346 24523	   	173.34	DCR|2VULN|1AART|1DMG|2FLTHEA|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7AART|8BPWR|9RCR|aBEXP
16	11346 24524	   	173.34	DCR|2VULN|1AART|1DMG|2FLTHEA|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7AART|8BPWR|9RCR|aRMIN
17	11346 24525	   	173.34	DCR|2VULN|1AART|2FLTHEA|1DMG|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7AART|8BPWR|9RCR|aMGNSTR
18	11346 24526	   	173.34	DCR|2VULN|1AART|1DMG|2FLTHEA|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7AART|8BPWR|9RCR|aLHND
