0	Index      	 *	Score 	Summary	Detail	
1	23633 62251	 * 	190.22	DCR|3DMG|2VULN|1AART|2ASPD	1CGEN|26VULN|38ASPD|4ERES|56aDMG|6BPWR|7RCR|9AART
2	13113 34633	 * 	189.12	DCR|3VULN|2DMG|1AART|1CDMG	1aERES|29aVULN|3MGNLIT|4CDMG|5RMIN|6aDMG|7AART|8RCR|aBPWR
3	13522 13345	   	187.84	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1ERES|29VULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|aAART
4	23251 63115	 * 	186.95	ACR|4VULN|2AART|1DMG	15CGEN|258aVULN|3RPLT|4RCR|5BPWR|67AART|9DMG
5	23251 63151	 * 	186.50	ACR|3VULN|2AART|1DMG|1CDMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9CDMG|aDMG
6	31133 31215	 * 	185.18	DCR|3VULN|1AART|1DMG|3DUR|1CDMG	178DUR|2CDMG|3AART|47TLV|567VULN|7BPWR|9DMG|aRCR
7	23251 63116	   	183.85	ACR|3VULN|2AART|1DMG|1ZMB	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aZMB
8	31322 61642	 * 	183.76	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1aDUR|2CDMG|3aVULN|47BEXP|5DMG|6AART|8RCR|9aZMB|aBPWR
9	31361 11315	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CDMG|34VULN|57FEWX|6RCR|89DMG|aAART
10	31143 33114	 * 	182.87	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|37AART|4ZMB|5FEWX|68VULN|9DMG|aRCR
11	31163 33114	   	182.87	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|37AART|4FEWX|58VULN|6ZMB|9DMG|aRCR
12	31346 13315	   	182.01	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	17DUR|2CDMG|3VULN|4ZMB|5TLV|6RCR|89DMG|aAART
13	31361 11345	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|349VULN|57FEWX|6RCR|8DMG|aAART
14	42652 12213	   	181.25	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3ERES|4RCR|56aVULN|7FEWX|8CDMG|9DMG
15	42652 13212	   	181.25	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3ERES|4RCR|567VULN|8CDMG|9CGEN|aDMG
16	13116 34632	   	180.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5ASPD|6aDMG|7AART|8RCR
17	13522 13243	 * 	180.29	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1ERES|2aVULN|368DMG|4DUR|5ASPD|7RCR|9CDMG
18	13522 13313	   	180.29	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1ERES|2aVULN|369DMG|4DUR|5ASPD|7RCR|8CDMG
19	36551 13313	   	180.29	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1DUR|2ERES|369DMG|4ASPD|5aVULN|7RCR|8CDMG
20	42632 14321	   	179.97	DCR|3VULN|2DMG|1AART	1RCVC|2AART|3ERES|4LHND|568VULN|7aDMG|9RCR
21	23221 63114	 * 	177.46	DCR|3VULN|2AART|1DMG|2DUR	1CGEN|258VULN|3RPLT|45DUR|5BPWR|67AART|9DMG|aRCR
22	31324 16315	 * 	177.42	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	15DUR|27CDMG|3VULN|4BEXP|6RCR|89DMG|aAART
23	23633 62222	 * 	177.42	DCR|3VULN|2DMG|2ASPD|1ZMB	1CGEN|26aVULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9ZMB
24	13221 63114	   	177.36	DCR|3VULN|2AART|1DMG|2DUR	1ERES|258VULN|3RPLT|45DUR|5BPWR|67AART|9DMG|aRCR
25	42652 22213	   	177.05	ACR|2AART|2VULN|1DMG|1CDMG	1RCVC|26AART|3ERES|4RCR|5aVULN|7FEWX|8CDMG|9DMG
26	42652 23212	   	177.05	ACR|2AART|2VULN|1DMG|1CDMG	1RCVC|26AART|3ERES|4RCR|57VULN|8CDMG|9CGEN|aDMG
27	31134 51513	   	176.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3AART|4TLV|5DLOT|6aVULN|7ZMB|8RCR|9DMG
28	42632 34321	 * 	175.77	DCR|2AART|2VULN|2DMG	1RCVC|26AART|3ERES|4LHND|58VULN|7aDMG|9RCR
29	13522 13323	   	175.64	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2aVULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|9ZMB
30	13522 13346	   	175.64	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|29VULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|aZMB
31	36551 13323	   	175.64	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ERES|36DMG|4ASPD|5aVULN|7RCR|8CDMG|9ZMB
32	23251 64111	   	175.60	ACR|4VULN|1AART|1DMG	157CGEN|2578VULN|3RPLT|4RCR|57BPWR|6AART|9DMG|aFEWX
33	23251 64112	   	175.60	ACR|4VULN|1AART|1DMG	157CGEN|2578VULN|3RPLT|4RCR|57BPWR|6AART|9DMG|aLWND
34	23251 64113	   	175.60	ACR|4VULN|1AART|1DMG	157aCGEN|2578VULN|3RPLT|4RCR|57BPWR|6AART|9DMG
35	31322 61652	   	175.12	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1aDUR|2aCDMG|3VULN|47BEXP|5aDMG|6AART|8RCR|9NUKE|aBPWR
36	23633 62163	   	174.89	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1CGEN|26VULN|3ASPD|4ERES|56DMG|6BPWR|7RCR|8RPLT|9AART|aDUR
37	23633 62252	   	174.56	DCR|2VULN|2DMG|1AART|2ASPD	1CGEN|26VULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9AART|aBEXP
38	23633 62253	   	174.56	DCR|2VULN|2DMG|1AART|2ASPD	1CGEN|26VULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9AART|aLWND
39	13551 22251	   	174.46	DCR|2VULN|2DMG|1AART|2ASPD	1ERES|25VULN|3aDMG|48ASPD|6CGEN|7RCR|9AART
40	13635 31214	   	174.34	DCR|3VULN|2DMG|2DUR|1ASPD	147ERES|29aVULN|3ASPD|59DUR|6RCR|89DMG|9BPWR
41	23251 63125	   	173.82	ACR|4VULN|2AART|1ASPD	15CGEN|258aVULN|3RPLT|4RCR|5BPWR|67AART|9ASPD
42	31623 21415	 * 	173.64	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	148DUR|25CDMG|38CGEN|68VULN|7AART|8BPWR|9DMG|aRCR
43	42263 13226	   	173.63	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3DUST|4CGEN|567VULN|8CDMG|9DMG|aRCR
44	23633 62342	   	173.45	DCR|3DMG|2VULN|1CDMG|1ASPD	1CGEN|26VULN|3ASPD|4ERES|569DMG|6BPWR|7RCR|8LHND|aCDMG
45	32224 64451	   	173.43	DCR|3VULN|1AART|1DMG|3DUR	137DUR|2MBVNT|4AART|57LHND|678VULN|7BPWR|9RCR|aDMG
46	42632 13621	   	173.39	DCR|3VULN|1AART|1DMG|1ZMB	1RCVC|2AART|3ERES|4LHND|567VULN|8ZMB|9RCR|aDMG
47	13553 13243	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2aVULN|358DMG|4ASPD|6BEXP|7RCR|9CDMG
48	13553 13313	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2aVULN|359DMG|4ASPD|6BEXP|7RCR|8CDMG
49	13553 33243	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2aVULN|358DMG|4ASPD|6FEWX|7RCR|9CDMG
50	13553 33313	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2aVULN|359DMG|4ASPD|6FEWX|7RCR|8CDMG
51	16551 13313	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2BEXP|369DMG|4ASPD|5aVULN|7RCR|8CDMG
52	31264 13315	   	173.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DUR|2CDMG|3LWND|4VULN|6RCR|7RCVC|89DMG|aAART
53	14551 13313	   	173.25	DCR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2DUST|369DMG|4ASPD|5aVULN|7RCR|8CDMG
54	31144 32312	 * 	173.22	DCR|3DMG|1AART|2CDMG|1ZMB|1DUR	1DUR|29CDMG|3AART|4ZMB|5DLOT|678DMG|aRCR
55	41148 31413	   	172.92	DCR|3VULN|2DMG|1CDMG	1RCVC|2MBVNT|35aVULN|4aLHND|6RCR|7ERES|8CDMG|9aDMG|aBPWR
56	41148 37413	   	172.92	DCR|3VULN|2DMG|1CDMG	1RCVC|2MBVNT|35aVULN|4aLHND|6RCR|7TLV|8CDMG|9aDMG|aBPWR
57	23251 63111	   	172.85	ACR|3VULN|2AART|1DMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aFEWX
58	23251 63112	   	172.85	ACR|3VULN|2AART|1DMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aLWND
59	23251 63113	   	172.85	ACR|3VULN|2AART|1DMG	15aCGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG
60	23251 63114	   	172.85	ACR|3VULN|2AART|1DMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aRMIN
61	11551 13323	 * 	172.75	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	1ERES|2aLHND|36DMG|4ASPD|5aVULN|7RCR|8CDMG|9aZMB|aBPWR
62	13553 22251	   	172.53	DCR|3DMG|1AART|1VULN|2ASPD	1ERES|2VULN|35aDMG|48ASPD|6CGEN|7RCR|9AART
63	13635 31216	   	172.33	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	147ERES|29VULN|3ASPD|59DUR|6RCR|89DMG|9BPWR|aCDMG
