0	Index      	 *	Score 	Summary	Detail	
1	62222 11661	 * 	199.07	ACR|3VULN|2AART|2DMG|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8aDMG
2	32262 72611	 * 	197.83	DCR|5VULN|1AART|2ASPD|2DUR	18DUR|2789aVULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR
3	62222 11651	 * 	194.24	ACR|3VULN|2DMG|1AART|2ASPD	1BEXP|267VULN|3AART|4RCR|59ASPD|8aDMG
4	62222 11641	   	194.19	ACR|3VULN|2DMG|1AART|2ASPD|1SELL	1aBEXP|267VULN|3AART|4RCR|5aASPD|8aDMG|9SELL|aBPWR
5	62222 11161	   	192.49	ACR|3VULN|2AART|1DMG|1ZMB|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8ZMB|aDMG
6	62222 31661	 * 	190.03	ACR|2AART|2VULN|2DMG|2ASPD	1BEXP|27VULN|39AART|4RCR|56ASPD|8aDMG
7	62222 11653	 * 	188.10	ACR|3VULN|2AART|1DMG|2ASPD	1BEXP|267VULN|3aAART|4RCR|59ASPD|8DMG
8	62222 11151	   	187.65	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	1BEXP|267VULN|3AART|4RCR|59ASPD|8ZMB|aDMG
9	62222 11621	   	187.63	ACR|3VULN|2DMG|1AART|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8aDMG|9RCVC
10	32262 73634	 * 	186.16	DCR|3VULN|2AART|3DUR|2ASPD	178DUR|289VULN|3aAART|4MBVNT|58ASPD|6RCR|8BPWR
11	62222 11663	 * 	185.76	ACR|3VULN|3AART|1DMG|1ASPD	1BEXP|267VULN|39aAART|4RCR|5ASPD|8DMG
12	32262 72711	   	185.72	DCR|5VULN|1AART|1ASPD|1DUR	1DUR|2789aVULN|3AART|4MBVNT|5ASPD|6RCR
13	32262 72612	   	185.00	DCR|4VULN|1AART|2ASPD|2DUR	18DUR|2789VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|aCGEN
14	32262 72613	   	184.90	DCR|4VULN|1AART|2ASPD|2DUR	18DUR|2789VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|aERES
15	32262 72614	   	184.90	DCR|4VULN|1AART|2ASPD|2DUR	18DUR|2789VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|aDUST
16	62222 31641	 * 	184.85	ACR|2VULN|2DMG|1AART|3ASPD|1SELL	1aBEXP|27VULN|3AART|4RCR|56aASPD|8aDMG|9SELL|aBPWR
17	32262 72622	 * 	184.55	DCR|3VULN|1AART|2ASPD|1CDMG|2DUR	18DUR|278VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9MGNSTR|aCDMG
18	62222 42611	 * 	183.84	ACR|5VULN|1AART|1ASPD|1DUR	1BEXP|2789aVULN|3AART|4RCR|5ASPD|6DUR
19	61225 12511	 * 	183.72	ACR|5VULN|1AART|2ASPD	18BEXP|2LWND|3AART|4RCR|58ASPD|6789aVULN|8BPWR
20	62222 16511	   	183.62	ACR|5VULN|1AART|2ASPD	18BEXP|2689aVULN|3AART|4RCR|58ASPD|7LEGI|8BPWR
21	62222 31161	   	183.45	ACR|2AART|2VULN|1DMG|2ASPD|1ZMB	1BEXP|27VULN|39AART|4RCR|56ASPD|8ZMB|aDMG
22	62222 21661	   	183.42	ACR|2AART|2VULN|2DMG|1ASPD	1BEXP|27VULN|39AART|4RCR|5ASPD|6RCVC|8aDMG
23	62222 42511	   	183.12	ACR|4VULN|1AART|2ASPD|2DUR	18BEXP|279aVULN|3AART|4RCR|58ASPD|68DUR|8BPWR
24	62222 31652	 * 	182.96	ACR|3VULN|1AART|3ASPD|1DMG	1BEXP|27aVULN|3AART|4RCR|569ASPD|8DMG
25	62222 11261	   	181.49	ACR|3VULN|2AART|1DMG|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8RMIN|aDMG
26	62222 11623	   	181.49	ACR|3VULN|2AART|1DMG|1ASPD	1BEXP|267VULN|3aAART|4RCR|5ASPD|8DMG|9RCVC
27	62222 11662	   	181.49	ACR|3VULN|2AART|1DMG|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8DMG|aLWND
28	62222 11121	   	181.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8ZMB|9RCVC|aDMG
29	62222 11624	   	181.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9RCVC|aZMB
30	32262 72135	 * 	180.79	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|27VULN|3AART|4MBVNT|5ASPD|6RCR|8LIT|9aDMG
31	36221 61533	 * 	180.45	DCR|2VULN|3ZMB|1AART|1DMG|2DUR	18DUR|2DUST|3AART|458ZMB|6LEGI|78VULN|8BPWR|9DMG|aRCR
32	32236 61313	 * 	180.07	DCR|3AART|2VULN|2DMG|1DUR	1DUR|29VULN|356AART|4CGEN|78DMG|aRCR
33	32262 73621	 * 	179.13	DCR|2VULN|1AART|1DMG|3DUR|2ASPD	178DUR|28VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9MLV|aDMG
34	62222 11152	   	179.04	ACR|3VULN|2AART|2ASPD|1ZMB	1BEXP|267VULN|3aAART|4RCR|59ASPD|8ZMB
35	62222 11165	   	179.04	ACR|3VULN|2AART|2ASPD|1ZMB	1BEXP|267VULN|39AART|4RCR|5aASPD|8ZMB
36	62222 42134	   	178.91	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BEXP|27VULN|3AART|4RCR|5ASPD|6DUR|8LIT|9aDMG
37	32262 72832	 * 	178.86	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|27aVULN|3AART|4MBVNT|5ASPD|6RCR|8DMG|9BEXP
38	31264 71832	   	178.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2LWND|3AART|4MBVNT|5ASPD|6RCR|79aVULN|8DMG
39	32262 74832	   	178.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|29aVULN|3AART|4MBVNT|5ASPD|6RCR|7LWND|8DMG
40	62222 21651	   	178.58	ACR|2VULN|2DMG|1AART|2ASPD	1BEXP|27VULN|3AART|4RCR|59ASPD|6RCVC|8aDMG
41	62222 31621	   	178.58	ACR|2VULN|2DMG|1AART|2ASPD	1BEXP|27VULN|3AART|4RCR|56ASPD|8aDMG|9RCVC
42	62223 16151	 * 	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|26VULN|3AART|4RCR|5TLV|7BELT|8aDMG|9CDMG
43	62222 21641	   	178.54	ACR|2VULN|2DMG|1AART|2ASPD|1SELL	1aBEXP|27VULN|3AART|4RCR|5aASPD|6RCVC|8aDMG|9SELL|aBPWR
44	62222 31156	   	178.31	ACR|2VULN|1AART|3ASPD|1DMG|1ZMB	1BEXP|27VULN|3AART|4RCR|569ASPD|8ZMB|aDMG
45	32262 73711	   	178.19	DCR|4VULN|1AART|2DUR|1ASPD	17DUR|289aVULN|3AART|4MBVNT|5ASPD|6RCR
46	62222 11316	 * 	177.73	ACR|4VULN|1AART|1CDMG|1ASPD	1BEXP|2679VULN|3AART|4RCR|5ASPD|8LWND|aCDMG
47	62223 11636	 * 	177.00	ACR|4VULN|1AART|1DMG	1BEXP|2678VULN|3AART|4RCR|5TLV|9BASHEA|aDMG
48	62224 11621	   	177.00	ACR|4VULN|1AART|1DMG	1BEXP|2678VULN|3AART|4RCR|5ERES|9TLV|aDMG
49	62222 11614	   	176.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1aBEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9DUR
50	62222 11615	   	176.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9DUR|aMLV
51	62222 11616	   	176.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9DUR|aLIT
52	62221 62611	   	176.90	ACR|5VULN|1AART|1ASPD	1BEXP|2789aVULN|3AART|4RCR|5LWND|6ASPD
53	62222 11311	   	176.90	ACR|5VULN|1AART|1ASPD	1BEXP|2679aVULN|3AART|4RCR|5ASPD|8LWND
54	61225 12611	   	176.90	ACR|5VULN|1AART|1ASPD	1BEXP|2LWND|3AART|4RCR|5ASPD|6789aVULN
55	62222 11611	   	176.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9DUR|aDUST
56	62222 11613	   	176.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9DUR|aMBVNT
57	62222 21161	   	176.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|27VULN|39AART|4RCR|5ASPD|6RCVC|8ZMB|aDMG
58	62222 16611	   	176.80	ACR|5VULN|1AART|1ASPD	1BEXP|2689aVULN|3AART|4RCR|5ASPD|7LEGI
