0	Index      	 *	Score 	Summary	Detail	
1	21351 31335	 * 	208.95	ACR|3DMG|2VULN|1AART|2CDMG	1RCVC|2RCR|38aDMG|4AART|5ERES|6BELT|7aCDMG|9aVULN|aBPWR
2	21331 36461	 * 	206.35	ACR|3VULN|3DMG|2ZMB|2ASPD	1RCVC|2RCR|345DMG|459BPWR|69ZMB|79aVULN|89ASPD
3	12323 66216	 * 	205.46	DCR|3VULN|2DMG|1AART|2CDMG|2DUR	18CDMG|249VULN|3AART|5RMIN|68DMG|78DUR|8BPWR|aRCR
4	12323 66243	 * 	205.46	DCR|3DMG|2VULN|1AART|2CDMG|2DUR	18CDMG|24VULN|3AART|5RMIN|689DMG|78DUR|8BPWR|aRCR
5	21331 36463	 * 	204.23	ACR|3DMG|2VULN|3ZMB|2ASPD	1RCVC|2RCR|345DMG|459BPWR|69aZMB|79VULN|89ASPD
6	12322 66216	 * 	201.98	DCR|4VULN|1AART|1DMG|2CDMG|2DUR	18CDMG|2489VULN|3AART|5MLV|6DMG|78DUR|8BPWR|aRCR
7	12326 33146	   	200.07	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	15CDMG|245VULN|3AART|5BPWR|6DUR|79DMG|8CGEN|aRCR
8	11154 32213	 * 	198.62	ACR|2AART|2VULN|2DMG|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4aAART|58DMG|69VULN|7DUR
9	12236 33443	   	198.53	DCR|3VULN|2DMG|1AART|2CDMG	13CDMG|258VULN|45LHND|5BPWR|6AART|7RCR|9aDMG
10	11154 11121	   	198.18	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6DUR|7ZMB|9aVULN
11	11154 32241	   	198.18	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6aVULN|7DUR|9ZMB
12	21311 36462	   	197.63	ACR|3DMG|2VULN|2ZMB|2ASPD|1DUR	1RCVC|2RCR|345DMG|59BPWR|69ZMB|79VULN|89ASPD|aDUR
13	12326 33116	   	196.58	DCR|4VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2459VULN|3AART|5BPWR|6DUR|7DMG|8CGEN|aRCR
14	12326 33236	   	196.58	DCR|4VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2458VULN|3AART|5BPWR|6DUR|7DMG|9RMIN|aRCR
15	12326 33256	   	196.58	DCR|4VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2458VULN|3AART|5BPWR|6DUR|7DMG|9CGEN|aRCR
16	12326 33416	   	196.48	DCR|4VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2459VULN|3AART|5BPWR|6DUR|7DMG|8ERES|aRCR
