0	Index      	 *	Score 	Summary	Detail	
1	24151 21521	 * 	235.23	ACR|3VULN|3DMG|1AART|1CDMG|1ZMB	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9ASPD|aZMB
2	24151 21121	 * 	226.73	ACR|3VULN|2AART|2DMG|1CDMG|1FLTHEA	1RCR|25DMG|3aAART|457VULN|5BPWR|6CDMG|8RCVC|9FLTHEA
3	24151 23521	 * 	225.89	ACR|3DMG|2VULN|1AART|2CDMG|1ZMB	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9ASPD|aZMB
4	24151 21511	   	224.23	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9RCVC|aDUR
5	24151 21522	   	224.23	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9ASPD|aCGEN
6	24151 21523	   	224.13	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9ASPD|aERES
7	24151 21125	   	222.23	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9FLTHEA|aASPD
8	24151 34121	   	221.58	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|459VULN|5BPWR|7DUR|8ZMB|aRMIN
9	24151 34122	   	221.58	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|459VULN|5BPWR|7DUR|8ZMB|aLHND
10	24151 34123	   	221.58	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|459VULN|5BPWR|7DUR|8ZMB|aMLV
11	24151 34131	   	221.58	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|45aVULN|5BPWR|7DUR|8ZMB|9BEXP
12	24151 34321	   	221.58	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|45aVULN|5BPWR|7DUR|8BEXP|9ZMB
13	24151 34221	   	221.48	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|45aVULN|5BPWR|7DUR|8DUST|9ZMB
14	24151 34313	 * 	220.02	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8BEXP|9CDMG
15	24151 34213	   	219.92	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8DUST|9CDMG
16	24151 23121	 * 	217.39	ACR|2AART|2DMG|2VULN|2CDMG|1FLTHEA	1RCR|25DMG|3aAART|45VULN|5BPWR|67CDMG|8RCVC|9FLTHEA
17	24151 31433	   	217.38	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9ZMB|aASPD
18	24151 34111	   	217.38	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|39AART|45VULN|5BPWR|7DUR|8ZMB|aRMIN
19	24151 34112	   	217.38	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|39AART|45VULN|5BPWR|7DUR|8ZMB|aLHND
20	24151 34113	   	217.38	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|39AART|45VULN|5BPWR|7DUR|8ZMB|aMLV
21	24151 34132	   	217.38	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8ZMB|9BEXP
22	24151 34322	   	217.38	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8BEXP|9ZMB
23	24151 21512	   	217.29	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9RCVC|aLWND
24	24151 21532	   	217.29	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9FEWX|aLSRICY
25	24151 21533	   	217.29	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9FEWX|aLWND
26	24151 34222	   	217.28	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8DUST|9ZMB
27	24151 21513	   	217.19	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9RCVC|aERES
28	24151 21531	   	217.19	ACR|3VULN|3DMG|1AART|1CDMG	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9FEWX|aDUST
29	24151 21361	 * 	215.74	ACR|4VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|4579VULN|5BPWR|6CDMG|8FEWX|aRCVC
30	24151 21362	   	215.74	ACR|4VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|4579VULN|5BPWR|6CDMG|8FEWX|aLIT
31	24151 21363	   	215.74	ACR|4VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|4579VULN|5BPWR|6CDMG|8FEWX|aLHND
32	24151 21126	   	215.29	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8aRCVC|9FLTHEA
33	24151 21122	   	215.19	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9FLTHEA|aDUST
34	24151 21123	   	215.19	ACR|3VULN|2DMG|1AART|1FLTHEA|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9FLTHEA|aERES
35	24151 21124	   	215.19	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9FLTHEA|aDLOT
36	24151 63313	 * 	215.09	ACR|3VULN|3DMG|2AART	1RCR|257DMG|36AART|45aVULN|5BPWR|8LIT|9FEWX
37	24151 63113	   	214.99	ACR|3VULN|3DMG|2AART	1RCR|257DMG|36AART|45aVULN|5BPWR|8BASICY|9LHND
38	24151 63123	   	214.99	ACR|3VULN|3DMG|2AART	1RCR|257DMG|36AART|45aVULN|5BPWR|8BASICY|9LWND
39	24151 63133	   	214.99	ACR|3VULN|3DMG|2AART	1RCR|257DMG|36AART|45aVULN|5BPWR|8BASICY|9CGEN
40	24151 23511	   	214.89	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9RCVC|aDUR
41	24151 23522	   	214.89	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9ASPD|aCGEN
42	24151 23523	   	214.79	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9ASPD|aERES
43	24151 32223	   	214.64	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|45aVULN|5BPWR|7BELT|8BEXP|9ZMB
44	24151 32234	   	214.64	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|459VULN|5BPWR|7BELT|8BEXP|aZMB
45	24115 11363	   	214.54	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|289DMG|3AART|4ZMB|5BELT|68DUST|78aVULN|8BPWR
