0	Index      	 *	Score 	Summary	Detail	
1	42611 16122	 * 	198.07	DCR|4VULN|2DMG|2ZMB|1CDMG	19DMG|29FEWX|348aVULN|5CDMG|6RCR|79ZMB|9BPWR
2	42611 16123	 * 	197.50	DCR|3VULN|2DMG|3ZMB|1CDMG	19DMG|29FEWX|348VULN|5CDMG|6RCR|79aZMB|9BPWR
3	44111 16122	   	196.20	DCR|3VULN|2DMG|2ZMB|1CDMG|2DUR	19DMG|29DUR|3RCVC|48aVULN|5CDMG|6RCR|79ZMB|9BPWR
4	42611 13523	 * 	195.57	DCR|4VULN|2DMG|3CDMG	19DMG|2FEWX|349aVULN|579CDMG|6RCR|8RMIN|9BPWR
5	44111 16123	   	194.08	DCR|2VULN|2DMG|3ZMB|1CDMG|2DUR	19DMG|29DUR|3RCVC|48VULN|5CDMG|6RCR|79aZMB|9BPWR
6	11426 26221	 * 	191.38	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68VULN|78ZMB|8BPWR|9CDMG|aDMG
7	24322 35211	 * 	186.71	DCR|2VULN|2DMG|2AART|1CDMG	1CDMG|29DMG|3LWND|46VULN|5RPLT|7RCR|8aAART
8	24622 35211	   	186.71	DCR|2VULN|2DMG|2AART|1CDMG	1CDMG|29DMG|3LHND|46VULN|5RPLT|7RCR|8aAART
9	44611 12132	 * 	185.20	DCR|5VULN|1DMG|1CDMG|1DUR	1DMG|2DUR|3489aVULN|5CDMG|6RCR|7CGEN
10	11421 62332	 * 	184.28	ACR|2VULN|2DMG|1AART|3DUR	1RPLT|2AART|3RCR|49aDUR|5FEWX|69DMG|7RMIN|89VULN|9BPWR
11	22521 45323	 * 	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3RCR|49aVULN|5DUR|6AART|7DMG|8MLV
12	22521 45123	   	184.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3RCR|49aVULN|5DUR|6AART|7DMG|8TLV
13	42611 16121	   	183.97	DCR|3VULN|2DMG|2ZMB|1CDMG	19DMG|29FEWX|348VULN|5CDMG|6RCR|79ZMB|9BPWR|aLHND
14	42111 16122	   	183.97	DCR|3VULN|2DMG|2ZMB|1CDMG	19DMG|29FEWX|3RCVC|48aVULN|5CDMG|6RCR|79ZMB|9BPWR
15	11431 62513	 * 	183.80	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD|1SELL	1RPLT|2AART|3RCR|4SELL|5ZMB|69aDMG|7VULN|8ASPD
16	44611 12133	   	183.37	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3489VULN|5CDMG|6RCR|7CGEN|aZMB
17	11426 26222	 * 	182.77	ACR|2AART|2VULN|2ZMB|1CDMG|2DUR	1RPLT|2aAART|3RCR|48DUR|5LIT|68VULN|78ZMB|8BPWR|9CDMG
18	42611 25231	   	182.33	DCR|4VULN|2DMG|2CDMG	17DMG|2FEWX|347aVULN|57CDMG|6RMIN|7BPWR|8LHND|9RCR
19	42611 25331	   	182.23	DCR|4VULN|2DMG|2CDMG	17DMG|2FEWX|347aVULN|57CDMG|6RMIN|7BPWR|8LEGI|9RCR
20	24322 35213	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|29DMG|3LWND|46VULN|5RPLT|7RCR|8AART|aASPD
21	24622 35213	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|29DMG|3LHND|46VULN|5RPLT|7RCR|8AART|aASPD
22	42111 16123	   	181.85	DCR|2VULN|2DMG|3ZMB|1CDMG	19DMG|29FEWX|3RCVC|48VULN|5CDMG|6RCR|79aZMB|9BPWR
23	43414 23332	   	181.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	19DMG|2AART|3ZMB|4BEXP|5ASPD|6RCR|7CDMG|8FEWX|aVULN
24	43321 21254	   	181.59	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|2AART|3ERES|49LIT|5MGNLIT|6RCR|7ASPD|89VULN|9BPWR|aDUR
25	42111 13523	   	181.47	DCR|3VULN|2DMG|3CDMG	19DMG|2FEWX|3RCVC|49aVULN|579CDMG|6RCR|8RMIN|9BPWR
26	42611 13522	   	181.47	DCR|3VULN|2DMG|3CDMG	19DMG|2FEWX|349VULN|579CDMG|6RCR|8RMIN|9BPWR|aLHND
27	42611 13521	   	181.37	DCR|3VULN|2DMG|3CDMG	19DMG|2FEWX|349VULN|579CDMG|6RCR|8RMIN|9BPWR|aDUST
28	45151 32123	   	181.31	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD	19DMG|2RMIN|3LWND|49ZMB|5CDMG|6ASPD|789VULN|9BPWR|aRCR
29	43321 21251	 * 	181.26	DCR|2VULN|2DMG|1AART|2ASPD	19DMG|2AART|3ERES|49LIT|5MGNLIT|6RCR|7aASPD|89VULN|9BPWR
30	11541 23315	 * 	181.19	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	13RPLT|2AART|48VULN|58CDMG|6RCR|78CGEN|8BPWR|9DMG|aZMB
31	11541 21315	   	180.99	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	13RPLT|2AART|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9DMG|aZMB
32	43322 65132	   	180.89	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2AART|3ERES|4LIT|5ZMB|6RCR|7aVULN|89CDMG
33	24316 12423	 * 	180.58	DCR|3VULN|2DMG|2CDMG|2ZMB	19CDMG|29DMG|3LWND|46ZMB|579VULN|8MBVNT|9BPWR|aRCR
34	44111 16121	   	180.55	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	19DMG|29DUR|3RCVC|48VULN|5CDMG|6RCR|79ZMB|9BPWR|aLHND
35	11421 62331	   	180.47	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2AART|3RCR|49DUR|5FEWX|69DMG|7RMIN|89VULN|9BPWR|aLHND
36	11421 62334	   	180.47	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2AART|3RCR|49DUR|5FEWX|69DMG|7RMIN|89VULN|9BPWR|aBEXP
37	11421 62335	   	180.47	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2AART|3RCR|49DUR|5FEWX|69DMG|7RMIN|89VULN|9BPWR|aCGEN
38	22314 13613	 * 	180.38	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|2ERES|39DMG|4BASICY|5CGEN|6BELT|7RCR|89VULN|9BPWR|aAART
39	11421 62333	   	180.37	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2AART|3RCR|49DUR|5FEWX|69DMG|7RMIN|89VULN|9BPWR|aDUST
40	11421 62336	   	180.37	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2AART|3RCR|49DUR|5FEWX|69DMG|7RMIN|89VULN|9BPWR|aERES
41	42611 22423	   	179.83	DCR|4VULN|2DMG|2CDMG	19DMG|2FEWX|3479VULN|59CDMG|6RMIN|8MBVNT|9BPWR|aRCR
42	61134 25133	 * 	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	138VULN|2LHND|4RPLT|5CDMG|6ASPD|7RCR|9AART|aDMG
43	22523 43423	 * 	179.64	ACR|3VULN|2AART|1CDMG|1ZMB	1CDMG|2ERES|3RCR|47aVULN|5LWND|68AART|9ZMB
44	21362 16123	 * 	179.61	DCR|4VULN|3CDMG|2ZMB|1DUR	139CDMG|2DUR|489aVULN|5NUKE|6RCR|79ZMB|9BPWR
45	11431 62511	 * 	179.59	ACR|2AART|2DMG|1VULN|1ZMB|1ASPD|1SELL	1RPLT|2aAART|3RCR|4SELL|5ZMB|69DMG|7VULN|8ASPD
46	21362 16126	 * 	179.04	DCR|3VULN|3ZMB|3CDMG|1DUR	139CDMG|2DUR|489VULN|5NUKE|6RCR|79aZMB|9BPWR
47	21462 16122	   	178.87	DCR|4VULN|2CDMG|2ZMB|2DUR	19CDMG|23DUR|489aVULN|5NUKE|6RCR|79ZMB|9BPWR
48	43322 65122	 * 	178.43	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|2AART|3ERES|4LIT|59ZMB|6RCR|7aVULN|8CDMG
49	11444 23323	 * 	178.42	ACR|4VULN|2AART|1DUR	1RPLT|26AART|3RCR|489aVULN|5DUR|7ERES
50	11426 22215	   	178.33	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68aVULN|78TLV|8BPWR|9DMG
51	11453 12215	   	178.33	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2AART|3RCR|48ERES|5LIT|68aVULN|78DUR|8BPWR|9DMG
52	25616 14422	 * 	178.31	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19CDMG|29BASICY|3AART|4RCR|5ZMB|6MBVNT|7DMG|89VULN|9BPWR|aCGEN
53	25616 14424	   	178.31	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19CDMG|29BASICY|3AART|4RCR|5ZMB|6MBVNT|7DMG|89VULN|9BPWR|aRPLT
54	21462 16123	   	178.30	DCR|3VULN|3ZMB|2CDMG|2DUR	19CDMG|23DUR|489VULN|5NUKE|6RCR|79aZMB|9BPWR
55	42611 12132	   	178.26	DCR|5VULN|1DMG|1CDMG	1DMG|2FEWX|3489aVULN|5CDMG|6RCR|7CGEN
56	22521 43123	 * 	178.23	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2ERES|3RCR|479aVULN|5DUR|6AART|8FEWX
57	22521 43323	   	178.23	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2ERES|3RCR|479aVULN|5DUR|6AART|8LWND
58	25616 14421	   	178.21	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19CDMG|29BASICY|3AART|4RCR|5ZMB|6MBVNT|7DMG|89VULN|9BPWR|aDUST
59	11444 32112	 * 	178.14	ACR|2AART|2VULN|1DMG|3DUR	1RPLT|29AART|3RCR|47VULN|57aDUR|67LHND|7BPWR|8DMG
60	21123 16123	   	177.84	DCR|3VULN|3CDMG|2ZMB|2DUR|1ASPD	159CDMG|29DUR|3ASPD|48aVULN|6RCR|79ZMB|9BPWR
61	11426 26211	   	177.73	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68VULN|78ZMB|8BPWR|9DMG|aLWND
62	11426 26213	   	177.73	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68VULN|78ZMB|8BPWR|9DMG|aLHND
63	44611 12232	   	177.66	DCR|4VULN|1DMG|1CDMG|2DUR	1DMG|28DUR|349aVULN|5CDMG|6RCR|7CGEN
64	11426 26212	   	177.63	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68VULN|78ZMB|8BPWR|9DMG|aERES
65	22523 45323	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2ERES|3RCR|49aVULN|5LWND|6AART|7DMG|8MLV
66	22523 45123	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2ERES|3RCR|49aVULN|5LWND|6AART|7DMG|8TLV
67	42111 13526	   	176.82	DCR|2VULN|2DMG|3CDMG|1ZMB	19DMG|2FEWX|3RCVC|49VULN|579CDMG|6RCR|8RMIN|9BPWR|aZMB
68	11121 26313	 * 	176.78	DCR|3DMG|1AART|2CDMG|1ZMB	1RPLT|2AART|389DMG|4CGEN|58CDMG|6RCR|78MLV|8BPWR|aZMB
69	43121 26313	   	176.78	DCR|3DMG|1AART|2CDMG|1ZMB	189DMG|2AART|3RPLT|4CGEN|58CDMG|6RCR|78MLV|8BPWR|aZMB
70	42611 12133	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMG|2FEWX|3489VULN|5CDMG|6RCR|7CGEN|aZMB
71	42611 16111	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMG|2FEWX|348aVULN|5CDMG|6RCR|7ZMB|9BEXP
72	42611 16133	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMG|2FEWX|348aVULN|5CDMG|6RCR|7ZMB|9RMIN
73	11133 23142	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|2AART|39DMG|4DUST|5LIT|6CDMG|7aVULN|8RCR
74	43133 23142	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2AART|3RPLT|4DUST|5LIT|6CDMG|7aVULN|8RCR
75	11426 22221	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68VULN|78TLV|8BPWR|9CDMG|aDMG
76	11453 12221	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RPLT|2AART|3RCR|48ERES|5LIT|68VULN|78DUR|8BPWR|9CDMG|aDMG
77	62151 12132	   	176.14	DCR|5VULN|1CDMG|1ZMB|1DUR	1389aVULN|2DUR|4ZMB|5CDMG|6RCR|7CGEN
78	62611 12132	   	176.14	DCR|5VULN|1CDMG|1ZMB|1DUR	1489aVULN|2DUR|3ZMB|5CDMG|6RCR|7CGEN
79	43212 23461	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2AART|3DUST|4FEWX|5BELT|6ZMB|7RCR|9aVULN
80	32336 23276	 * 	175.87	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1SELL	1SELL|29MLV|3AART|4VULN|5RCR|69CDMG|79DMG|8MBVNT|9BPWR|aZMB
81	21123 16126	   	175.72	DCR|2VULN|3ZMB|3CDMG|2DUR|1ASPD	159CDMG|29DUR|3ASPD|48VULN|6RCR|79aZMB|9BPWR
82	62151 11322	   	175.58	DCR|3VULN|1DMG|2CDMG|1ZMB|1DUR	138VULN|2DUR|4ZMB|59CDMG|6RCR|7LIT|aDMG
83	62611 11322	   	175.58	DCR|3VULN|1DMG|2CDMG|1ZMB|1DUR	148VULN|2DUR|3ZMB|59CDMG|6RCR|7LIT|aDMG
84	42611 16221	   	175.58	DCR|3VULN|1DMG|2CDMG|1ZMB|1DUR	1DMG|2FEWX|34aVULN|59CDMG|6RCR|7ZMB|8DUR
85	22523 43433	   	175.57	ACR|3VULN|2AART|1CDMG|1DUR	1CDMG|2ERES|3RCR|47aVULN|5LWND|68AART|9DUR
86	24143 15211	 * 	175.44	DCR|2DMG|2AART|1VULN|2CDMG	13CDMG|29DMG|4VULN|5RPLT|6LHND|7RCR|8aAART
87	42111 14522	   	175.43	DCR|3VULN|2DMG|2CDMG	19DMG|27FEWX|3RCVC|49aVULN|59CDMG|6RCR|8RMIN|9BPWR
88	45532 13221	   	175.33	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2RMIN|35VULN|4RPLT|6ZMB|7CDMG|8aAART|9RCR
89	24322 35214	   	175.26	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|29DMG|3LWND|46VULN|5RPLT|7RCR|8AART|aRMIN
90	42111 16126	   	175.25	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19DMG|29FEWX|3RCVC|48VULN|5CDMG|6RCR|79ZMB|9BPWR|aDUR
91	46532 13221	   	175.23	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2TLV|35VULN|4RPLT|6ZMB|7CDMG|8aAART|9RCR
92	44111 25231	   	175.17	DCR|3VULN|2DMG|2CDMG|1DUR	17DMG|2DUR|3RCVC|47aVULN|57CDMG|6RMIN|7BPWR|8LHND|9RCR
93	24322 35212	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|29DMG|3LWND|46VULN|5RPLT|7RCR|8AART|aTLV
94	24322 35215	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|29DMG|3LWND|46VULN|5RPLT|7RCR|8AART|aDUST
95	24322 35216	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|29DMG|3LWND|46VULN|5RPLT|7RCR|8AART|aERES
96	24622 35212	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|29DMG|3LHND|46VULN|5RPLT|7RCR|8AART|aTLV
97	22521 43423	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3RCR|47aVULN|5DUR|6AART|8DMSP|9ZMB
98	22521 43523	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3RCR|47aVULN|5DUR|6AART|8RCVC|9ZMB
99	44111 25331	   	175.07	DCR|3VULN|2DMG|2CDMG|1DUR	17DMG|2DUR|3RCVC|47aVULN|57CDMG|6RMIN|7BPWR|8LEGI|9RCR
100	22521 43223	   	175.03	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|28ERES|3RCR|47aVULN|5DUR|6AART|9ZMB
101	11114 43123	   	174.86	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1RPLT|26AART|37DMG|4LWND|5CDMG|8VULN|9RCR|aASPD
102	43114 43123	   	174.86	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	17DMG|26AART|3RPLT|4LWND|5CDMG|8VULN|9RCR|aASPD
103	22553 63313	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	15CDMG|2ERES|3RCR|4ASPD|6AART|7FEWX|8aVULN|9DMG
104	11126 26314	   	174.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2AART|39DMG|4CGEN|5LIT|6RCR|7ZMB|8VULN|aCDMG
105	43321 21252	   	174.65	DCR|2VULN|2DMG|1AART|1ASPD	19DMG|2AART|3ERES|49LIT|5MGNLIT|6RCR|7ASPD|89VULN|9BPWR|aLHND
106	43321 21253	   	174.65	DCR|2VULN|2DMG|1AART|1ASPD	19DMG|2AART|3ERES|49LIT|5MGNLIT|6RCR|7ASPD|89VULN|9BPWR|aBEXP
107	43321 21255	   	174.65	DCR|2VULN|2DMG|1AART|1ASPD	19DMG|2AART|3ERES|49LIT|5MGNLIT|6RCR|7ASPD|89VULN|9BPWR|aMLV
108	11541 22315	   	174.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13RPLT|2AART|47VULN|5CDMG|6RCR|8ERES|9DMG|aZMB
109	43322 65112	   	174.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2AART|3ERES|49LIT|5ZMB|6RCR|7aVULN|8CDMG
110	44611 12233	   	174.56	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1DMG|28DUR|349VULN|5CDMG|6RCR|7CGEN|aZMB
111	43321 25251	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	19DMG|2AART|39ERES|4LIT|5MGNLIT|6RCR|7RMIN|89VULN|9BPWR|aASPD
112	43321 21256	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	19DMG|2AART|3aERES|49LIT|5MGNLIT|6RCR|7ASPD|89VULN|9BPWR
113	43352 32523	   	174.52	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	14DMG|25AART|3ERES|6DUR|7RPLT|8RCR|9ZMB|aVULN
114	11133 23141	 * 	174.43	DCR|3DMG|1AART|1VULN|1CDMG	1RPLT|2AART|39aDMG|4DUST|5LIT|6CDMG|7VULN|8RCR
115	43133 23141	   	174.43	DCR|3DMG|1AART|1VULN|1CDMG	19aDMG|2AART|3RPLT|4DUST|5LIT|6CDMG|7VULN|8RCR
116	11444 32113	   	174.33	ACR|2AART|2VULN|1DMG|2DUR	1RPLT|29AART|3RCR|47VULN|57DUR|67LHND|7BPWR|8DMG|aLWND
117	44613 13132	   	174.31	DCR|3VULN|1AART|1DMG|2DUR	1DMG|25DUR|34aVULN|6RCR|7LWND|8AART|9LIT
118	11264 53121	   	174.24	DCR|2AART|2DMG|1VULN|2CDMG	1RPLT|2aAART|3BEXP|47DMG|56CDMG|8VULN|9RCR
119	11444 32111	   	174.23	ACR|2AART|2VULN|1DMG|2DUR	1RPLT|29AART|3RCR|47VULN|57DUR|67LHND|7BPWR|8DMG|aTLV
120	44613 13122	   	174.21	DCR|3VULN|1AART|1DMG|2DUR	1DMG|25DUR|34aVULN|6RCR|7LWND|8AART|9BASHEA
121	11134 53121	   	174.14	DCR|2AART|2DMG|1VULN|2CDMG	1RPLT|2aAART|37DMG|4DUST|56CDMG|8VULN|9RCR
