0	Index      	 *	Score 	Summary	Detail	
1	14123 43131	 * 	207.43	DCR|3DMG|1AART|1VULN|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9AART|aVULN
2	13123 33361	 * 	201.77	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39MGNLIT|456CDMG|59BPWR|7AART|8RCR|aMLV
3	13123 33362	   	201.77	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39MGNLIT|456CDMG|59BPWR|7AART|8RCR|aLWND
4	13123 33363	   	201.77	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39MGNLIT|456CDMG|59BPWR|7AART|8RCR|aLIT
5	13123 33364	   	201.77	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39MGNLIT|456CDMG|59BPWR|7AART|8RCR|aBEXP
6	13122 33361	   	201.67	DCR|3DMG|2VULN|3CDMG|1AART	19aDMG|29VULN|39MGNLIT|456CDMG|7AART|8RCR|9BPWR
7	13123 33366	   	201.67	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39MGNLIT|456CDMG|59BPWR|7AART|8RCR|aERES
8	13423 33361	   	201.57	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39CANSTR|456CDMG|59BPWR|7AART|8RCR|aMLV
9	13423 33362	   	201.57	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39CANSTR|456CDMG|59BPWR|7AART|8RCR|aLWND
10	13423 33363	   	201.57	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39CANSTR|456CDMG|59BPWR|7AART|8RCR|aLIT
11	13423 33364	   	201.57	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39CANSTR|456CDMG|59BPWR|7AART|8RCR|aBEXP
12	13123 33365	   	201.53	DCR|3DMG|2VULN|3CDMG|1AART|1SELL	159DMG|29VULN|39MGNLIT|456CDMG|59BPWR|7AART|8RCR|aSELL
13	13422 33361	   	201.47	DCR|3DMG|2VULN|3CDMG|1AART	19aDMG|29VULN|39CANSTR|456CDMG|7AART|8RCR|9BPWR
14	13423 33366	   	201.47	DCR|3DMG|2VULN|3CDMG|1AART	159DMG|29VULN|39CANSTR|456CDMG|59BPWR|7AART|8RCR|aERES
15	13423 33365	   	201.33	DCR|3DMG|2VULN|3CDMG|1AART|1SELL	159DMG|29VULN|39CANSTR|456CDMG|59BPWR|7AART|8RCR|aSELL
16	13151 13642	 * 	200.67	DCR|4VULN|2DMG|1AART|1ZMB	14DMG|256aVULN|36MGNLIT|6BPWR|7AART|8RCR|9ZMB
17	13151 13635	 * 	200.67	DCR|3VULN|2DMG|2AART|1CDMG	14DMG|256VULN|36MGNLIT|6BPWR|7aAART|8RCR|9CDMG
