0	Index      	 *	Score 	Summary	Detail	
1	14214 41311	 * 	199.99	ACR|3DMG|2VULN|1AART|2ZMB|1DUR	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9DUR|aAART
2	64243 31123	 * 	196.00	DCR|4VULN|2DMG|1AART|2DUR	17DUR|2348VULN|57DMG|67BEXP|7BPWR|9AART|aRCR
3	14214 41121	 * 	194.82	ACR|3VULN|2DMG|1AART|2ZMB	1aRCVC|278VULN|3NUKE|47ZMB|5RCR|67DMG|7BPWR|9AART
4	14214 41122	   	193.65	ACR|3VULN|2DMG|1AART|2ZMB	1RCVC|278VULN|3NUKE|47ZMB|5RCR|67DMG|7BPWR|9AART|aLHND
5	14214 41123	   	193.65	ACR|3VULN|2DMG|1AART|2ZMB	1RCVC|278VULN|3NUKE|47ZMB|5RCR|67DMG|7BPWR|9AART|aCGEN
6	14214 41331	   	193.05	ACR|3DMG|2VULN|1AART|2ZMB	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9FEWX|aAART
7	64422 31332	 * 	191.76	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR|1SELL	1DUR|28VULN|36DMG|4CDMG|5ZMB|7RCR|9SELL|aAART
8	21416 61132	 * 	191.24	ACR|3DMG|2VULN|1AART|1CDMG	1BEXP|2DUST|36aDMG|4AART|5RCR|79VULN|8CDMG
9	25116 61132	   	191.24	ACR|3DMG|2VULN|1AART|1CDMG	1BEXP|26aDMG|3DUST|4AART|5RCR|79VULN|8CDMG
10	36513 32351	 * 	191.18	ACR|2VULN|3ZMB|1AART|2FLTHEA|1CDMG	1DUST|267ZMB|3RCR|4AART|56FLTHEA|6BPWR|8CDMG|9aVULN
11	14214 41211	 * 	190.82	ACR|2VULN|2DMG|3ZMB|1AART	1RCVC|27VULN|3NUKE|479ZMB|5RCR|67DMG|7BPWR|8DUST|aAART
12	64243 33323	   	190.51	DCR|4VULN|2DMG|1AART|1DUR	1DUR|2347VULN|58DMG|6BEXP|9AART|aRCR
13	14214 41312	 * 	190.31	ACR|3DMG|2VULN|3ZMB|1DUR	1RCVC|27VULN|3NUKE|47aZMB|5RCR|678DMG|7BPWR|9DUR
14	12421 31122	 * 	188.07	DCR|3VULN|2AART|1DMG|1DUR	1RCVC|2aAART|3DMG|4BEXP|579VULN|6RCR|8DUR
15	35511 11533	   	187.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|2aDMG|3RCR|4AART|5LHND|6CDMG|7aVULN|8DUR|9aERES|aBPWR
16	12421 31266	   	187.27	DCR|3VULN|2DMG|1AART	1RCVC|2AART|39DMG|48BEXP|57aVULN|6RCR
17	35513 31341	 * 	187.15	ACR|2DMG|1AART|1VULN|2FLTHEA|1ZMB|1ASPD	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8ASPD|9ZMB|aVULN
18	35513 32112	   	187.15	ACR|2DMG|1AART|1VULN|2FLTHEA|1ZMB|1DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8LHND|9DUR|aVULN
19	35513 32421	   	187.05	ACR|2DMG|1AART|1VULN|2FLTHEA|1ZMB|1DUR	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8DUR|9ERES|aVULN
20	35513 31151	 * 	186.80	ACR|2VULN|2DMG|1AART|2FLTHEA	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8RPLT|9aVULN
21	64422 31122	 * 	186.47	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|36DMG|4CDMG|5ZMB|7RCR|8FEWX|9aAART
22	25336 33142	   	186.43	ACR|3VULN|2DMG|1AART|1ASPD	18BEXP|28DMG|3ASPD|4RCR|5RCVC|6MLV|789VULN|8BPWR|aAART
23	35531 51121	   	186.32	ACR|3VULN|2DMG|1AART|3RCVC	17DUST|27DMG|3RCR|45aRCVC|678VULN|7BPWR|9AART
24	64262 13223	 * 	185.58	ACR|3VULN|2AART|1DMG|2DUR	1aDUR|239VULN|4RCR|58AART|6BEXP|7DMG
25	35531 51122	   	185.26	ACR|3VULN|2DMG|1AART	17DUST|27DMG|3RCR|45RCVC|678VULN|7BPWR|9AART|aLHND
26	35531 51123	   	185.26	ACR|3VULN|2DMG|1AART	17DUST|27DMG|3RCR|45RCVC|678VULN|7BPWR|9AART|aCGEN
27	64262 13132	 * 	185.22	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|23VULN|4RCR|5aAART|6BEXP|7DMG|8CDMG|9ASPD
28	64262 23132	   	185.22	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|23VULN|4RCR|5aAART|6FEWX|7DMG|8CDMG|9ASPD
29	65332 13512	 * 	185.22	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD|1DUR	1DUR|27DMG|3ASPD|4RCR|5aAART|6BEXP|8VULN|9CDMG
30	61623 51123	   	184.90	DCR|3VULN|2DMG|1AART|2DUR	17DUR|2DUST|3DMSP|4RCVC|57DMG|678VULN|7BPWR|9AART|aRCR
31	24234 21432	 * 	184.82	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1BEXP|23VULN|4ZMB|58DMG|6CDMG|7RCR|9SELL|aAART
32	64262 13222	 * 	184.56	ACR|3VULN|3AART|1DMG|1DUR	1DUR|239VULN|4RCR|58aAART|6BEXP|7DMG
33	25332 12553	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	16BEXP|2aDMG|3ASPD|4RCR|5AART|78VULN|9CDMG
34	25332 22553	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1BEXP|2aDMG|3ASPD|4RCR|5AART|6DMSP|78VULN|9CDMG
35	64262 13122	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4RCR|5AART|6BEXP|7aDMG|8CDMG|9DUST
36	64262 23122	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4RCR|5AART|6FEWX|7aDMG|8CDMG|9DUST
37	61423 13261	   	183.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DUR|2DUST|38DMG|4FEWX|5MLV|68VULN|7RCR|8BPWR|9ZMB|aAART
38	14214 41322	 * 	183.49	ACR|3DMG|2VULN|2ZMB|1CDMG	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9CGEN|aCDMG
39	35513 43323	 * 	183.38	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|28DMG|3RCR|4AART|5FLTHEA|6VULN|7DUR|9MLV|aCDMG
40	35513 43333	   	183.38	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|28DMG|3RCR|4AART|5FLTHEA|6VULN|7DUR|9CGEN|aCDMG
41	14214 41332	   	183.38	ACR|3DMG|2VULN|3ZMB	1RCVC|27VULN|3NUKE|47aZMB|5RCR|678DMG|7BPWR|9FEWX
