0	Index      	 *	Score 	Summary	Detail	
1	32253 26121	 * 	202.48	ACR|5VULN|1AART|1DMG|1CDMG	1269aVULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG
2	32511 52543	 * 	202.16	DCR|5VULN|2DMG|2CDMG	12379VULN|23aBPWR|4aDMG|5aCDMG|6RCR|8MBVNT
3	32253 26124	 * 	201.10	ACR|4VULN|2AART|1DMG|1CDMG	1269VULN|2BPWR|3FEWX|4RCR|5aAART|7CDMG|8DMG
4	33251 13614	 * 	198.45	ACR|3VULN|2DMG|1AART|2CDMG	159VULN|29CGEN|3aDMG|4RCR|6LHND|7AART|89CDMG|9BPWR
5	32253 26214	 * 	196.16	ACR|4VULN|1AART|1DMG|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89BEXP|aDMG
6	32253 26131	   	195.96	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|2BPWR|3FEWX|4RCR|5AART|79CDMG|8DMG
7	32656 22221	 * 	195.47	ACR|4VULN|3DMG|2DUR	1279VULN|27BPWR|3BEXP|4RCR|57aDMG|67DUR|8LWND
8	31251 26133	 * 	195.45	ACR|3VULN|3DMG|1AART	158VULN|2MLV|38aDMG|4RCR|6RCVC|78LSRICY|8BPWR|9AART
9	32511 52135	 * 	194.94	DCR|4VULN|1AART|1DMG|2CDMG	1237VULN|23BPWR|4DMG|58CDMG|6RCR|9BEXP|aAART
10	32253 26323	   	193.42	ACR|5VULN|1AART|1CDMG|1ZMB	12689VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|aZMB
11	32253 26134	 * 	193.31	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|2BPWR|3FEWX|4RCR|5aAART|79CDMG|8DMG
12	32253 26114	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8aDMG|9NUKE
13	33251 13634	   	191.94	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2CGEN|3aDMG|4RCR|6LHND|7AART|8CDMG
14	33251 13615	   	191.87	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	159VULN|29CGEN|3DMG|4RCR|6LHND|7AART|89CDMG|9BPWR|aZMB
15	32511 55321	   	191.04	DCR|4VULN|1AART|1DMG|1CDMG	123aVULN|23BPWR|4DMG|5CDMG|6RCR|7LEGI|8RCVC|9AART
16	32656 22312	   	190.37	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	127VULN|27BPWR|3BEXP|4RCR|57DMG|67DUR|8CGEN|9CDMG|aZMB
17	32511 52312	   	189.95	DCR|4VULN|2DMG|1CDMG|1DUR	1237VULN|23BPWR|49DMG|5CDMG|6RCR|8RPLT|aDUR
18	32222 15514	   	189.83	DCR|5VULN|2DMG|2DUR	1256aVULN|2aBPWR|34FEWX|7aDUR|8RCR|9aDMG
19	32222 43514	   	189.83	DCR|5VULN|2DMG|2DUR	1257aVULN|2aBPWR|34FEWX|6aDUR|8RCR|9aDMG
20	32253 26126	   	189.65	ACR|4VULN|1AART|1DMG|1CDMG	1269VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|aCGEN
21	32253 26234	   	189.65	ACR|4VULN|1AART|1DMG|1CDMG	1269VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8BEXP|aDMG
22	32253 66121	   	189.65	ACR|4VULN|1AART|1DMG|1CDMG	129aVULN|2BPWR|36FEWX|4RCR|5AART|7CDMG|8DMG
23	32253 26122	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1269VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|aLSRREG
24	32253 26125	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1269VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|aDUST
25	32253 26334	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1268VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|9LEGI|aDMG
26	32253 26324	   	189.35	ACR|5VULN|1AART|1CDMG|1DUR	12689VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|aDUR
27	32253 26312	 * 	188.93	ACR|5VULN|1AART|2CDMG	1268aVULN|2aBPWR|3FEWX|4RCR|5AART|7aCDMG|9aCGEN
28	31251 61521	 * 	187.25	ACR|4VULN|1AART|1DMG|2ASPD	158aVULN|28MLV|3DMG|4RCR|6DUST|78ASPD|8BPWR|9AART
29	33251 61521	   	187.25	ACR|4VULN|1AART|1DMG|2ASPD	158aVULN|28CGEN|3DMG|4RCR|6DUST|78ASPD|8BPWR|9AART
30	33255 11521	   	187.25	ACR|4VULN|1AART|1DMG|2ASPD	168aVULN|28CGEN|3DMG|4RCR|5DUST|78ASPD|8BPWR|9AART
31	32365 34321	   	187.15	ACR|4VULN|1AART|1DMG|1CDMG	127aVULN|2BPWR|3TLV|4RCR|5CDMG|6RPLT|8DMG|9AART
32	32253 22525	   	187.00	ACR|4VULN|1AART|1DMG|1ZMB	126aVULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LIT|9DMG
33	31251 26135	   	186.73	ACR|3VULN|2DMG|1AART|1DUR	158VULN|2MLV|38DMG|4RCR|6RCVC|78LSRICY|8BPWR|9AART|aDUR
34	32254 34321	   	186.43	ACR|5VULN|1AART|1DMG	1267aVULN|2BPWR|3FEWX|4RCR|5BEXP|8DMG|9AART
35	32652 34321	   	186.43	ACR|5VULN|1AART|1DMG	1267aVULN|2BPWR|3BEXP|4RCR|5FEWX|8DMG|9AART
36	32251 64321	   	186.33	ACR|5VULN|1AART|1DMG	1257aVULN|2BPWR|3FEWX|4RCR|6DUST|8DMG|9AART
37	32255 34321	   	186.33	ACR|5VULN|1AART|1DMG	1267aVULN|2BPWR|3FEWX|4RCR|5DUST|8DMG|9AART
38	33251 13635	   	185.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	159VULN|2CGEN|3DMG|4RCR|6LHND|7AART|8CDMG|aZMB
39	32541 12235	   	185.27	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	123VULN|23BPWR|4BEXP|5ZMB|6DMG|7CDMG|8DUR|9RCR|aAART
