0	Index      	 *	Score 	Summary	Detail	
1	32522 41224	 * 	199.77	ACR|5VULN|1AART|3CDMG	1AART|258ERES|3589aVULN|4RCR|58aBPWR|6RCVC|78aCDMG
2	32525 31333	 * 	195.79	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ERES|389VULN|4RCR|5DMG|6ZMB|7ASPD|aCDMG
3	32525 51213	 * 	195.44	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2ERES|367VULN|4RCR|59DMG|8FEWX|aCDMG
4	32525 52233	 * 	195.44	ACR|3VULN|2DMG|1AART|1FLTHEA	1AART|28ERES|368VULN|4RCR|58DMG|7RPLT|8BPWR|9DUST|aFLTHEA
5	32525 51113	   	195.34	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2ERES|367VULN|4RCR|59DMG|8DUST|aCDMG
6	32525 51313	   	195.34	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2ERES|367VULN|4RCR|59DMG|8MBVNT|aCDMG
7	31625 31312	 * 	194.62	ACR|2VULN|2DMG|1AART|3ZMB	1AART|2FEWX|36aZMB|4RCR|59DMG|78VULN
8	23825 41436	 * 	193.67	ACR|5VULN|3DMG	179CGEN|2MBVNT|3DUST|4789aVULN|5RCR|679DMG|79BPWR
9	32333 41315	 * 	193.57	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9DMG|aCDMG
10	32525 51212	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1AART|2ERES|367VULN|4RCR|59DMG|8FEWX|aZMB
11	32525 51112	   	192.69	ACR|3VULN|2DMG|1AART|1ZMB	1AART|2ERES|367VULN|4RCR|59DMG|8DUST|aZMB
12	31625 31362	 * 	192.69	ACR|3VULN|1AART|3ZMB|1DMG	1AART|2FEWX|36aZMB|4RCR|5DMG|789VULN
13	32522 41221	 * 	192.25	ACR|4VULN|2AART|2CDMG	1aAART|258ERES|3589VULN|4RCR|58BPWR|6RCVC|78CDMG
