0	Index      	 *	Score 	Summary	Detail	
1	13621 31218	 * 	209.48	ACR|3VULN|2DMG|1AART|3ASPD|2DUR	17aASPD|27DUR|37aVULN|4RCR|5RPLT|6MBVNT|7aBPWR|8aDMG|9AART
2	23611 33412	 * 	205.03	DCR|3VULN|1AART|1DMG|2FLTHEA|2ASPD|2DUR	17FLTHEA|29DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|aDMG
3	23611 33542	   	202.63	DCR|3VULN|1AART|1DMG|2FLTHEA|2ASPD|2DUR	17FLTHEA|28DUR|37ASPD|467VULN|5AART|7BPWR|9RCR|aDMG
4	23611 33442	   	199.73	DCR|3VULN|1AART|1DMG|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9RCVC|aDMG
5	26211 33414	 * 	199.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1ZMB|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9DUR|aZMB
6	26311 33414	   	199.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1ZMB|1DUR	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9DUR|aZMB
7	26211 33431	 * 	196.83	DCR|3VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26aVULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9BELT
8	26311 33431	   	196.83	DCR|3VULN|2DMG|1AART|2FLTHEA	17FLTHEA|26aVULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9BELT
9	23611 33431	 * 	193.77	DCR|4VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467aVULN|5AART|7BPWR|8RCR|9BELT
10	15631 61212	 * 	191.58	DCR|3VULN|2DMG|3ASPD|3DUR	17aASPD|2LHND|37aVULN|479DUR|5RPLT|6RCR|7aBPWR|8aDMG
11	23511 33442	   	191.48	DCR|3VULN|1AART|1DMG|2FLTHEA|2DUR	17FLTHEA|27DUR|3RMIN|467VULN|5AART|7BPWR|8RCR|9RCVC|aDMG
12	23611 33422	 * 	191.12	DCR|3VULN|2AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5aAART|7BPWR|8RCR|9LWND
13	23611 33424	   	190.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1ZMB|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9LWND|aZMB
14	23611 33436	   	190.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1ZMB|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BELT|aZMB
15	43121 31251	 * 	190.56	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	178DMG|2DUR|37FEWX|4RCR|5RPLT|67VULN|7BPWR|9ASPD|aAART
16	11621 26252	 * 	189.20	ACR|3VULN|3DMG|3ASPD	19aASPD|2BEXP|39aVULN|4RCR|5RPLT|6FEWX|7LWND|89aDMG|9aBPWR
17	23612 31316	 * 	189.09	DCR|2DMG|1AART|1VULN|3ASPD|2FLTHEA|1DUR	1aFLTHEA|2DUR|36aASPD|4VULN|5ERES|7AART|8RCR|9aDMG|aBPWR
18	23511 33142	   	189.08	DCR|3VULN|1AART|1DMG|2FLTHEA|2DUR	17FLTHEA|27DUR|38RMIN|467VULN|5AART|7BPWR|9RCR|aDMG
19	23611 33411	 * 	188.78	DCR|3VULN|1AART|2FLTHEA|3DUR|2ASPD	17FLTHEA|29aDUR|37ASPD|467VULN|5AART|7BPWR|8RCR
20	26211 33411	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9DUR|aRCVC
21	26211 33412	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9DUR|aMLV
22	26211 33413	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9DUR|aLHND
23	26211 33435	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9BELT|aDUR
24	26211 33436	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1ASPD	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9BELT|aASPD
25	26211 33441	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9RCVC|aDUR
26	26311 33411	   	188.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9DUR|aRCVC
