0	Index      	 *	Score 	Summary	Detail	
1	31332 26146	 * 	190.37	DCR|4VULN|2DMG|1AART	19LHND|2589VULN|3LIT|4LWND|69DMG|7RCR|9BPWR|aAART
2	64323 13332	 * 	185.88	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	19ASPD|29FEWX|3VULN|4RCR|5AART|67DUR|89DMG|9BPWR|aCDMG
3	11322 42436	 * 	184.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37aDMG|4RCR|5CDMG|6ERES|8AART|9ZMB
4	41364 23133	 * 	182.91	DCR|3DMG|2VULN|1AART|1ASPD	16DUST|29VULN|3LIT|456DMG|6BPWR|7RCR|8ASPD|aAART
5	63513 13225	 * 	182.66	DCR|3VULN|2DMG|2ASPD|1CDMG	1aASPD|259LWND|3CDMG|48aVULN|6RCR|7aDMG|aBPWR
6	63362 13133	 * 	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34aVULN|5CDMG|6RCR|7DMG|8FEWX|9AART
7	31332 26141	 * 	179.99	DCR|5VULN|2DMG	19LHND|2589aVULN|3LIT|4LWND|69DMG|7RCR|9BPWR
8	64323 41311	 * 	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|27FEWX|369VULN|4RCR|5AART|8ZMB|aDMG
9	41332 26141	   	179.79	DCR|5VULN|2DMG	19DUST|2589aVULN|3LIT|4LWND|69DMG|7RCR|9BPWR
10	63362 13413	   	179.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9ZMB|aRCVC
11	64323 13334	 * 	178.54	ACR|2DMG|1AART|1VULN|3ASPD|2DUR	19aASPD|29FEWX|3VULN|4RCR|5AART|67DUR|89DMG|9BPWR
12	63362 13411	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9ZMB|aBEXP
13	63362 13412	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9ZMB|aLHND
14	63362 13432	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9RPLT|aZMB
15	11322 63535	   	177.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8DUR|9AART|aZMB
16	63362 13132	 * 	177.86	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8FEWX|9aAART
17	64323 33325	 * 	177.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|2FEWX|3aVULN|4RCR|5AART|6LWND|7DUR|89DMG
18	63362 13235	   	177.46	DCR|3VULN|2DMG|1CDMG|1ASPD	1ASPD|2LWND|348VULN|5CDMG|6RCR|7aDMG|9RCVC
