0	Index      	 *	Score 	Summary	Detail	
1	46623 12313	 * 	199.66	DCR|3DMG|2VULN|1AART|2ZMB|1ASPD	1NUKE|25ZMB|3AART|457DMG|5BPWR|6ASPD|8RCR|9aVULN
2	11142 12225	 * 	198.21	ACR|3VULN|1AART|3ASPD|1DMG|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aDMG
3	11142 12325	   	198.21	ACR|3VULN|1AART|3ASPD|1DMG|3DUR	179DUR|28BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|aDMG
4	11142 12525	   	198.21	ACR|3VULN|1AART|3ASPD|1DMG|3DUR	179DUR|2BEXP|379VULN|4RCR|5AART|679ASPD|79BPWR|8RCVC|aDMG
5	14142 12225	   	198.21	ACR|3VULN|1AART|3ASPD|1DMG|3DUR	179DUR|2FEWX|379VULN|4RCR|5AART|679ASPD|79BPWR|8DMSP|aDMG
6	32632 41135	 * 	194.15	DCR|2AART|2VULN|2DMG|1CDMG|1DUR	12VULN|34AART|5DUST|6DUR|7CDMG|8RCR|9aDMG
7	33363 61223	 * 	192.61	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15aVULN|2LIT|3AART|4DUR|6RCR|7DMG|8ASPD|9CDMG
8	11142 12223	 * 	192.35	ACR|4VULN|1AART|3ASPD|3DUR	179DUR|2aBEXP|379aVULN|4RCR|5AART|679ASPD|79aBPWR|8DMSP
9	11142 12323	   	192.35	ACR|4VULN|1AART|3ASPD|3DUR	179DUR|28aBEXP|379aVULN|4RCR|5AART|679ASPD|79aBPWR
10	11142 12523	   	192.35	ACR|4VULN|1AART|3ASPD|3DUR	179DUR|2aBEXP|379aVULN|4RCR|5AART|679ASPD|79aBPWR|8RCVC
11	14142 12223	   	192.35	ACR|4VULN|1AART|3ASPD|3DUR	179DUR|2aFEWX|379aVULN|4RCR|5AART|679ASPD|79aBPWR|8DMSP
12	32632 41132	 * 	192.22	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	12aVULN|34AART|5DUST|6DUR|7CDMG|8RCR|9DMG
13	36315 42132	   	191.72	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	17aVULN|2LWND|3CDMG|45AART|6DUR|8RCR|9DMG
14	62315 42132	   	191.72	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1LWND|27aVULN|3CDMG|45AART|6DUR|8RCR|9DMG
15	26315 42132	   	191.62	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1LEGI|27aVULN|3CDMG|45AART|6DUR|8RCR|9DMG
16	23522 22343	 * 	190.88	DCR|3VULN|3DMG|1AART|1SELL	1LEGI|26aDMG|3BELT|4SELL|59aVULN|7AART|8RCR|aBPWR
17	32442 22512	 * 	188.15	DCR|4VULN|2DMG|1CDMG|2DUR	1278VULN|35DMG|45DUR|5BPWR|6LHND|9RCR|aCDMG
18	32646 32132	 * 	188.03	DCR|4VULN|1AART|1DMG|1CDMG	127aVULN|3AART|4FEWX|5CDMG|6LWND|8RCR|9DMG
19	32646 22132	   	187.93	DCR|4VULN|1AART|1DMG|1CDMG	127aVULN|3AART|4FEWX|5CDMG|6DUST|8RCR|9DMG
20	14142 12353	   	187.88	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2FEWX|37aVULN|4RCR|5AART|67ASPD|7BPWR|8BEXP|9DMG
21	32632 41131	   	187.57	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	12VULN|34AART|5DUST|6DUR|7CDMG|8RCR|9DMG|aZMB
22	32632 21135	   	187.21	DCR|2AART|2VULN|2DMG|1CDMG	12VULN|34AART|5DUST|6FEWX|7CDMG|8RCR|9aDMG
23	32632 31135	   	187.21	DCR|2AART|2VULN|2DMG|1CDMG	12VULN|34AART|5DUST|6LWND|7CDMG|8RCR|9aDMG
24	36315 42131	   	187.07	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	17VULN|2LWND|3CDMG|45AART|6DUR|8RCR|9DMG|aZMB
25	62315 42131	   	187.07	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|27VULN|3CDMG|45AART|6DUR|8RCR|9DMG|aZMB
26	26315 42131	   	186.97	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1LEGI|27VULN|3CDMG|45AART|6DUR|8RCR|9DMG|aZMB
27	36315 22135	   	186.61	DCR|2AART|2VULN|2DMG|1CDMG	17VULN|2LWND|3CDMG|45AART|6DUST|8RCR|9aDMG
28	62315 22135	   	186.61	DCR|2AART|2VULN|2DMG|1CDMG	1LWND|27VULN|3CDMG|45AART|6DUST|8RCR|9aDMG
29	26315 22135	   	186.51	DCR|2AART|2VULN|2DMG|1CDMG	1LEGI|27VULN|3CDMG|45AART|6DUST|8RCR|9aDMG
30	32164 43121	 * 	186.17	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	128VULN|3ASPD|48DMG|5LIT|6ZMB|78CDMG|8BPWR|9RCR|aLHND
31	32164 43122	   	186.17	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	128VULN|3ASPD|48DMG|5LIT|6ZMB|78CDMG|8BPWR|9RCR|aLWND
32	32164 43123	   	186.17	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	128VULN|3ASPD|48DMG|5LIT|6ZMB|78CDMG|8BPWR|9RCR|aFEWX
33	33313 61244	   	186.12	DCR|4VULN|1AART|1DMG|1ASPD	159aVULN|2LIT|3AART|4BEXP|6RCR|7DMG|8ASPD
34	33313 61223	   	185.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	15aVULN|2LIT|3AART|4BEXP|6RCR|7DMG|8ASPD|9CDMG
35	33363 61523	   	185.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15aVULN|2LIT|3AART|4DUR|6RCR|7DMG|8RMIN|9CDMG
36	33363 61423	   	185.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15aVULN|2LIT|3AART|4DUR|6RCR|7DMG|8ERES|9CDMG
37	32442 22511	   	185.50	DCR|4VULN|2DMG|2DUR|1ZMB	1278VULN|35DMG|45DUR|5BPWR|6LHND|9RCR|aZMB
38	32411 31542	 * 	185.41	DCR|5VULN|1AART|1DMG	12589VULN|3DMG|4FEWX|6LIT|7RCR|aAART
39	32632 21132	   	185.28	DCR|3VULN|2AART|1DMG|1CDMG	12aVULN|34AART|5DUST|6FEWX|7CDMG|8RCR|9DMG
40	32632 31132	   	185.28	DCR|3VULN|2AART|1DMG|1CDMG	12aVULN|34AART|5DUST|6LWND|7CDMG|8RCR|9DMG
41	12321 25432	   	185.27	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3CDMG|4CGEN|6ZMB|7aAART|8RCR|9DMG
42	12431 25432	   	185.27	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3CGEN|4CDMG|6ZMB|7aAART|8RCR|9DMG
43	35331 25432	   	185.27	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2MLV|3DUR|4CDMG|6ZMB|7aAART|8RCR|9DMG
44	12231 25432	   	185.17	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3TLV|4CDMG|6ZMB|7aAART|8RCR|9DMG
45	32646 32131	   	184.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	127VULN|3AART|4FEWX|5CDMG|6LWND|8RCR|9DMG|aZMB
46	23364 13111	 * 	184.87	DCR|3VULN|3DMG|3DUR	1LEGI|289DMG|389DUR|489VULN|5RMIN|6BELT|7RCR|89BPWR|aRCVC
47	23364 13112	   	184.87	DCR|3VULN|3DMG|3DUR	1LEGI|289DMG|389DUR|489VULN|5RMIN|6BELT|7RCR|89BPWR|aLHND
48	23364 13113	   	184.87	DCR|3VULN|3DMG|3DUR	1LEGI|289DMG|389DUR|489VULN|5RMIN|6BELT|7RCR|89BPWR|aRPLT
49	23364 13115	   	184.87	DCR|3VULN|3DMG|3DUR	1LEGI|289DMG|389DUR|489VULN|5RMIN|6BELT|7RCR|89BPWR|aDMSP
50	23364 13116	   	184.87	DCR|3VULN|3DMG|3DUR	1LEGI|289DMG|389DUR|489VULN|5RMIN|6BELT|7RCR|89BPWR|aMGNSTR
51	32646 22131	   	184.83	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	127VULN|3AART|4FEWX|5CDMG|6DUST|8RCR|9DMG|aZMB
52	36315 15132	   	184.78	DCR|3VULN|2AART|1DMG|1CDMG	16aVULN|2LWND|3CDMG|45AART|7FEWX|8RCR|9DMG
53	62315 15132	   	184.78	DCR|3VULN|2AART|1DMG|1CDMG	1LWND|26aVULN|3CDMG|45AART|7FEWX|8RCR|9DMG
54	26315 15132	   	184.68	DCR|3VULN|2AART|1DMG|1CDMG	1LEGI|26aVULN|3CDMG|45AART|7FEWX|8RCR|9DMG
55	26315 32132	   	184.68	DCR|3VULN|2AART|1DMG|1CDMG	1LEGI|27aVULN|3CDMG|45AART|6LWND|8RCR|9DMG
56	36315 22132	   	184.68	DCR|3VULN|2AART|1DMG|1CDMG	17aVULN|2LWND|3CDMG|45AART|6DUST|8RCR|9DMG
57	62315 22132	   	184.68	DCR|3VULN|2AART|1DMG|1CDMG	1LWND|27aVULN|3CDMG|45AART|6DUST|8RCR|9DMG
58	26315 22132	   	184.58	DCR|3VULN|2AART|1DMG|1CDMG	1LEGI|27aVULN|3CDMG|45AART|6DUST|8RCR|9DMG
59	31125 45431	 * 	184.30	DCR|4VULN|1DMG|2CDMG|2ZMB	1389VULN|2BEXP|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR|aDMG
60	36125 45431	   	184.30	DCR|4VULN|1DMG|2CDMG|2ZMB	1389VULN|2LWND|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR|aDMG
61	32225 45431	   	184.20	DCR|4VULN|1DMG|2CDMG|2ZMB	1289VULN|3DUST|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR|aDMG
62	26125 45431	   	184.20	DCR|4VULN|1DMG|2CDMG|2ZMB	1LEGI|2389VULN|4MBVNT|58ZMB|68CDMG|7RCR|8BPWR|aDMG
63	33363 66223	   	183.55	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	15aVULN|2LIT|3AART|4DUR|6RCR|7ZMB|8ASPD|9CDMG
64	12152 22442	 * 	183.54	DCR|5VULN|1AART|2ASPD|1DUR	1DUR|23569VULN|45ASPD|5BPWR|7LIT|8RCR|aAART
65	11142 11356	 * 	183.20	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|2BEXP|3aVULN|4RCR|5AART|6ASPD|7LHND|8aDMG|9BELT|aBPWR
66	32441 22612	   	182.75	DCR|4VULN|2DMG|1CDMG|1DUR	1257VULN|38DMG|4DUR|6LHND|9RCR|aCDMG
67	33151 12251	 * 	182.44	ACR|3VULN|3DMG|1AART|1CDMG|2MSE	167VULN|2LIT|37MSE|4RCR|567DMG|67BPWR|8CDMG|9RPLT|aAART
68	33151 12263	 * 	182.44	ACR|3VULN|3DMG|1AART|1CDMG|2MSE	167VULN|29LIT|37MSE|4RCR|567DMG|67BPWR|8CDMG|aAART
69	31542 12225	   	182.16	ACR|3VULN|1AART|3ASPD|1DMG	179VULN|2BEXP|379FEWX|4RCR|5AART|679ASPD|79BPWR|8DMSP|aDMG
