0	Index      	 *	Score 	Summary	Detail	
1	14442 23332	 * 	175.53	DCR|3AART|2VULN|2DMG	12CGEN|356AART|4aDMG|78VULN|9RCR
2	56331 32125	 * 	172.42	DCR|3DMG|2VULN|1AART|1SELL	19FEWX|2DMSP|369DMG|4AART|59VULN|7SELL|8RMIN|9BPWR|aRCR
3	23651 23363	 * 	171.75	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2NUKE|36aVULN|4ERES|5RCR|7AART|8DMG|9CDMG
4	42123 63133	 * 	171.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|68VULN|7RCR|9DMG|aCDMG
5	42323 63133	   	171.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|68VULN|7RCR|9DMG|aCDMG
6	23651 23353	 * 	171.48	ACR|2VULN|2DMG|2AART	1RCVC|2NUKE|36VULN|4ERES|5RCR|79AART|8aDMG
7	16621 33431	   	170.04	ACR|3VULN|1AART|1DMG|1ASPD	1CGEN|24FEWX|3RCR|568VULN|7AART|9ASPD|aDMG
8	13545 43324	   	169.56	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1CGEN|2SELL|39aVULN|4MBVNT|5RCR|6AART|7DMG|8ZMB
9	21351 33336	 * 	169.20	ACR|3DMG|1AART|1VULN|1ZMB	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|7AART|9VULN|aZMB
10	45322 12523	   	167.42	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7CGEN|8DMG|9VULN|aCDMG
11	45322 15213	   	167.42	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	14DUR|2BASICY|3ZMB|5AART|6RCR|7MLV|8VULN|9DMG|aCDMG
12	42123 63161	 * 	167.20	DCR|3VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LHND|5AART|68aVULN|7RCR|9CDMG
13	42323 63161	   	167.20	DCR|3VULN|1AART|1CDMG|2DUR	14DUR|2DUST|3LWND|5AART|68aVULN|7RCR|9CDMG
14	22351 41432	 * 	167.03	ACR|3VULN|2DMG|3DUR	1RCVC|279DUR|39DMG|4ERES|5RCR|6LIT|89aVULN|9BPWR
15	14442 23311	   	166.55	DCR|3AART|2VULN|1DMG|1ZMB	12CGEN|356AART|4DMG|78VULN|9ZMB|aRCR
16	22133 63133	   	166.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DUR|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aCDMG
17	46133 63133	   	166.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMSP|3LHND|4BEXP|5AART|68VULN|7RCR|9DMG|aCDMG
18	22351 33321	   	165.14	ACR|3DMG|1AART|1VULN|1DUR	1RCVC|2DUR|36aDMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DMSP
19	46351 33321	   	165.14	ACR|3DMG|1AART|1VULN|1DUR	1DUR|29DMSP|36aDMG|46ERES|5RCR|6BPWR|7AART|8VULN
20	45522 12323	   	163.36	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	14DUR|2BASICY|3DMG|5AART|6RCR|7CGEN|8ASPD|9VULN|aCDMG
21	22343 46223	 * 	163.31	DCR|3DMG|3ASPD|1CDMG|2DUR|1SELL	1RCVC|28DUR|389DMG|478ASPD|5SELL|6RCR|8BPWR|aCDMG
22	21351 33315	 * 	163.23	ACR|3DMG|2AART|1CDMG	1RCVC|2BEXP|368DMG|46ERES|5RCR|6BPWR|79AART|aCDMG
23	22351 33323	 * 	163.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|2DUR|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|9DMSP|aCDMG
24	46351 33323	   	163.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|29DMSP|36DMG|46ERES|5RCR|6BPWR|7AART|8VULN|aCDMG
25	16621 33423	   	163.10	ACR|3VULN|1AART|1DMG	1CGEN|24FEWX|3RCR|568VULN|7AART|9BEXP|aDMG
26	16621 33411	   	163.00	ACR|3VULN|1AART|1DMG	1CGEN|24FEWX|3RCR|568VULN|7AART|9ERES|aDMG
27	22351 41433	   	162.38	ACR|2VULN|2DMG|3DUR|1ZMB	1RCVC|279DUR|39DMG|4ERES|5RCR|6LIT|89VULN|9BPWR|aZMB
28	26114 61321	 * 	162.33	ACR|2VULN|2DMG|2CDMG|1DUR	1RCVC|2RPLT|39CDMG|49LWND|5RCR|6aVULN|7DUR|89DMG|9BPWR
29	26124 61321	   	162.33	ACR|2VULN|2DMG|2CDMG|1DUR	1RCVC|2RPLT|39CDMG|49FEWX|5RCR|6aVULN|7DUR|89DMG|9BPWR
30	26134 61321	   	162.33	ACR|2VULN|2DMG|2CDMG|1DUR	1RCVC|2RPLT|39CDMG|49BEXP|5RCR|6aVULN|7DUR|89DMG|9BPWR
