0	Index      	 *	Score 	Summary	Detail	
1	63132 62133	 * 	211.78	DCR|3VULN|3DMG|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67aVULN|7BPWR|9RCR
2	65512 31332	 * 	209.28	DCR|3VULN|3DMG|1AART|2ZMB	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7MLV|89ZMB|aAART
3	65512 33332	   	209.18	DCR|3VULN|3DMG|1AART|2ZMB	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7TLV|89ZMB|aAART
4	65511 31332	   	207.97	DCR|3VULN|3DMG|1AART|2ASPD	149DMG|249VULN|3BELT|49BPWR|5LWND|6RCR|7MLV|89ASPD|aAART
5	65512 31232	   	207.97	DCR|3VULN|3DMG|1AART|2ASPD	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7MLV|89ASPD|aAART
6	65512 33232	   	207.87	DCR|3VULN|3DMG|1AART|2ASPD	149DMG|249VULN|3BELT|49BPWR|5BEXP|6RCR|7TLV|89ASPD|aAART
7	63215 33611	   	204.55	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	179DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8RCR|aDMSP
8	63215 33612	   	204.55	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	179DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8RCR|aMLV
9	63215 33613	   	204.55	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	179DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8RCR|aFEWX
10	63135 12632	   	203.80	DCR|3DMG|2VULN|1AART|1CDMG|1DUR|1ASPD	147DMG|2AART|3ASPD|57CGEN|67VULN|7BPWR|8DUR|9RCR|aCDMG
11	63215 33631	   	199.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8RCR|9ZMB|aRPLT
12	63215 33633	   	199.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8RCR|9ZMB|aBEXP
13	63215 33335	   	197.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	17DMG|2AART|37VULN|4LHND|5CDMG|67DUR|7BPWR|8CGEN|9RCR|aZMB
14	63135 12532	   	196.76	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	147DMG|2AART|3ASPD|57CGEN|67VULN|7BPWR|8DUST|9RCR|aCDMG
15	63135 12631	   	196.76	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	147DMG|2AART|3aASPD|57CGEN|67VULN|7BPWR|8DUR|9RCR
16	63235 22352	   	196.76	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	14DMG|2AART|345VULN|4BPWR|6CDMG|7CGEN|8RMIN|9RCR|aDUR
17	63135 12234	   	196.46	DCR|3VULN|3DMG|1AART|1ASPD	147DMG|2AART|3ASPD|57CGEN|678VULN|7BPWR|9FEWX|aRCR
18	63132 62131	   	196.13	DCR|3DMG|2VULN|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67VULN|7BPWR|9RCR|aRPLT
19	63132 62132	   	196.13	DCR|3DMG|2VULN|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67VULN|7BPWR|9RCR|aFEWX
20	63132 62134	   	196.13	DCR|3DMG|2VULN|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67VULN|7BPWR|9RCR|aBELT
21	63132 62135	   	196.13	DCR|3DMG|2VULN|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67VULN|7BPWR|9RCR|aLWND
22	63132 62136	   	196.03	DCR|3DMG|2VULN|1AART|3ASPD	147DMG|2AART|378ASPD|5RCVC|67VULN|7BPWR|9RCR|aDUST
23	63235 13251	 * 	194.81	DCR|4VULN|2DMG|1AART|1DUR	14DMG|2AART|3456VULN|4BPWR|7DUR|8LHND|9FEWX|aRCR
24	63211 23234	   	194.31	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	17DMG|2AART|367VULN|467LHND|5RPLT|67BPWR|8DUR|9RCR|aZMB
25	63211 33234	   	194.21	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	17DMG|2AART|367VULN|47LHND|5RPLT|7BPWR|8DUR|9RCR|aZMB
26	63232 23244	 * 	193.73	DCR|3DMG|2VULN|1AART|2CDMG	148DMG|2AART|34VULN|4BPWR|59RCVC|67CDMG|aRCR
27	65222 11423	 * 	193.22	DCR|3VULN|3DMG|2CDMG|1DUR	15aDMG|23aVULN|4DMSP|6DUR|7LIT|8RCR|9aCDMG|aBPWR
28	63215 23611	   	192.32	DCR|3DMG|2VULN|1AART|1CDMG	179DMG|2AART|37VULN|4LHND|5CDMG|67FEWX|7BPWR|8RCR|aDMSP
29	63215 23612	   	192.32	DCR|3DMG|2VULN|1AART|1CDMG	179DMG|2AART|37VULN|4LHND|5CDMG|67FEWX|7BPWR|8RCR|aMLV
30	63215 23613	   	192.32	DCR|3DMG|2VULN|1AART|1CDMG	179DMG|2AART|37VULN|4LHND|5CDMG|67aFEWX|7BPWR|8RCR
31	63225 23611	   	192.22	DCR|3DMG|2VULN|1AART|1CDMG	179DMG|2AART|37VULN|4BEXP|5CDMG|67FEWX|7BPWR|8RCR|aLEGI
32	63225 23613	   	192.22	DCR|3DMG|2VULN|1AART|1CDMG	179DMG|2AART|37VULN|4BEXP|5CDMG|67FEWX|7BPWR|8RCR|aDUST
