0	Index      	 *	Score 	Summary	Detail	
1	25341 22321	 * 	196.74	ACR|3DMG|2VULN|3CDMG|2ZMB	148CDMG|29VULN|3RCR|5BELT|68ZMB|78aDMG|8BPWR
2	25341 22323	 * 	196.74	ACR|3VULN|2DMG|3CDMG|2ZMB	148CDMG|29aVULN|3RCR|5BELT|68ZMB|78DMG|8BPWR
3	25361 53132	 * 	196.57	ACR|5VULN|3CDMG|1AART	18aCDMG|2789aVULN|3RCR|4MBVNT|58aERES|6AART|8aBPWR
4	37711 34334	 * 	192.77	ACR|3DMG|1AART|3ASPD|1VULN|1ZMB	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aZMB
5	37718 41442	 * 	191.33	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1MBVNT|2LEGI|3RCR|49DMG|5LHND|69VULN|79CDMG|8AART|9BPWR|aDUR
6	21651 22331	 * 	191.33	DCR|3VULN|2DMG|1AART|2CDMG	18CDMG|2BELT|3DUST|468VULN|5RMIN|78DMG|8BPWR|9RCR|aAART
7	32463 36474	   	189.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|249BEXP|3RCR|49BPWR|5ZMB|69VULN|7AART|89DMG|aCDMG
8	33463 36474	   	189.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|249FEWX|3RCR|49BPWR|5ZMB|69VULN|7AART|89DMG|aCDMG
9	37711 33428	 * 	188.40	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG	1MBVNT|2LEGI|3RCR|468DMG|56ASPD|6BPWR|7CDMG|9VULN|aAART
10	25341 22324	   	188.03	ACR|2VULN|2DMG|3CDMG|2ZMB|1DUR	148CDMG|29VULN|3RCR|5BELT|68ZMB|78DMG|8BPWR|aDUR
11	37245 41442	   	186.53	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1MBVNT|2LEGI|39DMG|4LWND|5RCR|69VULN|79CDMG|8AART|9BPWR|aDUR
12	64332 13613	 * 	186.43	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|279VULN|3CDMG|4RCR|5ASPD|6CGEN|8DMG|aAART
13	62313 26131	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4aDMG|5AART|6RCR|78VULN|9RMIN
14	64332 23613	   	186.33	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|279VULN|3CDMG|4RCR|5ASPD|6TLV|8DMG|aAART
15	25321 41132	   	185.94	ACR|4VULN|3CDMG|1AART	18aCDMG|289aVULN|3RCR|4LEGI|58aERES|6AART|7RCVC|8aBPWR
16	32255 11721	 * 	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	1MBVNT|28BEXP|3DUR|489DMG|5RCR|6AART|78CDMG|8BPWR|aVULN
17	35561 31442	 * 	185.73	DCR|3DMG|2VULN|2FLTHEA|1DUR|1SELL	1MBVNT|2RCVC|38VULN|478DMG|58FLTHEA|6RCR|8BPWR|9SELL|aDUR
18	33451 36182	 * 	185.52	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|2FEWX|3RCR|46DMG|56ASPD|6BPWR|7AART|8DUR|9aVULN
19	38331 36225	 * 	185.49	DCR|2AART|2DMG|3ASPD|2CDMG|2ZMB	1MBVNT|269ASPD|36CDMG|45AART|69BPWR|79DMG|89ZMB|aRCR
20	44331 32331	   	185.12	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3CDMG|48BEXP|5BELT|6RMIN|78DMG|8BPWR|9RCR|aAART
21	41365 11443	   	185.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19VULN|2LEGI|3CDMG|4MBVNT|59DUST|6RCR|7AART|89DMG|9BPWR|aASPD
22	44323 32331	   	184.92	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3CDMG|4BELT|58DUST|6RMIN|78DMG|8BPWR|9RCR|aAART
23	25361 53134	   	184.54	ACR|4VULN|1AART|2CDMG|1DUR	18CDMG|2789VULN|3RCR|4MBVNT|58ERES|6AART|8BPWR|aDUR
24	62313 26112	 * 	184.53	DCR|3AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4DMG|59aAART|6RCR|78VULN
25	37718 41441	   	184.30	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|3RCR|49DMG|5LHND|69VULN|79CDMG|8AART|9BPWR|aDUST
26	37718 41443	   	184.30	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|3RCR|49DMG|5LHND|69VULN|79CDMG|8AART|9BPWR|aBASICY
27	37718 41444	   	184.30	ACR|2DMG|2VULN|1AART|2CDMG	1MBVNT|2LEGI|3RCR|49DMG|5LHND|69VULN|79CDMG|8AART|9BPWR|aERES
28	25361 53141	 * 	183.46	ACR|3VULN|1AART|1DMG|2CDMG	18CDMG|278VULN|3RCR|4MBVNT|58ERES|6AART|8BPWR|9DUST|aDMG
29	37711 34338	   	183.07	ACR|3DMG|1AART|3ASPD|1VULN	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aRCVC
30	37711 36142	 * 	182.49	ACR|3DMG|2VULN|3ASPD|1DUR	1MBVNT|2LEGI|3RCR|46aDMG|56aASPD|6aBPWR|7DUR|8VENICY|9aVULN
31	62313 26142	   	181.87	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4DMG|5aAART|6RCR|78VULN|9RCVC
32	25352 51133	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|278VULN|3RCR|4CANHEL|5DUR|6DMG|9FEWX|aAART
33	25364 42214	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|278VULN|3RCR|4MBVNT|5DUR|6RPLT|9DMG|aAART
34	37711 34331	   	181.76	ACR|3DMG|1AART|3ASPD|1VULN	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aFEWX
35	37711 34332	   	181.76	ACR|3DMG|1AART|3ASPD|1VULN	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aBEXP
36	37711 34333	   	181.76	ACR|3DMG|1AART|1VULN|3ASPD	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aMLV
37	37711 34335	   	181.66	ACR|3DMG|1AART|3ASPD|1VULN	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aERES
38	37711 34336	   	181.66	ACR|3DMG|1AART|3ASPD|1VULN	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8VULN|9AART|aDUST
39	25236 31233	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|27VULN|3FEWX|4RCR|59DMG|6AIRHEA|8DUR|aAART
40	25341 22322	   	181.09	ACR|2VULN|2DMG|3CDMG|2ZMB	148CDMG|29VULN|3RCR|5BELT|68ZMB|78DMG|8BPWR|aBEXP
41	33451 36812	   	181.04	ACR|3DMG|1AART|3ASPD|1ZMB|1DUR	1MBVNT|28FEWX|3RCR|468DMG|568ASPD|68BPWR|7AART|9DUR|aZMB
42	25341 22325	   	180.99	ACR|2VULN|2DMG|3CDMG|2ZMB	148CDMG|29VULN|3RCR|5BELT|68ZMB|78DMG|8BPWR|aDUST
43	25232 31234	   	180.81	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|27aVULN|3FEWX|4RCR|5ASPD|6aAIRHEA|8DUR|9aDMG|aBPWR
44	32456 36141	 * 	180.79	ACR|3VULN|2DMG|1AART	1MBVNT|259BEXP|3RCR|49DMG|69aVULN|7AART|8RPLT|9BPWR
45	32461 36141	   	180.79	ACR|3VULN|2DMG|1AART	1MBVNT|249BEXP|3RCR|49BPWR|59DMG|69aVULN|7AART|8RPLT
46	33461 36141	   	180.79	ACR|3VULN|2DMG|1AART	1MBVNT|249FEWX|3RCR|49BPWR|59DMG|69aVULN|7AART|8RPLT
47	33461 36481	   	180.59	ACR|3VULN|2DMG|1AART	1MBVNT|24FEWX|3RCR|4BPWR|58DMG|69aVULN|7AART
48	33461 36484	 * 	180.59	ACR|3DMG|2VULN|1AART	1MBVNT|24FEWX|3RCR|4BPWR|58aDMG|69VULN|7AART
49	32571 16134	 * 	180.52	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1MBVNT|2BEXP|3ZMB|459DMG|6RCR|7AART|8DUR|aVULN
50	62313 26111	   	180.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4DMG|59AART|6RCR|78VULN|aBELT
51	62313 26113	   	180.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4DMG|59AART|6RCR|78VULN|aRPLT
52	62313 26114	   	180.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2aCGEN|3CDMG|4DMG|59AART|6RCR|78VULN
53	62313 26152	   	180.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4DMG|5aAART|6RCR|78VULN|9DMSP
54	62313 26116	   	180.16	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|4DMG|59AART|6RCR|78VULN|aLSRHEA
55	25311 41251	 * 	179.88	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|29VULN|3RCR|4DUST|5ERES|68AART|7DUR|aDMG
56	62313 23116	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2CGEN|3CDMG|49DMG|5AART|6RCR|7BEXP|8VULN|aZMB
57	62313 25116	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2CGEN|3CDMG|49DMG|5AART|6RCR|7LHND|8VULN|aZMB
58	62313 22116	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2CGEN|3CDMG|49DMG|5AART|6RCR|7DUST|8VULN|aZMB
59	62313 26216	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2CGEN|3CDMG|49DMG|5AART|6RCR|7VULN|8DUST|aZMB
60	37711 34234	   	179.64	ACR|3DMG|1AART|3ASPD|1ZMB|1DUR	1MBVNT|2LEGI|3RCR|467DMG|567ASPD|67BPWR|8DUR|9AART|aZMB
61	37245 41445	   	179.60	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|39DMG|4LWND|5RCR|69VULN|79CDMG|8AART|9BPWR|aLHND
62	37245 41447	   	179.60	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|39DMG|4LWND|5RCR|69VULN|79CDMG|8AART|9BPWR|aRMIN
63	25361 53332	   	179.50	ACR|4VULN|1AART|2CDMG	1aCDMG|279aVULN|3RCR|4MBVNT|5aERES|6AART|8RCVC|aBPWR
64	37245 41441	   	179.50	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|39DMG|4LWND|5RCR|69VULN|79CDMG|8AART|9BPWR|aDUST
65	37245 41443	   	179.50	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|39DMG|4LWND|5RCR|69VULN|79CDMG|8AART|9BPWR|aBASICY
66	37245 41444	   	179.50	ACR|2DMG|2VULN|1AART|2CDMG	1MBVNT|2LEGI|39DMG|4LWND|5RCR|69VULN|79CDMG|8AART|9BPWR|aERES
67	64336 31133	   	179.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|278VULN|3CDMG|4RCR|5DMG|6AIRHEA|9FEWX|aAART
