0	Index      	 *	Score 	Summary	Detail	
1	43122 33134	 * 	203.96	DCR|2AART|2DMG|2VULN|1CDMG|1FLTHEA	19DMG|2aAART|34VULN|5FLTHEA|6CGEN|7RCR|8CDMG
2	43122 33621	 * 	203.86	DCR|5VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|3489aVULN|5FLTHEA|6CGEN|7RCR
3	43125 31224	 * 	203.22	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2AART|34aVULN|57BEXP|6ZMB|8RCR|9aASPD|aBPWR
4	43122 33651	 * 	202.48	DCR|4VULN|2AART|1DMG|1FLTHEA	1DMG|29AART|348aVULN|5FLTHEA|6CGEN|7RCR
5	33331 35263	 * 	202.35	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|69DMG|7aVULN|8RCR
6	43122 33626	   	202.03	DCR|4VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|2AART|3489VULN|5FLTHEA|6CGEN|7RCR|aZMB
7	43144 41374	 * 	201.75	DCR|3VULN|2AART|2DMG|1ASPD	18DMG|27AART|389VULN|4MBVNT|58CGEN|6RCR|8BPWR|aASPD
8	43144 41327	   	199.75	DCR|2AART|2DMG|2VULN|1CDMG|1ASPD	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9ASPD|aCDMG
9	43122 33133	 * 	198.83	DCR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	19DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8aCDMG
10	44124 13214	 * 	198.66	DCR|3VULN|3DMG|1AART|1DUR	135DMG|2MBVNT|459VULN|5BPWR|6DUR|7RCR|8FEWX|aAART
11	43122 12116	   	198.07	DCR|4VULN|1AART|1DMG|1FLTHEA|1ASPD	1DMG|2AART|3479VULN|5FLTHEA|6RCVC|8RCR|aASPD
12	44124 13461	 * 	195.05	DCR|3DMG|2VULN|2AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8CGEN|9aAART
13	31331 35263	   	195.04	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|69DMG|7aVULN|8RCR
14	32331 35263	   	195.04	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|69DMG|7aVULN|8RCR
15	44124 13161	   	194.95	DCR|3DMG|2VULN|2AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8ERES|9aAART
16	43144 41311	   	194.81	DCR|3VULN|2AART|2DMG	18DMG|27AART|38aVULN|4MBVNT|58CGEN|6RCR|8BPWR|9FEWX
17	43144 41371	   	194.81	DCR|3VULN|2AART|2DMG	18DMG|27AART|389VULN|4MBVNT|58CGEN|6RCR|8BPWR|aLHND
18	43144 41372	   	194.81	DCR|3VULN|2AART|2DMG	18DMG|27AART|389VULN|4MBVNT|58CGEN|6RCR|8BPWR|aDMSP
19	43144 41373	   	194.81	DCR|3VULN|2AART|2DMG	18DMG|27AART|389VULN|4MBVNT|58CGEN|6RCR|8BPWR|aFEWX
20	43144 43741	   	194.62	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	18DMG|2AART|3aVULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9ASPD
21	44124 13464	   	194.61	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8CGEN|9AART|aZMB
22	44124 13164	   	194.51	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	135DMG|2MBVNT|45VULN|5BPWR|6DUR|7RCR|8ERES|9AART|aZMB
23	43123 11662	 * 	193.52	DCR|3VULN|2DMG|1AART|2ZMB	1aDMG|2AART|34aVULN|5CGEN|6BELT|7BEXP|8RCR|9aZMB|aBPWR
24	13155 32136	 * 	193.16	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1ERES|2RCR|36DMG|46VULN|5RMIN|6BPWR|7DUR|8CDMG|9ASPD|aAART
25	43144 41314	   	192.81	DCR|2AART|2DMG|2VULN|1CDMG	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9FEWX|aCDMG
26	43122 33131	   	192.51	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	19DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8CDMG|aLWND
27	43122 33132	   	192.51	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	19DMG|2AART|34VULN|5FLTHEA|6aCGEN|7RCR|8CDMG
28	43122 33135	   	192.41	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	19DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8CDMG|aMBVNT
29	43122 33623	   	192.34	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|3489VULN|5FLTHEA|6CGEN|7RCR|aRCVC
30	43123 11642	   	192.22	DCR|3VULN|2DMG|1AART|2ASPD	1aDMG|2AART|34aVULN|5CGEN|6BELT|7BEXP|8RCR|9aASPD|aBPWR
