0	Index      	 *	Score 	Summary	Detail	
1	24116 41333	 * 	209.98	ACR|2AART|2DMG|2VULN|2FLTHEA|2DUR	13AART|29DUR|4RCR|59FLTHEA|6DUST|7aDMG|89VULN|9BPWR
2	24116 21313	   	198.27	ACR|2AART|2VULN|2DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7aDMG|9BEXP
3	24116 21343	   	198.27	ACR|2AART|2VULN|2DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7aDMG|9FEWX
4	24116 21333	   	198.17	ACR|2AART|2DMG|2VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7aDMG|9LEGI
5	21115 42511	 * 	198.13	ACR|4VULN|1AART|1DMG|1CDMG	1AART|26RCVC|3579VULN|4RCR|8CDMG|aDMG
6	24116 21413	 * 	196.34	ACR|3DMG|2AART|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78aDMG|9BEXP
7	24116 21433	   	196.24	ACR|3DMG|2AART|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78aDMG|9LEGI
8	21316 21366	   	195.30	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2RCVC|3LWND|4RCR|5FLTHEA|689VULN|7DMG|aCDMG
9	24116 21533	   	192.49	ACR|2AART|2DMG|1VULN|2FLTHEA|2DUR	13AART|29DUR|4RCR|59FLTHEA|6VULN|7aDMG|89LHND|9BPWR
10	24116 21633	   	192.49	ACR|2AART|2DMG|2FLTHEA|1VULN|2DUR	13AART|29DUR|4RCR|59FLTHEA|6VULN|7aDMG|89FEWX|9BPWR
11	24116 41331	   	192.39	ACR|2AART|2VULN|1DMG|2FLTHEA|2DUR	13AART|29DUR|4RCR|59FLTHEA|6DUST|7DMG|89VULN|9BPWR|aFEWX
12	24116 41332	   	192.39	ACR|2AART|2VULN|1DMG|2FLTHEA|2DUR	13AART|29DUR|4RCR|59FLTHEA|6DUST|7DMG|89VULN|9BPWR|aMLV
13	24116 42233	   	192.39	ACR|2AART|2VULN|1DMG|2FLTHEA|2DUR	13AART|29DUR|4RCR|59FLTHEA|6DUST|7MLV|89VULN|9BPWR|aDMG
14	24116 23313	   	191.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7ZMB|9BEXP|aDMG
15	24116 23343	   	191.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7ZMB|9FEWX|aDMG
16	24116 23423	   	191.68	ACR|2AART|2DMG|1VULN|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|7ZMB|8aDMG|9CGEN
17	24116 23432	   	191.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7ZMB|8DMG|aFEWX
18	24116 23433	   	191.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7ZMB|8DMG|aLIT
19	24116 32333	   	191.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|6ZMB|7LHND|89VULN|aDMG
20	25116 33333	   	191.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2FEWX|4RCR|5FLTHEA|6ZMB|7DUR|89VULN|aDMG
21	24116 23333	   	191.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7ZMB|9LEGI|aDMG
22	24116 43333	   	191.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB|1DUR	13AART|2DUR|4RCR|5FLTHEA|6DUST|7ZMB|89VULN|aDMG
23	25116 21333	   	191.23	ACR|2AART|2DMG|2VULN|1FLTHEA	13AART|2FEWX|4RCR|5FLTHEA|68VULN|7aDMG|9LEGI
24	21125 64313	 * 	191.22	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2RCVC|35VULN|47DUR|6RCR|8CDMG|9ZMB|aDMG
25	21115 43632	   	190.97	ACR|3VULN|1AART|1DMG|2ASPD|1DUR	1AART|26RCVC|358VULN|4RCR|78ASPD|8BPWR|9DMG|aDUR
26	21115 42512	 * 	190.89	ACR|5VULN|1AART|1CDMG	1AART|26RCVC|3579aVULN|4RCR|8CDMG
27	22152 66313	 * 	190.68	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	17AART|2CGEN|35VULN|45ZMB|5BPWR|6RCR|8CDMG|9RMIN|aDMG
28	22152 66323	   	190.58	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	17AART|2CGEN|35VULN|45ZMB|5BPWR|6RCR|8CDMG|9ERES|aDMG
29	21316 21353	   	190.53	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2RCVC|3LWND|4RCR|5FLTHEA|68VULN|7aDMG|9DUR
30	24112 41333	   	190.01	ACR|2AART|2VULN|2DMG|2DUR	13AART|29DUR|4RCR|59MGNSTR|6DUST|7aDMG|89VULN|9BPWR
31	21316 41333	   	190.00	ACR|2VULN|2DMG|1AART|2FLTHEA	1AART|2RCVC|39LWND|4RCR|59FLTHEA|6DUST|7aDMG|89VULN|9BPWR
32	25116 21433	   	189.30	ACR|3DMG|2AART|1VULN|1FLTHEA	13AART|2FEWX|4RCR|5FLTHEA|6VULN|78aDMG|9LEGI
33	21115 14313	   	189.24	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2RCVC|35VULN|4RCR|67DUR|8CDMG|9ZMB|aDMG
34	21125 15313	   	188.82	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2RCVC|35VULN|46DUR|7RCR|8CDMG|9ZMB|aDMG
35	21316 21453	   	188.59	ACR|3DMG|1AART|1VULN|1FLTHEA|1DUR	1AART|2RCVC|3LWND|4RCR|5FLTHEA|6VULN|78aDMG|9DUR
36	21115 26313	   	188.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RCVC|35VULN|4RCR|6BEXP|8CDMG|9ZMB|aDMG
37	21115 36313	   	188.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	17AART|2RCVC|35VULN|4RCR|6LHND|8CDMG|9ZMB|aDMG
38	21315 32543	   	188.32	ACR|2AART|2VULN|2DMG|1ASPD	16AART|2RCVC|3LWND|4RCR|57VULN|8aDMG|9ASPD
39	21115 42132	   	188.32	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|26RCVC|357VULN|4RCR|8ZMB|9DMG|aDUR
40	22131 16552	 * 	186.83	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2CGEN|378aVULN|4CDMG|5DMG|6RPLT|9RCR
41	24116 11333	   	186.53	ACR|2AART|2DMG|2VULN|2FLTHEA|2DUR|1MSE	13AART|29DUR|4RCR|59FLTHEA|6MSE|7aDMG|89VULN|9BPWR
42	21113 34462	 * 	186.39	ACR|3VULN|2AART|1DMG|1DUR	16AART|2RCVC|38aVULN|4RCR|5BEXP|7DUR|9DMG
43	25116 25333	   	186.18	ACR|2AART|2VULN|1DMG|1FLTHEA|2DUR	13AART|29FEWX|4RCR|5FLTHEA|69VULN|79DUR|8RMIN|9BPWR|aDMG
44	22152 63263	   	186.17	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1AART|2CGEN|35VULN|45ZMB|5BPWR|6RCR|7FEWX|8DUR|9CDMG|aDMG
45	22131 25415	 * 	186.11	DCR|2AART|2DMG|2VULN|1CDMG	17AART|2CGEN|3aVULN|4CDMG|56DMG|8LHND|9RCR
46	24112 21356	   	185.98	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	13AART|29DUR|4RCR|5MGNSTR|68VULN|7DMG|aCDMG
47	21114 12543	   	185.95	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2RCVC|369VULN|4RCR|5RPLT|7ASPD|8ZMB|aDMG
48	21125 63353	   	185.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2RCVC|35VULN|4DUR|6RCR|7FEWX|8CDMG|9ZMB|aDMG
49	24116 21351	   	185.88	ACR|2AART|2VULN|1DMG|1FLTHEA|2DUR	13AART|29DUR|4RCR|5FLTHEA|68VULN|7DMG|aDUST
50	24116 21352	   	185.88	ACR|2AART|2VULN|1DMG|1FLTHEA|2DUR	13AART|29DUR|4RCR|5FLTHEA|68VULN|7DMG|aTLV
51	24116 21353	   	185.88	ACR|2AART|2VULN|1DMG|1FLTHEA|2DUR	13AART|29DUR|4RCR|5FLTHEA|68VULN|7DMG|aAIRHEL
52	21112 41463	 * 	185.39	ACR|3VULN|2DMG|1AART	1AART|2RCVC|39aVULN|4RCR|5LSRREG|6DUST|78DMG
53	24112 23435	   	184.97	ACR|2AART|2VULN|1DMG|1ZMB|1DUR|1ASPD	13AART|2DUR|4RCR|5MGNSTR|69VULN|7ZMB|8DMG|aASPD
54	25115 53313	   	184.75	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	13AART|27FEWX|4RCR|56VULN|8CDMG|9ZMB|aDMG
55	25116 23432	   	184.75	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	13AART|2FEWX|4RCR|5FLTHEA|69VULN|7ZMB|8DMG|aBELT
56	25116 23433	   	184.75	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	13AART|2FEWX|4RCR|5FLTHEA|69VULN|7ZMB|8DMG|aMLV
57	25116 32333	   	184.75	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	13AART|2FEWX|4RCR|5FLTHEA|6ZMB|7LHND|89VULN|aDMG
58	25116 23333	   	184.65	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	13AART|2FEWX|4RCR|5FLTHEA|68VULN|7ZMB|9LEGI|aDMG
59	24112 21313	   	184.62	ACR|2AART|2VULN|2DMG|1DUR	13AART|2DUR|4RCR|5MGNSTR|68VULN|7aDMG|9BEXP
60	24112 21343	   	184.62	ACR|2AART|2VULN|2DMG|1DUR	13AART|2DUR|4RCR|5MGNSTR|68VULN|7aDMG|9FEWX
61	21125 61343	   	184.61	DCR|4VULN|1AART|1CDMG|1DUR	1AART|2RCVC|359aVULN|4DUR|6RCR|7LWND|8CDMG
62	24112 21333	   	184.52	ACR|2AART|2VULN|2DMG|1DUR	13AART|2DUR|4RCR|5MGNSTR|68VULN|7aDMG|9LEGI
63	21115 14342	 * 	184.05	ACR|3VULN|1AART|2CDMG|3DUR	1AART|2RCVC|35aVULN|4RCR|679DUR|8aCDMG|aBPWR
64	21115 43631	   	184.03	ACR|3VULN|1AART|1DMG|2ASPD	1AART|26RCVC|358VULN|4RCR|78ASPD|8BPWR|9DMG|aBEXP
65	21115 43633	   	184.03	ACR|3VULN|1AART|1DMG|2ASPD	1AART|26RCVC|358VULN|4RCR|78ASPD|8BPWR|9DMG|aRPLT
66	22632 21143	 * 	184.00	DCR|3DMG|1AART|2ZMB|1CDMG|1DUR|1ASPD	1AART|27CGEN|37aDMG|4CDMG|5ASPD|67ZMB|7BPWR|8RCR|9DUR
67	21111 54353	   	183.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2RCVC|36VULN|4RCR|5FEWX|7DUR|8CDMG|9ZMB|aDMG
68	21115 13353	   	183.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2RCVC|35VULN|4RCR|6DUR|7FEWX|8CDMG|9ZMB|aDMG
69	21316 23353	   	183.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCVC|3LWND|4RCR|5FLTHEA|68VULN|7ZMB|9DUR|aDMG
70	21316 33333	   	183.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCVC|3LWND|4RCR|5FLTHEA|6ZMB|7DUR|89VULN|aDMG
71	21115 43622	   	183.93	ACR|3VULN|1AART|1DMG|2ASPD	1AART|26RCVC|358VULN|4RCR|78ASPD|8BPWR|9DLOT|aDMG
72	21125 15342	 * 	183.63	DCR|3VULN|1AART|2CDMG|3DUR	1AART|2RCVC|35aVULN|469DUR|7RCR|8aCDMG|aBPWR
