0	Index      	 *	Score 	Summary	Detail	
1	63263 47334	 * 	208.74	ACR|4VULN|3DMG|1AART	1489VULN|29LWND|3RCR|5MBVNT|679DMG|9BPWR|aAART
2	63223 41334	 * 	198.57	ACR|5VULN|3DMG	1489aVULN|249LWND|3RCR|49aBPWR|5MBVNT|69aDMG|7RCVC
3	63263 48334	   	198.47	ACR|5VULN|3DMG	1489aVULN|279LWND|3RCR|5MBVNT|69aDMG|9aBPWR
4	63263 47332	   	198.37	ACR|5VULN|3DMG	1489aVULN|29LWND|3RCR|5MBVNT|679DMG|9BPWR
5	63223 42347	   	194.54	ACR|3VULN|3DMG|1AART	149VULN|24LWND|3RCR|49BPWR|5MBVNT|689DMG|79ERES|aAART
6	63263 42347	   	194.44	ACR|3VULN|3DMG|1AART	149VULN|2LWND|3RCR|5MBVNT|689DMG|79ERES|9BPWR|aAART
7	63223 47332	   	192.58	ACR|4VULN|3DMG|1DUR	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aDUR
8	24326 11531	 * 	192.19	ACR|3DMG|3ZMB|1AART|3ASPD	158ZMB|2AART|358ASPD|4RCR|58BPWR|6RCVC|789DMG|aLWND
9	24326 11532	   	192.09	ACR|3DMG|3ZMB|1AART|3ASPD	158ZMB|2AART|358ASPD|4RCR|58BPWR|6RCVC|789DMG|aNUKE
10	24326 11533	   	192.09	ACR|3DMG|3ZMB|1AART|3ASPD	158ZMB|2AART|358ASPD|4RCR|58BPWR|6RCVC|789DMG|aERES
11	61312 16334	   	189.53	ACR|3VULN|3DMG|2ASPD|1DUR	15aVULN|2aASPD|3DUR|4RCR|6FEWX|78aDMG|9MBVNT|aBPWR
12	61312 56334	   	189.53	ACR|3VULN|3DMG|2ASPD|1DUR	15aVULN|2aASPD|3DUR|4RCR|6LWND|78aDMG|9MBVNT|aBPWR
13	61612 36334	   	189.53	ACR|3VULN|3DMG|2ASPD|1DUR	15aVULN|2aASPD|3LWND|4RCR|6DUR|78aDMG|9MBVNT|aBPWR
14	23212 36661	 * 	189.49	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|2LHND|35aVULN|4RCR|6DUR|7DMG|89AART
15	61512 36334	   	189.43	ACR|3VULN|3DMG|2ASPD|1DUR	15aVULN|2aASPD|3DUST|4RCR|6DUR|78aDMG|9MBVNT|aBPWR
