0	Index      	 *	Score 	Summary	Detail	
1	54518 32433	 * 	217.43	DCR|4VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|347aVULN|5BELT|6RCR|8aDMG|9aCDMG|aBPWR
2	54448 47434	 * 	213.34	ACR|4VULN|3DMG|1AART	1MBVNT|2AART|3RCR|479DMG|57aERES|678aVULN|7aBPWR
3	54448 47433	   	212.89	ACR|3VULN|3DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|479DMG|57ERES|678VULN|7BPWR|aCDMG
4	54448 47424	   	211.34	ACR|4VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|47DMG|57ERES|678aVULN|7BPWR|9CDMG
5	54441 44365	 * 	208.09	ACR|2AART|2VULN|2DMG|2ZMB|1CDMG	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aCDMG
6	54441 44156	 * 	207.47	ACR|3VULN|2AART|2DMG|2DUR	1MBVNT|27AART|3RCR|4aDMG|5MLV|68aVULN|9aDUR|aBPWR
7	58424 25114	 * 	204.72	ACR|3DMG|1AART|1VULN|2CDMG|2ASPD|1ZMB	1MBVNT|257DMG|37ASPD|4RCR|67CDMG|7BPWR|8AART|9VULN|aZMB
8	54448 47421	   	204.18	ACR|3VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|47DMG|57ERES|678VULN|7BPWR|9CDMG|aDUR
9	54447 83333	 * 	203.75	ACR|3DMG|2VULN|1AART|2CDMG	1MBVNT|2AART|3RCR|46aDMG|5BELT|7DMSP|8aVULN|9aCDMG|aBPWR
10	54441 41366	 * 	203.51	ACR|3VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69aVULN|79CDMG|8SELL|9BPWR
11	32431 31116	 * 	203.49	ACR|3VULN|2DMG|1AART|2CDMG	1aCDMG|23aVULN|4DUR|5RCR|6AART|7ERES|8aDMG|9BELT|aBPWR
12	54548 32433	   	203.33	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|37aVULN|4DMSP|5BELT|6RCR|8aDMG|9aCDMG|aBPWR
13	54441 44367	   	201.37	ACR|2AART|2VULN|2DMG|2ZMB	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aDUR
14	53428 12253	   	199.36	DCR|4VULN|2DMG|2CDMG|2DUR	1MBVNT|29DUR|359aVULN|45CDMG|59BPWR|6LIT|7RCR|89DMG
15	54443 12546	   	199.24	ACR|3VULN|3DMG|1AART	1MBVNT|2AART|3RCR|47aDMG|5LWND|68aVULN|9aERES|aBPWR
16	54448 47432	   	199.24	ACR|3VULN|3DMG|1AART	1MBVNT|2AART|3RCR|479DMG|57ERES|678VULN|7BPWR|aLHND
17	54448 47431	   	199.14	ACR|3VULN|3DMG|1AART	1MBVNT|2AART|3RCR|479DMG|57ERES|678VULN|7BPWR|aDUST
18	34262 11632	   	198.90	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19CDMG|2AART|3RCR|48VULN|5aDMG|6ZMB|7ERES
