0	Index      	 *	Score 	Summary	Detail	
1	14134 23431	 * 	191.10	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	19ERES|28aVULN|3SELL|49DMG|5RCR|6AART|79ZMB|9BPWR
2	14134 23336	 * 	183.82	ACR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	19ERES|29VULN|3SELL|4aDMG|5RCR|6AART|7ZMB|89DUR|9BPWR
3	14134 23432	 * 	182.38	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD|1SELL	19ERES|28VULN|3SELL|49DMG|5RCR|6AART|79ZMB|9BPWR|aASPD
4	16352 12332	 * 	181.15	DCR|3VULN|2DMG|1CDMG|2DUR	1ERES|2aDMG|3LIT|4CDMG|59aVULN|6RCR|7SNIHEL|8aDUR|aBPWR
5	16221 42344	 * 	181.07	DCR|2VULN|2DMG|1AART|2ZMB	19ERES|29DMG|3DUST|4AART|5aVULN|6RCR|79ZMB|8MBVNT|9BPWR
6	31321 42436	 * 	180.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2TLV|3BEXP|4AART|59VULN|6RCR|7ZMB|8CDMG|aDMG
7	16321 41433	 * 	177.17	DCR|3VULN|2DMG|1AART	1ERES|26DMG|3LIT|4FEWX|56aVULN|6BPWR|7RCR|8AART|9NUKE
8	16221 42354	   	177.12	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|29DMG|3DUST|4AART|5aVULN|6RCR|7ZMB|8MBVNT
9	14513 32184	   	176.62	DCR|2VULN|2DMG|1AART|1ZMB	1aERES|2aVULN|3TLV|4ZMB|5AART|6RCR|7RPLT|8MBVNT|9aDMG|aBPWR
10	16221 21451	 * 	176.58	DCR|2VULN|2DMG|1AART|2CDMG	178ERES|28DMG|3DUST|4AART|59VULN|68CDMG|8BPWR|aRCR
11	23541 24211	 * 	176.20	DCR|4VULN|2DMG|1DUR	19DUST|2TLV|389aVULN|4LWND|5DUR|6RCR|79DMG|9BPWR
12	23561 24211	   	176.20	DCR|4VULN|2DMG|1DUR	19DUST|2TLV|389aVULN|4LHND|5DUR|6RCR|79DMG|9BPWR
13	14134 21421	 * 	176.14	ACR|3VULN|2DMG|1AART|1SELL	178ERES|28aVULN|3SELL|48DMG|5RCR|6AART|8BPWR|9BEXP
14	16321 41632	   	176.07	DCR|3VULN|2DMG|1AART	1ERES|26DMG|3LIT|4FEWX|569VULN|6BPWR|7RCR|8LHND|aAART
15	14134 21431	 * 	176.04	ACR|3VULN|2DMG|1AART|1SELL	178ERES|28aVULN|3SELL|48DMG|5RCR|6AART|8BPWR|9DUST
16	36321 12433	 * 	175.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3LHND|4aAART|59VULN|6BEXP|7RCR|8ZMB
17	16221 43316	 * 	175.63	DCR|3DMG|2AART|1VULN	17ERES|29aDMG|3DUST|48AART|5VULN|6RCR
18	14134 23231	 * 	175.44	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	19ERES|2aVULN|3SELL|49DMG|5RCR|6AART|79ZMB|8RCVC|9BPWR
19	14134 23433	 * 	175.44	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	19ERES|28VULN|3SELL|49DMG|5RCR|6AART|79ZMB|9BPWR|aRPLT
20	14134 23531	 * 	175.44	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	19ERES|2aVULN|3SELL|49DMG|5RCR|6AART|79ZMB|8DMSP|9BPWR
21	16221 42343	 * 	174.93	DCR|2AART|2DMG|1VULN|2ZMB	19ERES|29DMG|3DUST|4aAART|5VULN|6RCR|79ZMB|8MBVNT|9BPWR
22	14134 21413	 * 	174.14	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	178ERES|28VULN|3SELL|48DMG|5RCR|6AART|8BPWR|9RCVC|aCDMG
23	22264 31337	   	173.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3AART|4RCVC|59VULN|6RCR|7MBVNT|8CDMG|aDMG
24	36621 12611	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|5aVULN|6BEXP|7RCR|8LEGI|9CDMG
25	21621 42336	 * 	173.80	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	12DUST|3DUR|4AART|5aVULN|6RCR|7ZMB|8CDMG|9FLTHEA
26	51121 42336	   	173.80	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1DUR|23DUST|4AART|5aVULN|6RCR|7ZMB|8CDMG|9FLTHEA
27	14484 42422	   	173.43	DCR|3DMG|2AART|1VULN	19ERES|2VULN|3MBVNT|4aAART|59LHND|689DMG|7RCR|9BPWR
28	16221 42431	   	173.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3DUST|4AART|59VULN|6RCR|7ZMB|8CDMG|aCGEN
29	16221 42432	   	173.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3DUST|4AART|59VULN|6RCR|7ZMB|8CDMG|aDMSP
30	21321 42336	   	173.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12DUST|3BEXP|4AART|59VULN|6RCR|7ZMB|8CDMG|aDMG
31	61121 42336	   	173.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|23DUST|4AART|59VULN|6RCR|7ZMB|8CDMG|aDMG
32	11221 42336	   	173.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2TLV|3DUST|4AART|59VULN|6RCR|7ZMB|8CDMG|aDMG
33	14513 31337	   	172.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|29VULN|3TLV|4ZMB|5AART|6RCR|7MBVNT|8CDMG|aDMG
34	16321 41412	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|26DMG|3LIT|4FEWX|56VULN|6BPWR|7RCR|8AART|9LEGI|aZMB
35	16331 41422	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9FEWX|aZMB
36	16331 41432	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9LHND|aZMB
37	16331 41412	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9LEGI|aZMB
38	31421 42432	 * 	172.30	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|2TLV|3aAART|4LWND|59VULN|6RCR|7ZMB|8CDMG
39	31431 42432	   	172.30	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|2TLV|3aAART|4LHND|59VULN|6RCR|7ZMB|8CDMG
40	16331 41262	   	171.92	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8FEWX|9AART|aZMB
41	22264 36312	   	171.68	DCR|2AART|2DMG|1VULN|1ZMB	1DUST|2ZMB|38AART|4RCVC|5VULN|6RCR|7ERES|9aDMG
42	35213 12422	 * 	171.58	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	14ASPD|2FEWX|3AART|5RCVC|6ZMB|7RCR|8aDMG|9VULN
43	35215 12422	   	171.58	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	14ASPD|2FEWX|3AART|5DMSP|6ZMB|7RCR|8aDMG|9VULN
44	11421 26216	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2TLV|3AART|4LWND|58VULN|6CDMG|7RCR|9ZMB|aDMG
45	36621 26331	   	171.45	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6CDMG|7DUST|8RCR|aCGEN
46	36621 26332	   	171.45	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6CDMG|7DUST|8RCR|aRCVC
47	36621 26333	   	171.45	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6CDMG|7DUST|8RCR|aRPLT
48	16352 11353	 * 	171.42	DCR|2VULN|2AART|1DMG|1CDMG	1ERES|2DMG|3LIT|4CDMG|5aVULN|6RCR|7RPLT|89AART
49	14134 22216	 * 	171.39	ACR|2DMG|2VULN|1AART|1ZMB|1SELL	1ERES|28VULN|3SELL|4aDMG|5RCR|6AART|7LEGI|9ZMB
50	14134 22336	 * 	171.39	ACR|2DMG|2VULN|1AART|1ZMB|1SELL	1ERES|29VULN|3SELL|4aDMG|5RCR|6AART|7LEGI|8ZMB
51	14134 23136	 * 	171.39	ACR|2VULN|2DMG|1AART|1ZMB|1SELL	1ERES|29VULN|3SELL|4aDMG|5RCR|6AART|7ZMB|8DUST
52	36621 12431	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6BEXP|7RCR|8ZMB|aRCVC
53	36621 12432	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6BEXP|7RCR|8ZMB|aFEWX
54	36621 12433	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2DMG|3DUR|4AART|59VULN|6BEXP|7RCR|8ZMB|aDMSP
55	22134 34433	   	171.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	18DUST|2ZMB|3SELL|48DMG|5RMIN|68VULN|7RCR|8BPWR|9BEXP|aAART
56	16221 42143	   	171.08	DCR|2AART|2DMG|1VULN|1ZMB	1ERES|29DMG|3DUST|4aAART|5VULN|6RCR|7ZMB|8LHND
