0	Index      	 *	Score 	Summary	Detail	
1	21533 35125	 * 	212.67	DCR|3VULN|3DMG|1AART|3DUR	18aVULN|2AART|346DUR|589DMG|7RCR|8aBPWR
2	21145 35122	   	210.67	DCR|3DMG|2VULN|1AART|3DUR|1CDMG	18VULN|2AART|389DMG|456DUR|7RCR|8BPWR|aCDMG
3	21533 35122	   	210.67	DCR|3DMG|2VULN|1AART|3DUR|1CDMG	18VULN|2AART|346DUR|589DMG|7RCR|8BPWR|aCDMG
4	21142 14136	 * 	207.87	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	18aVULN|2AART|3aDMG|4DUR|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
5	21143 14136	   	207.87	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	18aVULN|2AART|3aDMG|4DUR|5FEWX|6aCDMG|7RCR|9NUKE|aBPWR
6	21453 24223	 * 	204.76	ACR|3VULN|1AART|3CDMG|1DMG|2ZMB	13aVULN|2AART|4RCR|5DMG|69aCDMG|7RPLT|8aZMB|aBPWR
7	21521 34136	 * 	204.75	DCR|3VULN|2AART|2DMG|2DUR	18aVULN|25AART|3aDUR|4RPLT|6RMIN|7RCR|9aDMG|aBPWR
8	21533 35126	   	203.96	DCR|3DMG|2VULN|1AART|3DUR|1ASPD	18VULN|2AART|346DUR|589DMG|7RCR|8BPWR|aASPD
9	21112 14136	   	200.93	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2AART|3aDMG|4BEXP|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
10	21112 14536	 * 	200.93	DCR|3DMG|2VULN|1AART|2CDMG	1aVULN|2AART|38aDMG|4BEXP|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
11	21113 14136	   	200.93	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2AART|3aDMG|4BEXP|5FEWX|6aCDMG|7RCR|9NUKE|aBPWR
12	21113 14536	   	200.93	DCR|3DMG|2VULN|1AART|2CDMG	1aVULN|2AART|38aDMG|4BEXP|5FEWX|6aCDMG|7RCR|9NUKE|aBPWR
13	21152 14136	   	200.93	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2AART|3aDMG|4FEWX|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
14	21132 14136	   	200.83	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2AART|3aDMG|4DUST|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
15	21132 14536	   	200.83	DCR|3DMG|2VULN|1AART|2CDMG	1aVULN|2AART|38aDMG|4DUST|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
16	21133 14136	   	200.83	DCR|3VULN|2DMG|1AART|2CDMG	18aVULN|2AART|3aDMG|4DUST|5FEWX|6aCDMG|7RCR|9NUKE|aBPWR
17	21133 14536	   	200.83	DCR|3DMG|2VULN|1AART|2CDMG	1aVULN|2AART|38aDMG|4DUST|5FEWX|6aCDMG|7RCR|9NUKE|aBPWR
18	21142 14236	   	197.51	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1aVULN|2AART|3aDMG|48DUR|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
19	21143 14236	   	197.51	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1aVULN|2AART|3aDMG|48DUR|5FEWX|6aCDMG|7RCR|9NUKE|aBPWR
20	21145 35121	   	197.02	DCR|3DMG|2VULN|1AART|3DUR	18VULN|2AART|389DMG|456DUR|7RCR|8BPWR|aRMIN
21	21145 35123	   	197.02	DCR|3DMG|2VULN|1AART|3DUR	18VULN|2AART|389DMG|456DUR|7RCR|8BPWR|aLWND
22	21533 35121	   	197.02	DCR|3DMG|2VULN|1AART|3DUR	18VULN|2AART|346DUR|589DMG|7RCR|8BPWR|aRMIN
23	21533 35123	   	197.02	DCR|3DMG|2VULN|1AART|3DUR	18VULN|2AART|346DUR|589DMG|7RCR|8BPWR|aLWND
24	21533 35124	   	197.02	DCR|3DMG|2VULN|1AART|3DUR	18VULN|2AART|346DUR|589DMG|7RCR|8BPWR|aBEXP
25	21533 35151	   	197.02	DCR|3VULN|2DMG|1AART|3DUR	189VULN|2AART|346DUR|58DMG|7RCR|8BPWR|aLIT
26	21533 35152	   	197.02	DCR|3VULN|2DMG|1AART|3DUR	189VULN|2AART|346DUR|58DMG|7RCR|8BPWR|aMLV
27	21533 35153	   	197.02	DCR|3VULN|2DMG|1AART|3DUR	189VULN|2AART|346DUR|58DMG|7RCR|8BPWR|aLWND
28	26328 14137	 * 	195.85	ACR|3VULN|2DMG|1AART|2CDMG	18aVULN|2LWND|3aCDMG|4MBVNT|5RCR|6aDMG|7AART|9NUKE|aBPWR
29	31131 22566	   	195.54	DCR|2AART|2VULN|2DMG|1CDMG|2DUR	19FEWX|24AART|39DMG|57DUR|6CDMG|89VULN|9BPWR|aRCR
30	21521 34236	 * 	192.91	DCR|2AART|2VULN|2DMG|3DUR	1aVULN|25AART|38aDUR|4RPLT|6RMIN|7RCR|9aDMG|aBPWR
31	26328 14437	 * 	191.64	ACR|2VULN|2DMG|2AART|2CDMG	1aVULN|2LWND|3aCDMG|4MBVNT|5RCR|6aDMG|78AART|9NUKE|aBPWR
32	21456 11322	 * 	191.55	ACR|4VULN|1AART|2FLTHEA|1CDMG	1389VULN|2AART|4RCR|58FLTHEA|68LHND|7RPLT|8BPWR|aCDMG
33	21453 21513	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	13VULN|2AART|4RCR|5aDMG|6CDMG|7LIT|89DUR
34	21453 22213	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	13VULN|2AART|4RCR|5aDMG|6CDMG|79DUR|8LIT
35	21453 31213	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	13VULN|2AART|4RCR|5aDMG|69DUR|7CDMG|8LIT
36	21456 21231	   	191.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	138VULN|2AART|4RCR|5FLTHEA|6RCVC|7BEXP|9DMG|aCDMG
37	21456 23231	   	191.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	138VULN|2AART|4RCR|5FLTHEA|6RCVC|7FEWX|9DMG|aCDMG
38	21112 14146	   	190.68	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	18aVULN|2AART|3DMG|4aBEXP|5LWND|6CDMG|7RCR|9aASPD|aBPWR
39	21113 14146	   	190.68	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	18aVULN|2AART|3DMG|4aBEXP|5FEWX|6CDMG|7RCR|9aASPD|aBPWR
40	21132 14146	   	190.48	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	18aVULN|2AART|3DMG|4aDUST|5LWND|6CDMG|7RCR|9aASPD|aBPWR
41	21133 14146	   	190.48	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	18aVULN|2AART|3DMG|4aDUST|5FEWX|6CDMG|7RCR|9aASPD|aBPWR
42	22353 24226	   	188.47	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD|1SELL	1aVULN|2RMIN|3ASPD|4AART|5aDMG|6aCDMG|7RPLT|8RCR|9SELL|aBPWR
43	21453 33531	   	188.23	ACR|3VULN|2DMG|1AART|1DUR	139VULN|2AART|4RCR|58DMG|6DUR|7LWND|aRPLT
44	21453 33532	   	188.23	ACR|3VULN|2DMG|1AART|1DUR	139VULN|2AART|4RCR|58DMG|6DUR|7LWND|aCGEN
45	21453 33533	   	188.23	ACR|3VULN|2DMG|1AART|1DUR	139VULN|2AART|4RCR|58DMG|6DUR|7LWND|aDMSP
46	21512 33113	   	188.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2AART|3DUR|4FEWX|5CDMG|6RCR|7LWND|89DMG
47	21512 34113	   	188.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2AART|3DUR|4FEWX|5CDMG|6RCR|7BEXP|89DMG
48	31422 31113	   	188.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2AART|3aVULN|4BEXP|5CDMG|6RCR|7DUR|89DMG
49	25122 13562	 * 	186.77	ACR|2VULN|1AART|3ASPD|1DMG|2CDMG	19VULN|2FEWX|3RCR|4NUKE|59CDMG|679ASPD|8AART|9BPWR|aDMG
50	26122 13562	   	186.77	ACR|2VULN|1AART|3ASPD|1DMG|2CDMG	19VULN|2LWND|3RCR|4NUKE|59CDMG|679ASPD|8AART|9BPWR|aDMG
51	21453 33521	   	186.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|58DMG|6DUR|7LWND|9CDMG|aFEWX
52	31163 22563	   	186.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2AART|37DMG|4RCR|5CDMG|6LHND|8aVULN|9DUR
53	21453 25112	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7FEWX|8TLV|aDUR
54	21453 41112	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6FEWX|7CDMG|8TLV|aDUR
55	21453 22111	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8TLV|aMLV
56	21453 22112	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8TLV|aRCVC
57	21453 22114	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8TLV|aLHND
58	21453 22115	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8TLV|aBELT
59	21453 22511	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8ERES|aMLV
60	21453 22512	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8ERES|aRCVC
61	21453 31111	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8TLV|aMLV
62	21453 31112	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8TLV|aRCVC
63	21453 31114	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8TLV|aLHND
64	21453 31115	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8TLV|aBELT
65	21453 31511	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8ERES|aMLV
66	21453 31512	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8ERES|aRCVC
67	21453 33523	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|58DMG|6DUR|7LWND|9CDMG|aERES
68	21453 22113	   	186.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8TLV|aDUST
69	21453 22513	   	186.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6CDMG|7DUR|8ERES|aDUST
70	21453 31113	   	186.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8TLV|aDUST
71	21453 31513	   	186.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2AART|4RCR|59DMG|6DUR|7CDMG|8ERES|aDUST
72	21453 33522	   	185.98	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	13VULN|2AART|4RCR|58DMG|6DUR|7LWND|9CDMG|aSELL
73	21113 14213	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2AART|39DMG|4BEXP|5FEWX|6CDMG|7RCR|8DUR
74	21152 14213	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2AART|39DMG|4FEWX|5LWND|6CDMG|7RCR|8DUR
75	31111 14113	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2AART|39DMG|4BEXP|5DUR|6CDMG|7RCR|8aVULN
76	31113 34113	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2AART|39DMG|4BEXP|5CDMG|6DUR|7RCR|8aVULN
77	31142 14113	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2AART|39DMG|4DUR|5LWND|6CDMG|7RCR|8aVULN
78	31432 14213	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2AART|3aVULN|49DMG|5LWND|6CDMG|7RCR|8DUR
79	55213 32412	   	185.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|23DMG|4CDMG|5AART|6ZMB|79VULN|8RCR|aLHND
80	55213 32413	   	185.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|23DMG|4CDMG|5AART|6ZMB|79VULN|8RCR|aBELT
81	55213 32411	   	185.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|23DMG|4CDMG|5AART|6ZMB|79VULN|8RCR|aTLV
82	21453 33225	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	13VULN|2aAART|4RCR|5DMG|68DUR|7LWND|9CDMG
83	21453 24222	   	185.05	ACR|2VULN|1AART|3CDMG|1DMG|1ZMB	13VULN|2AART|4RCR|5DMG|69aCDMG|7RPLT|8ZMB
84	25141 11513	   	184.92	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	15VULN|2FEWX|3RCR|4CDMG|6ASPD|7ERES|8AART|9aDMG
85	21453 36131	 * 	184.64	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|2AART|4RCR|5DMG|6DUR|8DUST|aRPLT
86	21453 36132	   	184.64	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|2AART|4RCR|5DMG|6DUR|8DUST|aCGEN
87	21453 36133	   	184.54	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|2AART|4RCR|5DMG|6DUR|8DUST|aLEGI
88	21451 31633	   	184.29	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	135VULN|2AART|4RCR|69MLV|7ASPD|8CDMG|aDMG
89	21456 21232	   	184.29	ACR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	138VULN|2AART|4RCR|5FLTHEA|6RCVC|7BEXP|9DMG|aASPD
90	21456 23232	   	184.29	ACR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	138VULN|2AART|4RCR|5FLTHEA|6RCVC|7FEWX|9DMG|aASPD
91	21453 36121	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2AART|4RCR|5DMG|6DUR|8DUST|9CDMG|aFEWX
92	21453 36123	   	184.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2AART|4RCR|5DMG|6DUR|8DUST|9CDMG|aERES
93	21453 23141	   	184.04	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	139VULN|2AART|4RCR|5DMG|6CDMG|7SELL|8RMIN|aDUR
94	31161 46231	   	184.02	ACR|2AART|2VULN|2DMG|1DUR	1FEWX|28AART|36DMG|4RCR|5DUR|79VULN|aRPLT
95	31161 46232	   	184.02	ACR|2AART|2VULN|2DMG|1DUR	1FEWX|28AART|36DMG|4RCR|5DUR|79VULN|aCGEN
96	21453 23241	   	183.94	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	139VULN|2AART|4RCR|5DMG|6CDMG|7SELL|8ERES|aDUR
97	21453 36122	   	183.94	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	137VULN|2AART|4RCR|5DMG|6DUR|8DUST|9CDMG|aSELL
98	31161 46233	   	183.92	ACR|2AART|2VULN|2DMG|1DUR	1FEWX|28AART|36DMG|4RCR|5DUR|79VULN|aLEGI
99	21431 22426	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13VULN|2AART|49DMG|57DUR|6CDMG|8BEXP|aRCR
100	21152 14163	   	183.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2AART|3DMG|4FEWX|5LWND|6CDMG|7RCR|9DUR
101	31432 14163	   	183.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2AART|38aVULN|4DMG|5LWND|6CDMG|7RCR|9DUR
102	21456 11333	 * 	183.86	ACR|3VULN|1AART|1DMG|2FLTHEA	138VULN|2AART|4RCR|58FLTHEA|68LHND|7RPLT|8BPWR|9BEXP|aDMG
103	21451 16213	   	183.66	ACR|3VULN|1AART|1DMG|2CDMG	135VULN|2AART|4RCR|6DMSP|78CDMG|9LWND|aDMG
104	21453 33511	   	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13VULN|2AART|4RCR|58DMG|6DUR|7LWND|9ERES|aZMB
105	21122 16366	   	183.38	DCR|3VULN|2AART|1DMG|1CDMG	16aVULN|27AART|3DMG|4VENICY|5DUST|8CDMG|9RCR
106	31432 14136	   	183.34	DCR|3VULN|1AART|1DMG|2CDMG	1aFEWX|2AART|38aVULN|4DMG|5LWND|6aCDMG|7RCR|9NUKE|aBPWR
107	21433 63351	   	182.91	DCR|3VULN|2DMG|1AART|1DUR	135VULN|2AART|4aDMG|6VENICY|7RPLT|8DUR|9RCR
