0	Index      	 *	Score 	Summary	Detail	
1	15344 83443	 * 	297.48	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2MBVNT|36LIT|45VULN|7MLV|8FLTARM|9RCR|aDMG
2	15344 83444	 * 	294.71	DCR|3LIT|2VULN|1FLTARM|1MLV	1FEWX|2MBVNT|36aLIT|45VULN|7MLV|8FLTARM|9RCR
3	32551 11321	 * 	286.21	DCR|2LIT|3VULN|1MLV|3CDMG	147CDMG|2RCVC|349VULN|47BPWR|57LIT|67ERES|8MLV|aRCR
4	11322 66444	   	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2DMSP|35VULN|4MLV|6aLIT|7MBVNT|8FLTARM|9RCR
5	15344 83442	   	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2MBVNT|36LIT|45VULN|7MLV|8FLTARM|9RCR|aLHND
6	15344 83445	   	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2MBVNT|36LIT|45VULN|7MLV|8FLTARM|9RCR|aDMSP
7	15344 83447	   	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2MBVNT|36LIT|45VULN|7MLV|8FLTARM|9RCR|aCGEN
8	15344 83448	   	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2MBVNT|36LIT|45VULN|7MLV|8FLTARM|9RCR|aLWND
9	16322 66444	   	277.42	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2RCVC|35VULN|4MLV|6aLIT|7MBVNT|8FLTARM|9RCR
10	15344 83441	   	277.32	DCR|2LIT|2VULN|1FLTARM|1MLV	1FEWX|2MBVNT|36LIT|45VULN|7MLV|8FLTARM|9RCR|aLSRHEA
11	15342 83162	 * 	271.88	DCR|3LIT|2MLV|2VULN	1FEWX|2MBVNT|356LIT|45VULN|5BPWR|78MLV|9FRZARM|aRCR
12	15153 83443	   	271.28	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1FEWX|2MBVNT|3VULN|4RCVC|56LIT|7MLV|8FLTARM|9RCR|aDMG
13	15163 83443	   	271.28	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	14FEWX|2MBVNT|3VULN|56LIT|7MLV|8FLTARM|9RCR|aDMG
14	15341 83443	   	271.28	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1FEWX|2MBVNT|36LIT|4VULN|5RCVC|7MLV|8FLTARM|9RCR|aDMG
15	15346 83443	   	271.28	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	15FEWX|2MBVNT|36LIT|4VULN|7MLV|8FLTARM|9RCR|aDMG
16	11322 66443	   	270.66	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2DMSP|35VULN|4MLV|6LIT|7MBVNT|8FLTARM|9RCR|aDMG
17	16322 66443	   	270.66	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2RCVC|35VULN|4MLV|6LIT|7MBVNT|8FLTARM|9RCR|aDMG
18	15342 82632	 * 	268.97	DCR|3LIT|3VULN|1DMG	1aFEWX|2MBVNT|356LIT|457VULN|5BPWR|8RCR|9DMG
19	15342 82634	   	268.97	DCR|3LIT|3VULN|1DMG	1FEWX|2MBVNT|356LIT|457VULN|5BPWR|8RCR|9DMG|aRPLT
20	15342 82631	   	268.87	DCR|3LIT|3VULN|1DMG	1FEWX|2MBVNT|356LIT|457VULN|5BPWR|8RCR|9DMG|aDUST
21	15342 82633	   	268.73	DCR|3LIT|3VULN|1DMG|1SELL	1FEWX|2MBVNT|356LIT|457VULN|5BPWR|8RCR|9DMG|aSELL
22	15153 83444	   	268.51	DCR|3LIT|1FLTARM|1VULN|1MLV	1FEWX|2MBVNT|3VULN|4RCVC|56aLIT|7MLV|8FLTARM|9RCR
23	15163 83444	   	268.51	DCR|3LIT|1FLTARM|1VULN|1MLV	14FEWX|2MBVNT|3VULN|56aLIT|7MLV|8FLTARM|9RCR
24	15341 83444	   	268.51	DCR|3LIT|1FLTARM|1VULN|1MLV	1FEWX|2MBVNT|36aLIT|4VULN|5RCVC|7MLV|8FLTARM|9RCR
25	15346 83444	   	268.51	DCR|3LIT|1FLTARM|1VULN|1MLV	15FEWX|2MBVNT|36aLIT|4VULN|7MLV|8FLTARM|9RCR
26	15342 82612	 * 	268.07	DCR|3LIT|4VULN	1FEWX|2MBVNT|356LIT|457aVULN|5BPWR|8RCR|9RPLT
