0	Index      	 *	Score 	Summary	Detail	
1	36137 24421	 * 	283.82	DCR|4VULN|1LIT|2DMG|2CDMG	1aCDMG|258aVULN|3MBVNT|4LWND|6LIT|7aDMG|9RCR|aBPWR
2	22114 31477	 * 	282.53	DCR|2LIT|2MLV|3ASPD|1VULN|1DMG	18LWND|2MBVNT|35MLV|458ASPD|58BPWR|68LIT|7RCR|9DMG|aVULN
3	22111 31477	   	274.88	DCR|2LIT|3ASPD|1VULN|1MLV|1DMG	18LWND|2MBVNT|3MLV|458ASPD|68LIT|7RCR|8BPWR|9DMG|aVULN
4	12642 31356	 * 	271.58	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2MBVNT|3DMG|47LIT|59VULN|6ASPD|8MLV|aRCR
5	22178 31451	 * 	271.16	DCR|2LIT|2DMG|1VULN|1MLV|1AART	18LWND|2MBVNT|3MLV|48DMG|5RCVC|68LIT|7RCR|8BPWR|9VULN|aAART
6	63222 31461	 * 	271.04	DCR|2LIT|4VULN|3ZMB	179ZMB|29aCGEN|3FEWX|4aLIT|569aVULN|8RCR|9aBPWR
7	22114 31626	   	270.83	DCR|2LIT|2MLV|1VULN|2ASPD|1DMG	1LWND|2MBVNT|35MLV|45ASPD|5BPWR|6aLIT|7RCR|8VULN|9DMG
8	12142 71881	 * 	269.57	DCR|2LIT|2VULN|1MLV|2ASPD	1aLHND|2MBVNT|3MLV|4aLIT|59VULN|6LWND|7RCR|8aASPD|aBPWR
9	12142 61881	   	269.47	DCR|2LIT|2VULN|1MLV|2ASPD	1aLHND|2MBVNT|3MLV|4aLIT|59VULN|6DUST|7RCR|8aASPD|aBPWR
10	21211 33461	 * 	269.36	DCR|2LIT|3VULN|3ASPD	1aLWND|2TLV|37aVULN|459ASPD|6aLIT|8RCR|aBPWR
11	12142 58436	   	268.47	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2MBVNT|3MLV|4aLIT|59VULN|6DMG|7ZMB|8RCR
12	12613 42824	   	267.76	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LHND|2MBVNT|3DMG|4ASPD|59VULN|6CDMG|7RCR|8MLV|aLIT
13	12644 63213	 * 	266.22	DCR|3LIT|2VULN|2DMG	1LHND|2MBVNT|36DMG|456LIT|6BPWR|7RCR|8BEXP|9aVULN
14	12142 51636	   	264.87	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2MBVNT|3MLV|47LIT|58VULN|6DMG|9ZMB|aRCR
15	55315 11232	   	264.42	DCR|3LIT|2VULN|2DMG	1aCANARM|24DMG|35aLIT|6RPLT|7AART|8RCR|9aVULN|aBPWR
16	55312 33134	 * 	264.21	DCR|1LIT|2VULN|3DMG|2ASPD	1aCANARM|245DMG|3LIT|6aVULN|7aASPD|8RMIN|9RCR|aBPWR
17	62333 31542	 * 	263.64	DCR|3VULN|1LIT|2ASPD|1DMG	1ZMB|2RMIN|3aASPD|489VULN|5DMG|6LIT|7RCR
18	12147 31481	   	263.53	DCR|2LIT|2VULN|1MLV|1DMG	16aLHND|2MBVNT|3MLV|4aLIT|5DMG|7RCR|8FEWX|9aVULN|aBPWR
19	12147 31581	   	263.53	DCR|2LIT|2VULN|1MLV|1DMG	16aLHND|2MBVNT|3MLV|4aLIT|5DMG|7RCR|8BEXP|9aVULN|aBPWR
20	22111 31626	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1LWND|2MBVNT|3MLV|45ASPD|6aLIT|7RCR|8VULN|9DMG
21	55312 33325	 * 	262.58	DCR|2LIT|3DMG|1VULN|2ASPD	1CANARM|245DMG|3aLIT|6VULN|79ASPD|8RCR
22	12642 78433	   	261.84	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1LHND|2MBVNT|3DMG|4LIT|59VULN|6MLV|7ZMB|8RCR|aAART
