0	Index      	 *	Score 	Summary	Detail	
1	66312 32143	 * 	268.75	DCR|DCR|2VULN|2DUR|1CDMG|1SELL	1aZMB|2MDPS|3aDUR|4BEXP|5SELL|68RCR|7CDMG|9aVULN|aBPWR
2	21131 54233	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1CDMG|1SELL	1RMIN|2VULN|3CDMG|4MLV|5SELL|6TLV|7TSLFST|8BBNT|9aRCR
3	21211 31616	 * 	257.39	DCR|2VULN|2FLTARM|2DMG|1AART|1CDMG	1RMIN|2aVULN|3aDMG|4LIT|5CDMG|6RCR|7TBNT|8AART|9aFLTARM|aBPWR
4	21211 35616	   	257.39	DCR|2VULN|2FLTARM|2DMG|1AART|1CDMG	1RMIN|2aVULN|3aDMG|4LIT|5CDMG|6RCR|7BBNT|8AART|9aFLTARM|aBPWR
5	11433 53432	 * 	249.89	DCR|3VULN|2MLV|2DUR|1MSLTOX|1CDMG|1SELL	1TBNT|27aVULN|3SELL|4aMLV|5MSLTOX|6CDMG|8aDUR|9RCR|aBPWR
6	15331 26513	 * 	244.54	DCR|DCR|1VULN|2DUR|1MLV	1TBNT|2BEXP|3ZMB|45DUR|6VULN|79RCR|8LIT|aMLV
7	13331 55363	 * 	244.44	DCR|DCR|1VULN|1TLV|1MLV	1TBNT|2MDPS|3TLV|4AIRBOS|5RPLT|6VULN|7BELT|8MLV|9aRCR
8	21125 12161	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1RMIN|2VULN|3CDMG|4NUKE|57RAT|6aRCR|8BEXP|9TLV
9	21125 12461	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1RMIN|2VULN|3CDMG|4NUKE|57RAT|6aRCR|8FEWX|9TLV
10	21125 16161	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1RMIN|2VULN|3CDMG|4NUKE|5RAT|6aRCR|7DMSP|8BEXP|9TLV
11	66212 32133	 * 	242.65	DCR|DCR|2VULN|1CDMG|1SELL	1aZMB|2MDPS|3aLWND|4BEXP|5SELL|68RCR|7CDMG|9aVULN|aBPWR
12	21125 11261	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1RMIN|2VULN|3CDMG|4NUKE|58RAT|6aRCR|7DUST|9TLV
13	21125 11561	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1RMIN|2VULN|3CDMG|4NUKE|5RAT|6aRCR|7DUST|8RCVC|9TLV
14	13131 16563	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TBNT|2MDPS|3CGEN|4AIRBOS|5RPLT|6DUR|7TLV|8aRCR|9VULN
15	13131 56523	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TBNT|2MDPS|3CGEN|4AIRBOS|5RPLT|6VULN|7TLV|8aRCR|9DUR
16	66212 32136	 * 	242.45	DCR|DCR|2VULN|1CDMG|1SELL	1ZMB|2MDPS|3LWND|4BEXP|5SELL|68RCR|7CDMG|9aVULN
17	21111 52233	   	242.25	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1RMIN|2VULN|3CDMG|4ERES|5SELL|6TLV|7AIRHEA|8TBNT|9aRCR
18	21111 54233	   	242.25	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1RMIN|2VULN|3CDMG|4ERES|5SELL|6TLV|7TSLFST|8TBNT|9aRCR
19	21226 66312	 * 	239.40	DCR|3VULN|3DMG|2CDMG	1RMIN|24aVULN|38aDMG|5MDPS|6TBNT|7RCR|9aCDMG|aBPWR
20	33125 22312	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2MLV|3AEFRZ|4RCVC|5AME|68RCR|7CDMG|9LHND|aVULN
21	33125 22336	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2MLV|3AEFRZ|4RCVC|5AME|68RCR|7CDMG|9BELT|aVULN
22	33125 22352	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2MLV|3AEFRZ|4RCVC|5AME|68RCR|7CDMG|9BEXP|aVULN
23	33125 22364	   	238.83	DCR|DCR|1VULN|1MLV|1CDMG	1ASPD|2MLV|3AEFRZ|4RCVC|5AME|68RCR|7CDMG|9TBNT|aVULN
