0	Index      	 *	Score 	Summary	Detail	
1	61413 25212	 * 	272.15	DCR|3VULN|3DMG|2DUR|1TLV	17aVULN|2TLV|367RAT|47aDMG|5BOSS|7aBPWR|8RCR|9aDUR
2	31211 42161	 * 	258.05	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8MLV|aLIT
3	31211 42162	 * 	258.05	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8MLV|aLWND
4	31211 42164	 * 	258.05	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8MLV|aFEWX
5	31211 42163	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8MLV|aDUST
6	31211 42165	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8MLV|aERES
7	31211 42166	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8MLV|aAEBURN
8	31212 32161	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8MLV|aLIT
9	31212 32162	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8MLV|aLWND
10	31212 32164	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8MLV|aFEWX
11	31212 32165	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8MLV|aCGEN
12	31255 32161	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4VULN|5TBNT|6ERES|79RCR|8MLV|aLIT
13	31255 32162	 * 	257.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4VULN|5TBNT|6ERES|79RCR|8MLV|aLWND
14	31212 32163	 * 	257.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8MLV|aDUST
15	31212 32166	 * 	257.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8MLV|aAEBURN
16	31255 32163	 * 	257.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2TLV|3SELL|4VULN|5TBNT|6ERES|79RCR|8MLV|aDUST
17	11532 63243	 * 	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1ERES|2FRZICY|3ZMB|4CDMG|5VULN|6TLV|7DUR|8aRCR|9FEWX
18	31312 61137	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2TLV|3AEWIND|4CANSTR|5AART|6aRCR|7MBVNT|8VULN|9RAT
19	36514 32131	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	18DUR|2DUST|3TLV|4FEWX|5MGNBOS|6LIT|7aRCR|9VULN
20	23313 32161	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1AEFRZ|2MDPS|38DUR|4BOSS|5TLV|6FRZFST|7aRCR|9VULN
21	53313 32161	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1AEPOI|2MDPS|38DUR|4BOSS|5TLV|6FRZFST|7aRCR|9VULN
22	31252 16413	   	249.56	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	17DUR|2TLV|3SELL|47VULN|578DMG|6RPLT|7BPWR|9ZMB|aRCR
23	11532 36243	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ERES|2FRZICY|3ZMB|4CDMG|5VULN|6DUR|7MLV|8aRCR|9FEWX
24	61211 62161	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5CGEN|6DUST|79RCR|8MLV|aLIT
25	61211 62162	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5CGEN|6DUST|79RCR|8MLV|aLWND
26	61213 32161	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5FEWX|6ERES|79RCR|8MLV|aLIT
27	61213 32162	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5FEWX|6ERES|79RCR|8MLV|aLWND
28	61213 32164	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5aFEWX|6ERES|79RCR|8MLV
29	61225 32161	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4LHND|5TBNT|6AME|79RCR|8MLV|aLIT
30	61225 32162	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4LHND|5TBNT|6AME|79RCR|8MLV|aLWND
31	63125 32161	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2SELL|3AME|4LHND|5TBNT|6TLV|79RCR|8MLV|aLIT
32	63125 32162	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2SELL|3AME|4LHND|5TBNT|6TLV|79RCR|8MLV|aLWND
33	61211 62163	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL|1MSE	1VULN|2TLV|3SELL|4TBNT|5CGEN|6DUST|79RCR|8MLV|aMSE
34	61213 32163	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5FEWX|6ERES|79RCR|8MLV|aDUST
35	61213 32165	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4TBNT|5FEWX|6ERES|79RCR|8MLV|aMSLFST
36	61225 32163	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2TLV|3SELL|4LHND|5TBNT|6AME|79RCR|8MLV|aDUST
37	63125 32163	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2SELL|3AME|4LHND|5TBNT|6TLV|79RCR|8MLV|aDUST
38	31244 23143	 * 	244.07	DCR|DCR|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|2TLV|3SELL|4AART|5RPLT|69RCR|7AME|8DMG|aRAT
39	33144 23143	 * 	244.07	DCR|DCR|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|2SELL|3AME|4AART|5RPLT|69RCR|7TLV|8DMG|aRAT
40	31244 23141	 * 	243.97	DCR|DCR|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|2TLV|3SELL|4AART|5RPLT|69RCR|7AME|8DMG|aAEFBLL
41	31244 23142	 * 	243.97	DCR|DCR|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|2TLV|3SELL|4AART|5RPLT|69RCR|7AME|8DMG|aLEGI
42	33144 23141	 * 	243.97	DCR|DCR|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|2SELL|3AME|4AART|5RPLT|69RCR|7TLV|8DMG|aAEFBLL
43	33144 23142	 * 	243.97	DCR|DCR|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|2SELL|3AME|4AART|5RPLT|69RCR|7TLV|8DMG|aLEGI
44	11532 62233	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2FRZICY|3ZMB|4CDMG|5VULN|6TLV|7LWND|8aRCR|9LHND
45	11532 62243	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2FRZICY|3ZMB|4CDMG|5VULN|6TLV|7LWND|8aRCR|9FEWX
46	23313 32561	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1AEFRZ|2MDPS|3DUR|48BOSS|5TLV|6FRZFST|7aRCR|9VULN
47	53313 32561	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1AEPOI|2MDPS|3DUR|48BOSS|5TLV|6FRZFST|7aRCR|9VULN
48	31211 42461	   	242.45	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8RMIN|aLIT
49	31211 42462	   	242.45	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8RMIN|aLWND
50	61246 12334	   	242.45	DCR|DCR|1VULN|1TLV|1AART|1SELL	1VULN|2TLV|3SELL|4AART|5LWND|6aRCR|7LIT|8BEXP|9MBVNT
51	31211 42463	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5CGEN|6VULN|79RCR|8RMIN|aDUST
52	31212 32261	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8CGEN|aLIT
53	31212 32262	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8CGEN|aLWND
54	31212 32264	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8CGEN|aFEWX
55	31212 32266	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8CGEN|aRCVC
56	31212 32461	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8RMIN|aLIT
57	31212 32462	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8RMIN|aLWND
58	31212 32464	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8RMIN|aFEWX
59	31212 32465	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8RMIN|aCGEN
60	31255 32261	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4VULN|5TBNT|6ERES|79RCR|8CGEN|aLIT
61	31255 32262	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4VULN|5TBNT|6ERES|79RCR|8CGEN|aLWND
62	31212 32263	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8CGEN|aDUST
63	31212 32265	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6aERES|79RCR|8CGEN
64	31212 32463	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8RMIN|aDUST
65	31212 32466	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4TBNT|5VULN|6ERES|79RCR|8RMIN|aAEBURN
66	31255 32263	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1DUR|2TLV|3SELL|4VULN|5TBNT|6ERES|79RCR|8CGEN|aDUST
