0	Index      	 *	Score 	Summary	Detail	
1	13336 31452	 * 	293.99	DCR|DCR|2VULN|2DMG|1DUR|1CDMG	18VULN|2DUST|3DUR|4CDMG|57DMG|6DMSP|9aRCR
2	16451 22313	 * 	291.44	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	13VULN|2CDMG|4AETHUN|5ASPD|6BELT|7TLV|8aRCR|9MLV
3	16116 13252	 * 	288.45	DCR|DCR|2DMG|1VULN|2MLV|2CDMG	1VULN|24CDMG|34MLV|4BPWR|58DMG|6AME|7FEWX|9aRCR
4	16116 11252	   	288.35	DCR|DCR|2DMG|1VULN|2MLV|2CDMG	1VULN|24CDMG|34MLV|4BPWR|58DMG|6AME|7DUST|9aRCR
5	13332 54352	 * 	285.32	DCR|DCR|3VULN|1DUR|1CDMG	156VULN|28DUST|3DUR|4CDMG|7ASPD|9aRCR
6	13136 31452	   	280.34	DCR|DCR|2VULN|2DMG|1CDMG	18VULN|2DUST|3BEXP|4CDMG|57DMG|6DMSP|9aRCR
7	13621 21452	   	280.34	DCR|DCR|2VULN|2DMG|1CDMG	18VULN|2DUST|3RCVC|47DMG|5LWND|6CDMG|9aRCR
8	13221 21452	   	280.24	DCR|DCR|2VULN|2DMG|1CDMG	18VULN|2DUST|3AEPOI|47DMG|5LWND|6CDMG|9aRCR
9	13226 11452	   	280.24	DCR|DCR|2VULN|2DMG|1CDMG	18VULN|2DUST|3AEPOI|47DMG|5CDMG|6LHND|9aRCR
10	16235 22313	 * 	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1CDMG	1VULN|2CDMG|3CGEN|4DMG|5ERES|6BELT|7TLV|8aRCR|9MLV
11	13224 33452	   	276.30	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	18VULN|2DUST|3AEPOI|4DMG|5RCVC|6CDMG|7DUR|9aRCR
12	13622 33452	   	276.30	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	18VULN|25DUST|3RCVC|4DMG|6CDMG|7DUR|9aRCR
13	13222 33452	   	276.20	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	18VULN|25DUST|3AEPOI|4DMG|6CDMG|7DUR|9aRCR
14	13355 12142	 * 	272.63	ACR|DCR|2VULN|2DMG|2DUR|1CDMG	17VULN|2DUST|37DUR|4aRCR|5RCVC|67DMG|7BPWR|8AEFBLL|9CDMG
15	13132 14452	   	271.77	DCR|DCR|3VULN|1CDMG	158VULN|2DUST|36BEXP|4CDMG|7ASPD|9aRCR
16	13132 54352	   	271.67	DCR|DCR|3VULN|1CDMG	156VULN|28DUST|3BEXP|4CDMG|7ASPD|9aRCR
17	16312 12452	 * 	271.34	DCR|DCR|3VULN|2CDMG|1AAC	148VULN|24CDMG|3AAC|4BPWR|5LWND|6LHND|7DMSP|9aRCR
18	16116 33152	   	270.96	DCR|DCR|1VULN|2MLV|1DMG|2CDMG	1VULN|24CDMG|34MLV|4BPWR|5DMG|6BEXP|7RCVC|8CGEN|9aRCR
19	15353 12135	 * 	270.52	ACR|DCR|2VULN|3DUR|2DMG	17VULN|2FEWX|357DUR|4aRCR|67DMG|7BPWR|8BLASTR|9RCVC
20	15353 12335	   	270.52	ACR|DCR|2VULN|3DUR|2DMG	17VULN|2FEWX|357DUR|4aRCR|67DMG|7BPWR|8BLAICY|9RCVC
21	13353 12135	   	270.42	ACR|DCR|2VULN|3DUR|2DMG	17VULN|2DUST|357DUR|4aRCR|67DMG|7BPWR|8BLASTR|9RCVC
22	13353 12335	   	270.42	ACR|DCR|2VULN|3DUR|2DMG	17VULN|2DUST|357DUR|4aRCR|67DMG|7BPWR|8BLAICY|9RCVC
23	16134 11352	   	269.84	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1VULN|2CDMG|3MLV|47DMG|58CGEN|6LHND|9aRCR
24	16136 13252	   	269.64	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1VULN|2CDMG|3MLV|48DMG|5AEPOI|6AME|7FEWX|9aRCR
25	16136 11252	   	269.54	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1VULN|2CDMG|3MLV|48DMG|5AEPOI|6AME|7DUST|9aRCR
26	15336 33252	   	267.89	DCR|DCR|2DMG|1VULN|1DUR|1CDMG	1VULN|27FEWX|3DUR|4CDMG|58DMG|6DMSP|9aRCR
27	13624 33252	   	267.79	DCR|DCR|2DMG|1VULN|1DUR|1CDMG	1VULN|2DUST|35RCVC|48DMG|6CDMG|7DUR|9aRCR
28	13224 33252	   	267.69	DCR|DCR|2DMG|1VULN|1DUR|1CDMG	1VULN|2DUST|3AEPOI|48DMG|5RCVC|6CDMG|7DUR|9aRCR
29	13622 33252	   	267.69	DCR|DCR|2DMG|1VULN|1DUR|1CDMG	1VULN|25DUST|3RCVC|48DMG|6CDMG|7DUR|9aRCR
30	13222 33252	   	267.59	DCR|DCR|2DMG|1VULN|1DUR|1CDMG	1VULN|25DUST|3AEPOI|48DMG|6CDMG|7DUR|9aRCR
