0	Index      	 *	Score 	Summary	Detail	
1	33521 15312	 * 	268.79	DCR|DCR|2VULN|2DUR|1AART	1AART|2ZMB|35VULN|45DUR|5BPWR|6RPLT|7aRCR|8BBNT|9TBNT
2	12621 23436	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1AEFRZ|2CDMG|3aVULN|4DUR|5LWND|69RAT|78RCR
3	22621 23436	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1AEBURN|2CDMG|3aVULN|4DUR|5LWND|69RAT|78RCR
4	12621 23435	 * 	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1AEFRZ|2CDMG|3VULN|4DUR|5LWND|69RAT|78RCR|aTLV
5	22621 23435	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1AEBURN|2CDMG|3VULN|4DUR|5LWND|69RAT|78RCR|aTLV
6	12621 23463	 * 	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1AEFRZ|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ZMB|aDMG
7	22621 23463	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1AEBURN|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ZMB|aDMG
8	12621 23423	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1AEFRZ|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ERES|aDMG
9	22621 23423	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1AEBURN|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ERES|aDMG
10	62621 23423	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1AEPOI|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ERES|aDMG
11	12621 23415	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEFRZ|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9MDPS|aMLV
12	22621 23415	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEBURN|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9MDPS|aMLV
13	34153 13336	 * 	244.44	ACR|DCR|2VULN|1DMG|1MLV|1AART	1AART|2BOSS|3MLV|4SPLJET|5aRCR|68VULN|7RAT|9DMG
14	12621 23461	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AEFRZ|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ZMB|aAART
15	22621 23461	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AEBURN|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ZMB|aAART
16	12621 23421	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AEFRZ|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ERES|aAART
17	22621 23421	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AEBURN|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ERES|aAART
18	62621 23421	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AEPOI|2CDMG|3VULN|4DUR|5LWND|6RAT|78RCR|9ERES|aAART
19	33521 21625	 * 	243.64	DCR|3VULN|2DMG|2DUR|1AART	1AART|2ZMB|358VULN|45DUR|5BPWR|6RAT|7aDMG|9RCR
20	33155 12612	   	242.89	DCR|DCR|2VULN|1AART	1AART|28ZMB|3BOSS|4VENFST|589RAT|6aRCR|78VULN|8BPWR
21	12141 23436	   	242.59	DCR|DCR|2VULN|1CDMG	1AEFRZ|2CDMG|3DUST|4aVULN|5LWND|69RAT|78RCR
22	22141 23436	   	242.59	DCR|DCR|2VULN|1CDMG	1AEBURN|2CDMG|3DUST|4aVULN|5LWND|69RAT|78RCR
23	12141 23435	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1AEFRZ|2CDMG|3DUST|4VULN|5LWND|69RAT|78RCR|aTLV
24	22141 23435	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1AEBURN|2CDMG|3DUST|4VULN|5LWND|69RAT|78RCR|aTLV
25	12125 23436	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	15AEFRZ|2CDMG|3DUST|45DUR|5BPWR|69RAT|78RCR|aVULN
26	51326 31251	 * 	240.29	DCR|DCR|3DUR|1VULN	1TBNT|2MDPS|378DUR|4RAT|5CGEN|6VULN|9aRCR
27	51326 31351	   	240.29	DCR|DCR|3DUR|1VULN	1TBNT|2MDPS|379DUR|4RAT|5CGEN|6VULN|8aRCR
