0	Index      	 *	Score 	Summary	Detail	
1	35235 36111	 * 	282.44	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	14VULN|2ERES|3DUR|5DLOT|6aRCR|7CDMG|8TLV|9BEXP
2	33114 24136	 * 	280.46	DCR|DCR|1VULN|2MSLTOX|1TLV|1AART	1VULN|2AART|3FEWX|4ASPD|56MSLTOX|7TLV|8aRCR|9TBNT
3	41313 31155	 * 	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DUR|2RCVC|3BEXP|4DUST|5DMG|6aRCR|7MLV|8VULN|9TLV
4	32233 35245	 * 	275.21	DCR|DCR|2VULN|2DUR|1DMG	18VULN|2LEGI|37DUR|4RCVC|5DMG|6aRCR|9LHND
5	32233 35265	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	18VULN|2LEGI|37DUR|4RCVC|5DMG|6aRCR|9LWND
6	32223 33635	 * 	275.21	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1VULN|2LEGI|34DUR|5DMG|6aRCR|7CGEN|8BEXP|9TLV
7	32233 35235	   	275.11	DCR|DCR|2VULN|2DUR|1DMG	18VULN|2LEGI|37DUR|4RCVC|5DMG|6aRCR|9AETHUN
8	36213 35235	   	275.11	DCR|DCR|2VULN|2DUR|1DMG	18VULN|2DUST|37DUR|4DMSP|5DMG|6aRCR|9AETHUN
9	36223 35235	   	275.01	DCR|DCR|2VULN|2DUR|1DMG	18VULN|24DUST|37DUR|5DMG|6aRCR|9AETHUN
10	33124 24136	   	273.52	DCR|DCR|1VULN|2MSLTOX|1TLV|1AART	1VULN|2AART|3FEWX|4ZMB|56MSLTOX|7TLV|8aRCR|9TBNT
11	24313 31155	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1RCVC|2LWND|3BEXP|4DUST|5DMG|6aRCR|7MLV|8VULN|9TLV
12	31313 32655	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1VULN|2RCVC|3BEXP|4DUST|5DMG|6aRCR|7LHND|8MLV|9TLV
13	32113 33635	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1VULN|2LEGI|3MLV|4ERES|5DMG|6aRCR|7CGEN|8BEXP|9TLV
14	32143 33155	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1VULN|2LEGI|3MLV|47CGEN|5DMG|6aRCR|89DUR
15	61313 31155	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1AEPOI|2LWND|3BEXP|4DUST|5DMG|6aRCR|7MLV|8VULN|9TLV
16	32113 36155	   	264.41	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1VULN|2LEGI|3MLV|47ERES|5DMG|6aRCR|89DUR
