0	Index      	 *	Score 	Summary	Detail	
1	62124 11314	 * 	268.99	DCR|DCR|2VULN|2DUR|1CDMG	1aVULN|2CDMG|3aDUR|4aRAT|5BBNT|6BOSS|79RCR|8RMIN|aBPWR
2	63133 62343	 * 	262.75	DCR|DCR|2VULN|1DMG|1DUR	13VULN|2FEWX|4DUR|5LIT|6RPLT|7DMG|8aRCR|9ERES
3	11623 33515	 * 	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1CGEN|2LWND|3MLV|4DUR|5LIT|6VULN|7LHND|89RCR|aTLV
4	61311 31246	   	258.19	DCR|DCR|2VULN|1MLV|1DUR|1NUKE	14VULN|2DUR|3TBNT|5BEXP|6NUKE|7MLV|8RPLT|9aRCR
5	62124 11313	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1aVULN|2CDMG|3DUR|4RAT|5BBNT|6BOSS|79RCR|8RMIN
6	61132 23354	 * 	255.93	DCR|3VULN|3DUR|2TLV|1MLV	139VULN|249DUR|5ZMB|6MLV|79TLV|8MBVNT|9BPWR|aRCR
7	61211 62343	 * 	249.00	DCR|DCR|1VULN|2DUR|1DMG	1VULN|25DUR|3FEWX|4LIT|6RPLT|7DMG|8aRCR|9ERES
8	61511 62313	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1VULN|25DUR|3DUST|4LIT|6RPLT|7DMG|8aRCR|9RCVC
9	63311 62343	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1VULN|2FEWX|35DUR|4LIT|6RPLT|7DMG|8aRCR|9ERES
10	61511 62333	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1VULN|25DUR|3DUST|4LIT|6RPLT|7DMG|8aRCR|9AEPOI
11	63122 14341	 * 	244.00	DCR|5VULN|1TLV|1MLV	13567VULN|2FEWX|4MLV|8TLV|9RCR|aRMIN
12	63122 14342	   	244.00	DCR|5VULN|1TLV|1MLV	13567VULN|2FEWX|4MLV|8TLV|9RCR|aFRZARM
13	63122 14343	   	243.90	DCR|5VULN|1TLV|1MLV	13567VULN|2FEWX|4MLV|8TLV|9RCR|aMDPS
14	11223 33515	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2LWND|3AME|4DUR|5LIT|6VULN|7LHND|89RCR|aTLV
15	11531 22515	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2LWND|3DUR|4VULN|5BOSS|6BEXP|7ERES|89RCR|aTLV
16	14123 33512	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3TLV|4DUR|5LIT|6VULN|7LHND|89RCR|aLWND
17	14123 33514	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1aCGEN|2AETHUN|3TLV|4DUR|5LIT|6VULN|7LHND|89RCR
18	14123 33516	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3TLV|4DUR|5LIT|6VULN|7LHND|89RCR|aZMB
19	14123 33511	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3TLV|4DUR|5LIT|6VULN|7LHND|89RCR|aMDPS
20	14123 33513	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3TLV|4DUR|5LIT|6VULN|7LHND|89RCR|aERES
21	14123 33515	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3TLV|4DUR|5LIT|6VULN|7LHND|89RCR|aAME
22	22245 13125	   	242.39	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1AAC|2AEFRZ|3VULN|4TSLARM|5SPLARM|6BBNT|7TLV|8aRCR|9DUR
23	64125 23313	 * 	242.01	ACR|DCR|2VULN|1TLV|1DUR	14VULN|2aRCR|3LHND|5TLV|6RPLT|7DUR|8ASPD|9BOSS
24	64325 23313	   	242.01	ACR|DCR|2VULN|1TLV|1DUR	14VULN|2aRCR|3LWND|5TLV|6RPLT|7DUR|8ASPD|9BOSS
