0	Index      	 *	Score 	Summary	Detail	
1	12243 32528	 * 	273.64	DCR|3VULN|3DMG|2MLV|1TLV	189DMG|2TLV|3RPLT|49aVULN|5MBVNT|6RCR|79MLV|9BPWR
2	35152 13141	 * 	269.90	DCR|4VULN|2TLV|2MLV|1DMG	1AETHUN|2aTLV|3aMLV|4DMG|5RAT|6RCR|789aVULN|aBPWR
3	23133 22335	 * 	268.89	DCR|DCR|2VULN|1TLV|1AART	1CGEN|2ZMB|3AART|4AEFRZ|57VULN|6TLV|8aRCR|9BEXP
4	53133 22335	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1AME|2ZMB|3AART|4AEFBLL|57VULN|6TLV|8aRCR|9BEXP
5	35152 13151	 * 	268.32	DCR|3VULN|2DMG|2TLV|2MLV	1AETHUN|2aTLV|3aMLV|49DMG|5RAT|6RCR|78aVULN|aBPWR
6	12243 32523	   	265.15	DCR|2VULN|3DMG|2MLV|1TLV|1AART	189DMG|2TLV|3RPLT|49VULN|5MBVNT|6RCR|79MLV|9BPWR|aAART
7	31131 21161	 * 	263.43	ACR|DCR|3VULN|1TLV|1DMG	1AETHUN|27aVULN|36RCR|4LHND|5DMG|8AEWIND|9TLV
8	31131 21552	 * 	263.43	ACR|DCR|3VULN|2DUR|1DMG	1AETHUN|27aVULN|36RCR|4LHND|5DMG|89DUR
9	12512 42215	 * 	262.03	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR	1aDMG|2TLV|39RCR|4SPLARM|5DUR|6MLV|7VULN|8LWND
10	33131 22422	   	262.03	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR	1AETHUN|2DUR|36RCR|4LHND|58DMG|7MLV|9TLV|aVULN
11	33131 22432	   	262.03	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR	1AETHUN|2DUR|36RCR|4LHND|58DMG|7MLV|9VULN|aTLV
12	33156 22432	   	262.03	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR	1AETHUN|2DUR|36RCR|48DMG|5FEWX|7MLV|9VULN|aTLV
13	12512 41411	 * 	261.86	ACR|DCR|2DMG|3MLV|2TLV|1DUR	18DMG|28TLV|39RCR|4SPLARM|5DUR|678MLV|8BPWR|aLIT
14	12512 41412	   	261.86	ACR|DCR|2DMG|3MLV|2TLV|1DUR	18DMG|28TLV|39RCR|4SPLARM|5DUR|678MLV|8BPWR|aLWND
15	12512 41413	   	261.76	ACR|DCR|2DMG|3MLV|2TLV|1DUR	18DMG|28TLV|39RCR|4SPLARM|5DUR|678MLV|8BPWR|aBBNT
16	31132 26422	 * 	258.97	ACR|DCR|2VULN|2DMG|1TLV	1AETHUN|2aVULN|36RCR|4LHND|5ZMB|78DMG|9TLV
17	31131 26161	   	258.87	ACR|DCR|2VULN|2DMG|1TLV	1AETHUN|2aVULN|36RCR|4LHND|57DMG|8AEWIND|9TLV
18	31131 26552	 * 	258.87	ACR|DCR|2VULN|2DMG|2DUR	1AETHUN|2aVULN|36RCR|4LHND|57DMG|89DUR
19	23133 52335	   	258.29	DCR|DCR|2VULN|1MLV|1AART	1CGEN|2ZMB|3AART|4AEFRZ|57VULN|6MLV|8aRCR|9BEXP
20	53133 52335	   	258.20	DCR|DCR|2VULN|1MLV|1AART	1AME|2ZMB|3AART|4AEFBLL|57VULN|6MLV|8aRCR|9BEXP
21	12243 38824	   	257.99	DCR|3VULN|2DMG|2MLV|1TLV	19DMG|2TLV|3RPLT|479VULN|5MBVNT|6RCR|89MLV|9BPWR|aLWND
22	12243 38821	   	257.89	DCR|3VULN|2DMG|2MLV|1TLV|1MSE	19DMG|2TLV|3RPLT|479VULN|5MBVNT|6RCR|89MLV|9BPWR|aMSE
23	12243 38822	   	257.89	DCR|3VULN|2DMG|2MLV|1TLV	19DMG|2TLV|3RPLT|479VULN|5MBVNT|6RCR|89MLV|9BPWR|aTBNT
24	12243 38823	   	257.89	DCR|3VULN|2DMG|2MLV|1TLV	19DMG|2TLV|3RPLT|479VULN|5MBVNT|6RCR|89MLV|9BPWR|aAEBURN
25	35152 13111	 * 	257.19	DCR|3VULN|3TLV|2MLV|1DMG	1AETHUN|29aTLV|3aMLV|4DMG|5RAT|6RCR|78aVULN|aBPWR
26	13162 62216	 * 	257.14	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1DMG|2ZMB|3AART|4ASPD|5VULN|6MBVNT|7CDMG|8aRCR|9FEWX
27	31131 21651	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1AETHUN|27VULN|36RCR|4LHND|5DMG|8BELT|9MLV|aTLV
28	33131 22152	 * 	256.89	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1AETHUN|29DUR|36RCR|4LHND|5DMG|7MLV|8TLV|aVULN
29	33131 22322	 * 	256.73	ACR|DCR|1VULN|2MLV|1TLV|1DMG|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|78MLV|9TLV|aVULN
30	33131 22332	   	256.73	ACR|DCR|1VULN|2MLV|1TLV|1DMG|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|78MLV|9VULN|aTLV
31	33156 22332	   	256.73	ACR|DCR|1VULN|2MLV|1TLV|1DMG|1DUR	1AETHUN|2DUR|36RCR|4DMG|5FEWX|78MLV|9VULN|aTLV
32	12243 38164	 * 	256.19	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2TLV|3RPLT|47aVULN|5MBVNT|6RCR|8BOSS|9aDUR|aBPWR
33	31661 22333	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1AETHUN|2aVULN|3AART|4DUST|5FEWX|6MDPS|7DUR|89RCR
34	11262 11142	 * 	256.08	DCR|3VULN|3DMG|2TLV	18aDMG|2DUST|3DMSP|4BELT|58TLV|6RCR|789VULN|8BPWR
35	12336 16633	   	255.88	DCR|3VULN|3DMG|2TLV	147DMG|23TLV|579VULN|67SPLREG|7BPWR|8BBNT|aRCR
36	12133 52341	   	255.21	DCR|3VULN|1TLV|1DMG|1MLV|1AART|1CDMG	1DMG|2TLV|3AART|4AEFBLL|579VULN|6MLV|8RCR|aCDMG
37	31131 21512	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AAC	1AETHUN|27VULN|36RCR|4LHND|5DMG|8DUR|9AAC|aTLV
38	31131 21623	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1AETHUN|27VULN|36RCR|4LHND|5DMG|8BELT|9DUR|aTLV
39	31156 21512	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AAC	1AETHUN|27VULN|36RCR|4DMG|5FEWX|8DUR|9AAC|aTLV
40	31132 26154	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1AETHUN|2aVULN|36RCR|4LHND|5ZMB|7DMG|8TLV|9DUR
41	33131 21324	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1AETHUN|2DUR|36RCR|4LHND|5DMG|7aVULN|8ERES|9TLV
42	33156 21324	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1AETHUN|2DUR|36RCR|4DMG|5FEWX|7aVULN|8ERES|9TLV
43	31131 21522	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1AETHUN|27VULN|36RCR|4LHND|5DMG|8DUR|9AME|aTLV
44	31156 21522	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1AETHUN|27VULN|36RCR|4DMG|5FEWX|8DUR|9AME|aTLV
45	11262 11144	   	254.07	DCR|3VULN|2DMG|2TLV|1AART	18DMG|2DUST|3DMSP|4BELT|58TLV|6RCR|789VULN|8BPWR|aAART
46	12336 16523	 * 	253.95	DCR|2VULN|3DMG|3TLV|1DUR	147DMG|239TLV|57VULN|67SPLREG|7BPWR|8DUR|aRCR
47	31131 21654	   	252.93	ACR|DCR|3VULN|1DMG|1MLV	1AETHUN|27aVULN|36RCR|4LHND|5DMG|8BELT|9MLV
