0	Index      	 *	Score 	Summary	Detail	
1	64162 22331	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1AART	1BEXP|2LIT|3FEWX|4MDPS|5DMG|6VULN|7TLV|8aRCR|9AART
2	11312 24636	 * 	256.24	DCR|DCR|2VULN|1CDMG|1AAC|1AART	1ERES|2CDMG|3AART|4DUST|59VULN|6LIT|7aRCR|8AAC
3	41412 22161	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1LIT|2AEBURN|3TBNT|4DUR|5DMG|6aRCR|7RMIN|8AART|9VULN
4	31622 25331	   	243.89	DCR|DCR|1VULN|1AART|1DUR|1CDMG	1LHND|2BEXP|3AART|4RAT|5VULN|6LIT|78RCR|9CDMG|aDUR
5	21511 41313	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2BEXP|3DUST|4DUR|5ASPD|6DMG|7RMIN|8aRCR|9VULN
6	31622 25341	   	242.79	DCR|DCR|2VULN|1AART	1LHND|2BEXP|3AART|4RAT|5aVULN|69LIT|78RCR
7	31622 25311	   	242.69	DCR|DCR|2VULN|1AART	1LHND|2BEXP|3AART|4RAT|5aVULN|6LIT|78RCR|9AEFRZ
8	52124 46373	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1AME|2RMIN|3MBVNT|4LWND|5VULN|6TLV|7DUR|8aRCR|9CGEN
9	11126 41523	 * 	241.29	ACR|DCR|2VULN|1TLV|2CDMG	18ERES|28CDMG|3FEWX|4AEWIND|56RCR|78VULN|8BPWR|9RAT|aTLV
10	11232 27744	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1ERES|2CDMG|3MBVNT|4DUR|5MLV|6LWND|7aRCR|8TLV|9RAT
11	32533 12363	   	236.55	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1LHND|2ERES|3DUR|4FEWX|5AAC|6VULN|7DMG|8aRCR|9CGEN
12	32534 22363	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1LHND|2ERES|3DUR|4FEWX|5VULN|6ZMB|7DMG|8aRCR|9CGEN
13	36533 12363	   	236.55	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1LHND|2AME|3DUR|4FEWX|5AAC|6VULN|7DMG|8aRCR|9CGEN
14	61122 16126	   	236.55	DCR|DCR|1VULN|1DMG|1AART	12BEXP|3MBVNT|4LWND|5AART|6DMG|7VULN|8LIT|9aRCR
15	61122 43846	   	236.55	DCR|DCR|1VULN|1DMG|1AART	12BEXP|3MBVNT|4LWND|5AART|6LIT|7aRCR|8VULN|9DMG
16	61142 43746	   	236.55	DCR|DCR|1VULN|1DMG|1AART	12BEXP|3MBVNT|4FEWX|5AART|6LIT|7aRCR|8VULN|9DMG
17	64162 23331	   	236.55	DCR|DCR|1VULN|1DMG|1AART	1BEXP|2LIT|3FEWX|4MDPS|5DMG|6VULN|7CGEN|8aRCR|9AART
18	41442 22121	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1LIT|2AEBURN|3TBNT|4VULN|5DMG|6aRCR|7RMIN|8AART|9LWND
19	12121 56126	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1ERES|2RMIN|3MBVNT|4LWND|5DMG|6AART|7VULN|8LIT|9aRCR
