0	Index      	 *	Score 	Summary	Detail	
1	32344 33413	 * 	385.17	DCR|2MDPS|1VULN|1CDMG|1DUR|1SELL	1ASPD|2SELL|3ERES|4DMSP|5DUR|6RCR|7CDMG|8VULN|9aMDPS
2	23251 11434	 * 	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|25VULN|3TLV|4BASARM|6DUST|7DUR|8RCR|9CDMG|aMDPS
3	51211 11434	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1AIRBOS|2DMG|35VULN|4LEGI|6DUST|7DUR|8RCR|9CDMG|aMDPS
4	42332 41237	 * 	371.76	DCR|2MDPS|1VULN|1DUR|1AART	1RPLT|2BEXP|3AART|4MBVNT|5DUR|6MLV|7RCR|8VULN|9aMDPS
5	42332 51237	   	371.76	DCR|2MDPS|1VULN|1AART|1DUR	1RPLT|2BEXP|3AART|4MBVNT|5DUR|6CGEN|7RCR|8VULN|9aMDPS
6	46521 22321	 * 	371.68	ACR|2MDPS|2VULN|1TLV|1DUR	16RPLT|2DUR|34VULN|5RCR|7AEFRZ|8aMDPS|9TLV
7	55382 12121	 * 	368.02	2MDPS|3VULN|2DUR	17AIRBOS|27DUR|3MBVNT|4BBNT|578VULN|6BELT|7BPWR|9aMDPS
8	52351 82432	 * 	364.25	DCR|4VULN|2DMG|2DUR	1aAIRBOS|256aVULN|3MBVNT|46DMG|6aBPWR|7BEXP|8aDUR|9RCR
9	63421 31214	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1AETHUN|27RAT|3DUR|47AEBURN|57VULN|6RCR|7BPWR|8CDMG|9RCVC|aMDPS
10	63421 33214	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AETHUN|2RAT|3DUR|4AEBURN|57VULN|6RCR|8CDMG|9RCVC|aMDPS
11	31241 31434	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2VENICY|35VULN|4LHND|6LWND|7DUR|8RCR|9CDMG|aMDPS
12	31261 31434	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2VENICY|35VULN|4BEXP|6LWND|7DUR|8RCR|9CDMG|aMDPS
13	23351 11434	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1LWND|25VULN|3AME|4BASARM|6DUST|7DUR|8RCR|9CDMG|aMDPS
14	31211 31434	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2VENICY|35VULN|4LEGI|6LWND|7DUR|8RCR|9CDMG|aMDPS
15	31241 11434	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2VENICY|35VULN|4LHND|6DUST|7DUR|8RCR|9CDMG|aMDPS
16	31261 11434	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2VENICY|35VULN|4BEXP|6DUST|7DUR|8RCR|9CDMG|aMDPS
17	31211 11434	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2VENICY|35VULN|4LEGI|6DUST|7DUR|8RCR|9CDMG|aMDPS
18	23122 31431	   	358.11	DCR|2MDPS|1VULN|1DUR	13LWND|2VULN|4DUR|5RAT|6RCR|7FLTARM|8AME|9aMDPS
19	23122 31631	   	358.11	DCR|2MDPS|1VULN|1DUR	13LWND|2VULN|4DUR|5RAT|6RCR|7FLTARM|8ERES|9aMDPS
20	23122 34431	   	358.11	DCR|2MDPS|1VULN|1DUR	13LWND|2VULN|4DUR|5RAT|6RCR|7FRZICY|8AME|9aMDPS
21	23122 34631	   	358.11	DCR|2MDPS|1VULN|1DUR	13LWND|2VULN|4DUR|5RAT|6RCR|7FRZICY|8ERES|9aMDPS
22	23512 31431	   	358.11	DCR|2MDPS|1VULN|1DUR	14LWND|2VULN|3DUR|5RAT|6RCR|7FLTARM|8AME|9aMDPS
23	23512 31631	   	358.11	DCR|2MDPS|1VULN|1DUR	14LWND|2VULN|3DUR|5RAT|6RCR|7FLTARM|8ERES|9aMDPS
24	23512 34431	   	358.11	DCR|2MDPS|1VULN|1DUR	14LWND|2VULN|3DUR|5RAT|6RCR|7FRZICY|8AME|9aMDPS
25	23512 34631	   	358.11	DCR|2MDPS|1VULN|1DUR	14LWND|2VULN|3DUR|5RAT|6RCR|7FRZICY|8ERES|9aMDPS
26	23562 31431	   	358.01	DCR|2MDPS|1VULN|1DUR	1LWND|2VULN|3DUR|4AEFBLL|5RAT|6RCR|7FLTARM|8AME|9aMDPS
27	23562 31631	   	358.01	DCR|2MDPS|1VULN|1DUR	1LWND|2VULN|3DUR|4AEFBLL|5RAT|6RCR|7FLTARM|8ERES|9aMDPS
