0	Index      	 *	Score 	Summary	Detail	
1	33315 15331	 * 	391.46	4VULN|1MDPS|3DMG|3DUR	1AETHUN|2678VULN|3AEWIND|489DUR|568DMG|68BPWR|aMDPS
2	23262 17364	 * 	388.78	DCR|3VULN|1MDPS|1DUR|1AART	19BEXP|2DUR|3AART|489VULN|5MBVNT|69LWND|7RCR|9BPWR|aMDPS
3	23262 47364	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	19BEXP|2DUR|3AART|489VULN|5MBVNT|69DUST|7RCR|9BPWR|aMDPS
4	22562 17324	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1BEXP|2AART|3DUR|489VULN|5MBVNT|6LWND|7RCR|aMDPS
5	23262 17324	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1BEXP|2DUR|3AART|489VULN|5MBVNT|6LWND|7RCR|aMDPS
6	22562 47324	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1BEXP|2AART|3DUR|489VULN|5MBVNT|6DUST|7RCR|aMDPS
7	23262 47324	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1BEXP|2DUR|3AART|489VULN|5MBVNT|6DUST|7RCR|aMDPS
8	36318 47324	   	388.38	DCR|3VULN|1MDPS|1DUR|1AART	1AETHUN|2DUR|3AART|4MBVNT|589VULN|6DUST|7RCR|aMDPS
9	36362 47324	   	388.38	DCR|3VULN|1MDPS|1DUR|1AART	1AETHUN|2DUR|3AART|489VULN|5MBVNT|6DUST|7RCR|aMDPS
10	33264 14211	 * 	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1AETHUN|2VULN|3DUR|4BOSS|5BELT|6CDMG|7RCR|89MDPS|aAIRBOS
11	33264 14212	   	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1AETHUN|2VULN|3DUR|4BOSS|5BELT|6CDMG|7RCR|89MDPS|aAEFBLL
12	33264 14213	   	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1AETHUN|2VULN|3DUR|4BOSS|5BELT|6CDMG|7RCR|89MDPS|aMLV
13	33264 14222	 * 	385.41	DCR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1AETHUN|2VULN|3DUR|4BOSS|5BELT|6CDMG|7RCR|8aMDPS|9TLV
14	33262 23362	 * 	381.25	DCR|2VULN|1MDPS|2DMG|2DUR	1AETHUN|29VULN|37DUR|4BOSS|58DMG|6RCR|aMDPS
15	13235 15335	 * 	379.91	DCR|4VULN|3DMG|2DUR	18AME|2678VULN|39DUR|4ERES|568DMG|68BPWR|aRCR
16	41112 36348	 * 	371.58	ACR|DCR|2VULN|1MDPS|1DUR	17RCR|2MBVNT|38MULHEA|4CGEN|58VENICY|68VULN|8BPWR|9DUR|aMDPS
17	41412 36348	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	17RCR|2MBVNT|38MULARM|4CGEN|58VENICY|68VULN|8BPWR|9DUR|aMDPS
18	33231 24144	 * 	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	1AETHUN|28VULN|37DUR|4VENTOX|5RPLT|6CDMG|9RCR|aMDPS
19	33262 22362	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1AETHUN|29VULN|3DUR|4BOSS|58DMG|6RCR|7RCVC|aMDPS
20	33262 25362	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	1AETHUN|29VULN|3DUR|4BOSS|58DMG|6RCR|7AEPOI|aMDPS
21	33262 26362	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	1AETHUN|29VULN|3DUR|4BOSS|58DMG|6RCR|7AEFBLL|aMDPS
22	33235 42151	 * 	368.12	2MDPS|3VULN|2DUR	1AETHUN|258VULN|36DUR|4VENTOX|7FEWX|9aMDPS
23	11321 62433	 * 	365.48	2MDPS|2VULN|1CDMG|1TLV|1DUR	1AME|2LIT|3CDMG|4TLV|5RAT|6DUR|78VULN|9aMDPS
24	63321 62433	   	365.48	2MDPS|2VULN|1CDMG|1TLV|1DUR	1BOSS|2AME|3CDMG|4TLV|5RAT|6DUR|78VULN|9aMDPS
