0	Index      	 *	Score 	Summary	Detail	
1	53326 35214	 * 	345.51	ACR|2MDPS|1VULN|1CDMG|1DUR	1FLTARM|2RCVC|3RAT|4DUR|5RCR|6VULN|7CDMG|8aMDPS|9MBVNT
2	53641 21233	 * 	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1FLTARM|2RCVC|37VULN|4AART|5LHND|6RCR|8AAC|9DUR|aMDPS
3	55353 21233	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1FLTARM|27VULN|35LHND|4AART|6RCR|8AAC|9DUR|aMDPS
4	55351 33122	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FLTARM|28VULN|3LHND|4AART|5SPLARM|6MULHEA|7RCR|9DUR|aMDPS
5	55352 33122	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FLTARM|28VULN|3LHND|4AART|5BLAICY|6MULHEA|7RCR|9DUR|aMDPS
6	55122 26312	   	331.24	DCR|2VULN|1MDPS|1DUR	1FLTARM|24VULN|3AAC|5BEXP|6RPLT|7RCR|8DUR|9FEWX|aMDPS
7	55122 26332	   	331.24	DCR|2VULN|1MDPS|1DUR	1FLTARM|24VULN|3AAC|5BEXP|6RPLT|7RCR|8DUR|9LWND|aMDPS
8	55122 26322	   	331.14	DCR|2VULN|1MDPS|1DUR|1MSE	1FLTARM|24VULN|3AAC|5BEXP|6RPLT|7RCR|8DUR|9MSE|aMDPS
9	55124 33322	   	331.04	DCR|2VULN|1MDPS|1DUR	1FLTARM|24VULN|3AAC|5DMSP|6DUR|7RCR|8BBNT|9MBVNT|aMDPS
10	53523 23411	 * 	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1FLTARM|2RCVC|3DUR|4TBNT|579VULN|6TLV|8CDMG|aMDPS
11	32531 21364	 * 	322.60	DCR|3VULN|1CDMG|1DMG|1DUR	1AAC|2CDMG|3CGEN|4DUR|589VULN|6DMG|7LHND|aRCR
12	32531 23364	   	322.60	DCR|3VULN|1CDMG|1DMG|1DUR	1AAC|2CDMG|3CGEN|4DUR|589VULN|6DMG|7LWND|aRCR
13	32313 43412	 * 	318.63	DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	1AAC|2CDMG|3LWND|4DUR|5BEXP|6VULN|7AART|8BELT|9RCR|aMDPS
14	32315 43412	   	318.63	DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	1AAC|2CDMG|3LWND|4DUR|5FEWX|6VULN|7AART|8BELT|9RCR|aMDPS
15	23653 33834	 * 	318.54	ACR|2VULN|1MDPS|1CDMG|1DUR	1BEXP|2RCVC|3CDMG|4ZMB|5RCR|6MBVNT|79VULN|8DUR|aMDPS
16	32153 33834	   	318.54	ACR|2VULN|1MDPS|1CDMG|1DUR	1AAC|2CDMG|3RCVC|4BEXP|5RCR|6MBVNT|79VULN|8DUR|aMDPS
17	13653 33834	   	318.44	ACR|2VULN|1MDPS|1CDMG|1DUR	1DUST|2RCVC|3CDMG|4ZMB|5RCR|6MBVNT|79VULN|8DUR|aMDPS
18	13626 33834	   	318.34	ACR|2VULN|1MDPS|1CDMG|1DUR	1DUST|2RCVC|3CDMG|4AME|5RCR|6MBVNT|79VULN|8DUR|aMDPS
19	53541 21213	 * 	317.43	DCR|1MDPS|1VULN|1TLV|1DUR|1AART	1FLTARM|2RCVC|3DUR|4AART|5LHND|6RCR|7VULN|8CGEN|9TLV|aMDPS
20	21224 23463	   	317.43	DCR|1MDPS|1VULN|1TLV|1DUR|1AART	1BEXP|2LHND|36CGEN|4DUR|5VULN|7RCR|8TLV|9AART|aMDPS
21	54321 33422	   	317.19	DCR|1MDPS|1VULN|1TLV|1DUR|1AART|1SELL	1FLTARM|2DUR|3LHND|4TLV|5SELL|6LWND|7AART|8RCR|9VULN|aMDPS
22	51112 34251	 * 	316.03	DCR|1MDPS|1VULN|2DUR|1TLV	1FLTARM|2AIRBOS|3TLV|4BBNT|58DUR|6LIT|7RCR|9VULN|aMDPS
