0	Index      	 *	Score 	Summary	Detail	
1	21213 53135	 * 	403.23	2MDPS|3VULN|1CDMG|1DMG|1DUR	1DUR|2LWND|3DMG|456VULN|7CDMG|8FEWX|9aMDPS
2	21113 13146	 * 	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LWND|3ASPD|459VULN|6DMG|7LIT|8RCR|aMDPS
3	22113 13146	   	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2BEXP|3ASPD|459VULN|6DMG|7LIT|8RCR|aMDPS
4	24213 23146	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2DUST|3DMG|469VULN|5ASPD|7LIT|8RCR|aMDPS
5	63324 22233	   	387.58	DCR|3VULN|1MDPS|2DUR	18RAT|2LEGI|348VULN|5BELT|68DUR|7RCR|8BPWR|9AAC|aMDPS
6	63324 22243	   	387.58	DCR|3VULN|1MDPS|2DUR	18RAT|2LEGI|348VULN|5BELT|68DUR|7RCR|8BPWR|9RMIN|aMDPS
7	63324 22253	   	387.58	DCR|3VULN|1MDPS|2DUR	18RAT|2LEGI|348VULN|5BELT|68DUR|7RCR|8BPWR|9CGEN|aMDPS
8	63324 22223	   	387.48	DCR|3VULN|1MDPS|2DUR	18RAT|2LEGI|348VULN|5BELT|68DUR|7RCR|8BPWR|9ERES|aMDPS
9	63324 22261	   	387.48	DCR|3VULN|1MDPS|2DUR	18RAT|2LEGI|348VULN|5BELT|68DUR|7RCR|8BPWR|9MDPS|aFEWX
10	63324 22262	   	387.48	DCR|3VULN|1MDPS|2DUR	18RAT|2LEGI|348VULN|5BELT|68DUR|7RCR|8BPWR|9MDPS|aRCVC
11	63324 22263	 * 	387.48	DCR|4VULN|1MDPS|2DUR	18RAT|2LEGI|348aVULN|5BELT|68DUR|7RCR|8BPWR|9MDPS
12	21113 53135	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1DUR|2LWND|3ASPD|456VULN|7CDMG|8FEWX|9aMDPS
13	22213 41635	 * 	381.55	DCR|2VULN|1MDPS|2DMG|2DUR	18DUR|2BEXP|38DMG|45VULN|6MLV|78RAT|8BPWR|9RCR|aMDPS
14	22213 61635	   	381.45	DCR|2VULN|1MDPS|2DMG|2DUR	18DUR|2BEXP|38DMG|45VULN|6ERES|78RAT|8BPWR|9RCR|aMDPS
15	61114 64114	 * 	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1RAT|2MBVNT|3BBNT|45VULN|6RCR|7DMG|8DUR|9CDMG|aMDPS
16	61314 64114	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1RAT|2MBVNT|35VULN|4BBNT|6RCR|7DMG|8DUR|9CDMG|aMDPS
17	21213 13135	 * 	377.03	2MDPS|2VULN|2DMG|1CDMG|1DUR	1DUR|2LWND|36DMG|45VULN|7CDMG|8FEWX|9aMDPS
18	42123 21635	   	375.23	DCR|3VULN|1MDPS|1DUR	1AAC|258VULN|38FEWX|4DUR|6MLV|78RAT|8BPWR|9RCR|aMDPS
19	62321 33135	   	375.03	DCR|3VULN|1MDPS|1DUR	1RAT|2BEXP|346VULN|5AAC|7DUR|8CGEN|9RCR|aMDPS
20	62321 33635	   	375.03	DCR|3VULN|1MDPS|1DUR	1RAT|2BEXP|346VULN|5AAC|7DUR|8MLV|9RCR|aMDPS
21	62323 33535	   	375.03	DCR|3VULN|1MDPS|1DUR	1RAT|2BEXP|346VULN|5CGEN|7DUR|8ZMB|9RCR|aMDPS
22	63323 32535	   	374.93	DCR|3VULN|1MDPS|1DUR	1RAT|2LEGI|346VULN|5CGEN|7DUR|8ZMB|9RCR|aMDPS
