0	Index      	 *	Score 	Summary	Detail	
1	14833 34385	 * 	413.95	DCR|4VULN|1MDPS|1DUR	1MBVNT|2346VULN|4BPWR|5CGEN|7DUR|8LIT|9RCR|aMDPS
2	14872 25224	   	401.03	DCR|3VULN|1MDPS|1TLV|1DUR	1MBVNT|239VULN|4DUR|5TBNT|6TLV|7RCR|8BOSS|aMDPS
3	61122 22313	 * 	400.15	ACR|4VULN|1MDPS|2DUR|1AART	1AART|2459VULN|3RCR|69DUR|7BOSS|8TBNT|9BPWR|aMDPS
4	31223 21225	 * 	399.08	ACR|2MDPS|2VULN|1CDMG|1DUR	1AEFBLL|2DUR|3CDMG|4RCR|5AEPOI|6LIT|78VULN|9aMDPS
5	41223 21225	   	399.08	ACR|2MDPS|2VULN|1CDMG|1DUR	1AEBURN|2DUR|3CDMG|4RCR|5AEPOI|6LIT|78VULN|9aMDPS
6	14218 84161	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1MBVNT|279VULN|3DUST|4DUR|5DMG|6RAT|8RCR|aMDPS
7	61122 22353	   	387.60	ACR|4VULN|1MDPS|1DUR|1AART	1AART|2459VULN|3RCR|6DUR|7BOSS|8TBNT|aMDPS
8	31633 24124	   	387.48	DCR|3VULN|1MDPS|2DUR	1AEFBLL|24DUR|347VULN|4BPWR|58CGEN|6FEWX|9RCR|aMDPS
9	31633 51324	   	387.48	DCR|3VULN|1MDPS|2DUR	1AEFBLL|24DUR|347VULN|4BPWR|5CGEN|6RCVC|8BEXP|9RCR|aMDPS
10	31632 33124	   	387.38	DCR|3VULN|1MDPS|2DUR	1AEFBLL|24DUR|347VULN|4BPWR|5DUST|6RCVC|8MLV|9RCR|aMDPS
11	41632 33124	   	387.38	DCR|3VULN|1MDPS|2DUR	1AEBURN|24DUR|347VULN|4BPWR|5DUST|6RCVC|8MLV|9RCR|aMDPS
12	14447 63416	   	387.28	DCR|3VULN|1MDPS|2DUR	1MBVNT|269VULN|3DLOT|4CGEN|59DUR|79ERES|8RCR|9BPWR|aMDPS
13	31632 23124	   	387.28	DCR|3VULN|1MDPS|2DUR	1AEFBLL|24DUR|347VULN|4BPWR|56DUST|8MLV|9RCR|aMDPS
14	41632 23124	   	387.28	DCR|3VULN|1MDPS|2DUR	1AEBURN|24DUR|347VULN|4BPWR|56DUST|8MLV|9RCR|aMDPS
15	13813 23772	   	384.33	ACR|2MDPS|2VULN|2DUR	1MBVNT|2TBNT|3BELT|4RCR|58LHND|68DUR|78VULN|8BPWR|9aMDPS
