0	Index      	 *	Score 	Summary	Detail	
1	12531 42213	 * 	397.98	ACR|2MDPS|2VULN|1TLV|1DUR	1TLV|28VULN|3RCR|4LIT|5LEGI|6MLV|7DUR|9aMDPS
2	12551 42213	   	397.98	ACR|2MDPS|2VULN|1TLV|1DUR	1TLV|28VULN|3RCR|4BOSS|5LEGI|6MLV|7DUR|9aMDPS
3	12353 52532	 * 	397.20	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	1TLV|26VULN|3AEPOI|4DMSP|59DUR|7CDMG|8RCR|aMDPS
4	15233 32263	 * 	395.13	2MDPS|2VULN|2TLV|1CDMG|2DUR	18TLV|2MLV|38VULN|4CDMG|5LIT|6DMSP|78DUR|8BPWR|9aMDPS
5	62871 44433	 * 	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1MBVNT|245VULN|3AAC|6AART|7AEWIND|8DUR|9RCR|aMDPS
6	62153 22363	   	384.65	DCR|2VULN|1MDPS|1CDMG|2AART|1DUR	1MBVNT|24VULN|39AART|5CDMG|6LIT|7DUR|8RCR|aMDPS
7	62832 14445	 * 	379.01	DCR|4VULN|3CDMG|2DUR	1MBVNT|2579VULN|3AAC|457CDMG|57BPWR|67DUR|8ASPD|aRCR
8	21221 52536	 * 	375.08	DCR|5VULN|1CDMG|1DUR	1LWND|2356aVULN|4CGEN|7CDMG|8RCR|9DUR
9	31221 52536	   	375.08	DCR|5VULN|1CDMG|1DUR	1LHND|2356aVULN|4CGEN|7CDMG|8RCR|9DUR
10	21212 63223	   	375.03	DCR|3VULN|1MDPS|1DUR	1LWND|236VULN|4RAT|59BEXP|7DUR|8RCR|aMDPS
11	31212 63223	   	375.03	DCR|3VULN|1MDPS|1DUR	1LHND|236VULN|4RAT|59BEXP|7DUR|8RCR|aMDPS
12	12551 34232	 * 	374.29	ACR|2VULN|1MDPS|2TLV|2CDMG|1DUR	17TLV|27VULN|3RCR|4BOSS|5LEGI|67CDMG|7BPWR|8DUR|9RAT|aMDPS
13	62153 22313	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1MBVNT|24VULN|3AART|5CDMG|6LIT|7DUR|8RCR|9BOSS|aMDPS
14	62153 22343	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1MBVNT|24VULN|3AART|5CDMG|6LIT|7DUR|8RCR|9RCVC|aMDPS
15	62153 22336	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART|1MSE	1MBVNT|24VULN|3AART|5CDMG|6LIT|7DUR|8RCR|9MSE|aMDPS
16	31313 16551	 * 	371.68	ACR|2MDPS|3VULN|1DUR	1LHND|26aVULN|3RMIN|4RCR|5BBNT|7DUR|89MDPS
17	31313 16552	   	371.68	ACR|2MDPS|2VULN|1DUR	1LHND|26VULN|3RMIN|4RCR|5BBNT|7DUR|89MDPS|aFEWX
18	31313 16553	   	371.68	ACR|2MDPS|2VULN|1DMG|1DUR	1LHND|26VULN|3RMIN|4RCR|5BBNT|7DUR|89MDPS|aDMG
19	31332 16551	   	371.68	ACR|2MDPS|3VULN|1DUR	1LHND|26aVULN|3RMIN|4TBNT|5RCR|7DUR|89MDPS
20	31332 16552	   	371.68	ACR|2MDPS|2VULN|1DUR	1LHND|26VULN|3RMIN|4TBNT|5RCR|7DUR|89MDPS|aFEWX
21	31332 16553	   	371.68	ACR|2MDPS|2VULN|1DMG|1DUR	1LHND|26VULN|3RMIN|4TBNT|5RCR|7DUR|89MDPS|aDMG
22	62832 13172	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	1MBVNT|25VULN|3AAC|45CDMG|5BPWR|6DUR|7ASPD|8RCVC|9RCR|aMDPS
23	12353 51532	   	369.56	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	1TLV|26VULN|3AEPOI|4DMSP|59DUR|7SELL|8RCR|aMDPS
