0	Index      	 *	Score 	Summary	Detail	
1	22135 42412	 * 	374.93	DCR|3VULN|1MDPS|1DUR	149VULN|24LHND|3AETHUN|4BPWR|5MLV|6RCR|7DUR|8BBNT|aMDPS
2	21226 23131	 * 	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	156VULN|2ASPD|3RCR|4CGEN|7TBNT|8DUR|9TLV|aMDPS
3	22411 11365	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2LHND|3DUST|4BEXP|5DUR|6AETHUN|7RCR|8RAT|9aMDPS
4	26111 31365	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2DUST|3AETHUN|4BEXP|5DUR|6LWND|7RCR|8RAT|9aMDPS
5	26311 11365	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2DUST|3LWND|4BEXP|5DUR|6AETHUN|7RCR|8RAT|9aMDPS
6	22163 31642	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2LHND|3AETHUN|4ZMB|5CGEN|6RCR|8TLV|9DUR|aMDPS
7	21233 21266	   	354.89	ACR|3VULN|1MDPS|1DMG|1DUR	159VULN|2ASPD|3RCR|4BLASTR|6LIT|7DMG|8DUR|aMDPS
8	23223 16312	   	348.58	ACR|3VULN|1MDPS|1DUR|1AART	178VULN|2MLV|3RCR|4AART|5SNIFST|6DUR|9FEWX|aMDPS
9	23223 16332	   	348.58	ACR|3VULN|1MDPS|1DUR|1AART	178VULN|2MLV|3RCR|4AART|5SNIFST|6DUR|9LWND|aMDPS
10	23223 16342	   	348.58	ACR|3VULN|1MDPS|1DUR|1AART	178VULN|2MLV|3RCR|4AART|5SNIFST|6DUR|9LHND|aMDPS
11	21233 13262	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	159VULN|2ASPD|3RCR|4BLASTR|6FEWX|7DUR|8AART|aMDPS
12	66223 16312	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1AME|278VULN|3RCR|4AART|5SNIFST|6DUR|9FEWX|aMDPS
13	66223 16332	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1AME|278VULN|3RCR|4AART|5SNIFST|6DUR|9LWND|aMDPS
14	23241 13345	 * 	346.89	ACR|2VULN|1MDPS|2TLV|2DUR	18VULN|2MLV|3RCR|4BELT|5BBNT|68DUR|78TLV|8BPWR|9RAT|aMDPS
15	23241 13362	   	346.89	ACR|2VULN|1MDPS|2TLV|2DUR	18VULN|2MLV|3RCR|4BELT|5BBNT|68DUR|78TLV|8BPWR|9FEWX|aMDPS
