0	Index      	 *	Score 	Summary	Detail	
1	32265 63313	 * 	369.90	DCR|2VULN|1MDPS|2DUR|1TLV	1ZMB|26DUR|3FEWX|4TLV|56VULN|6BPWR|7BBNT|8RCR|9RAT|aMDPS
2	51131 26213	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BLAICY|2AETHUN|36LHND|4TBNT|56VULN|6BPWR|7CDMG|8RCR|9DUR|aMDPS
3	55231 26213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BLAICY|26LHND|3AETHUN|4TBNT|56VULN|6BPWR|7CDMG|8RCR|9DUR|aMDPS
4	32263 11333	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|5RMIN|68VULN|7LHND|9RCR|aMDPS
5	32263 42333	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|5RMIN|6LWND|78VULN|9RCR|aMDPS
6	32264 52333	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|5LWND|6RMIN|78VULN|9RCR|aMDPS
7	32265 51333	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|58VULN|6RMIN|7LHND|9RCR|aMDPS
8	34242 11333	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2LWND|3FEWX|48VULN|5RMIN|6DUR|7TLV|9RCR|aMDPS
9	41426 11333	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2FEWX|38VULN|4RMIN|5AAC|6DUR|7TLV|9RCR|aMDPS
10	41436 11313	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2FEWX|38VULN|4BEXP|5RCVC|6DUR|7TLV|9RCR|aMDPS
11	11133 11613	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12FEWX|3AETHUN|48VULN|5LWND|6DUR|7TLV|9RCR|aMDPS
12	11134 11613	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12FEWX|3AETHUN|48VULN|5LHND|6DUR|7TLV|9RCR|aMDPS
13	11155 11613	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12FEWX|3AETHUN|4LHND|58VULN|6DUR|7TLV|9RCR|aMDPS
14	16133 11613	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12FEWX|2BPWR|3AETHUN|48VULN|5LWND|6DUR|7TLV|9RCR|aMDPS
15	16134 11613	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12FEWX|2BPWR|3AETHUN|48VULN|5LHND|6DUR|7TLV|9RCR|aMDPS
16	22261 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|5ZMB|68VULN|7LHND|9RCR|aMDPS
17	22261 42333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|5ZMB|6LWND|78VULN|9RCR|aMDPS
18	22263 52333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|5LWND|6RMIN|78VULN|9RCR|aMDPS
19	22265 51333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2DUR|3FEWX|4TLV|58VULN|6RMIN|7LHND|9RCR|aMDPS
20	23654 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2ZMB|38VULN|4LHND|5LWND|6DUR|7TLV|9RCR|aMDPS
21	24242 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2LWND|3FEWX|48VULN|5RMIN|6DUR|7TLV|9RCR|aMDPS
22	24262 52333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2LWND|3FEWX|4TLV|5DUR|6RMIN|78VULN|9RCR|aMDPS
23	24661 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2LWND|3DUR|4TLV|5ZMB|68VULN|7LHND|9RCR|aMDPS
24	25516 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2TLV|3FEWX|4ZMB|5DUR|68VULN|7LHND|9RCR|aMDPS
25	25532 51333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2TLV|3FEWX|48VULN|5DUR|6RMIN|7LHND|9RCR|aMDPS
26	25622 51333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ASPD|2TLV|38VULN|4FEWX|5DUR|6RMIN|7LHND|9RCR|aMDPS
27	32264 32333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|5LWND|6ASPD|78VULN|9RCR|aMDPS
28	32265 31333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2DUR|3FEWX|4TLV|58VULN|6ASPD|7LHND|9RCR|aMDPS
29	34245 11333	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|2LWND|3FEWX|48VULN|5AME|6DUR|7TLV|9RCR|aMDPS
